# Drift report generated 2026-01-30T15:23:15.392215
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter6_chapter_6_faith_toward_god.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/backtranslation/chapters/chapter6_chapter_6_faith_toward_god.md
"id","similarity","translation_quality","source","back_translation"
"1","0.864","MEDIUM","Faith is a bedrock concept in Christianity. Faith is such a commonly used word in Christianity that sometimes the meaning of the word is supplanted by subtle misconceptions and wrong understanding. But it’s not something you can hold in your hands-it’s something formed in your heart as you come to trust God. Persuasion is belief.","Faith is a foundational concept in Christianity. The word faith is used a great deal in Christianity, and so sometimes the meaning of the word gets replaced by slippery, wrong notions and a distorted understanding. But it is not something you can grasp with your hand-it is formed in your heart when you trust in God. Conviction is belief."
"2","0.9673","HIGH","The writer of Hebrews instructs us that we are to have ‘faith towards God’.","The author of Hebrews instructs us to have ‘faith toward God’."
"3","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","0.9988","HIGH","> **<u>Hebrews 6:1-2</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>\\n> of the doctrine of baptisms, of laying on of hands, of resurrection of the dead, and of eternal judgment.\\n>","> **<u>Hebrews 6:1-2</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>\\n> and of the doctrine of baptisms, of laying on of hands, of resurrection of the dead, and of eternal judgment.\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.9625","HIGH","In this chapter we will discuss what faith is, and is not, how to increase our faith, how we exercise our faith (obedience), the benefits of living a life of obedience, and practical steps to increasing our faith.","In this chapter we will discuss what faith is, and what it is not, how to increase our faith, how we put our faith into practice (having discipline and obedience), the benefits of an obedient life, and practical steps to increase our faith."
"7","0.9336","HIGH","As we did in our study on repentance, let’s examine the Greek to set the stage for our study. Understanding these terms helps us see how faith is both directional (toward God) and relational (rooted in trust and persuasion).","As we did when we learned about repentance, let us look at the Greek so we can lay a foundation for our study. Understanding these words helps us see how faith is directional (toward God) and relational (rooted in trust and conviction)."
"8","0.9994","HIGH","[See Table 5](../tables/table5.md)","[See Table 5](../tables/table5.md)"
"9","1.0","HIGH","### Defining Faith","### Defining Faith"
"10","0.945","HIGH","Faith is a commonly misunderstood and misrepresented aspect of Christianity. As the saying goes, “there is a ditch on both sides of the road”! Because the word faith is so commonly used without proper explanation in our modern Christianity, it can come to pick up erroneous definitions amplified through misunderstanding. Faith is often portrayed either as a blanketed statement of abstracted belief or as an almost mystical power or “magic,” something you possess in a specific measured and limited amount.","Faith is often misunderstood and misrepresented within Christianity. As the proverb says, “there is a ditch on both sides of the road”! Because the word faith is used so much without being properly explained in our modern Christianity, it can take on increasingly wrong definitions as it is misunderstood. Faith is often portrayed as making a general, undefined statement of belief or as looking like some kind of force or “magic,” something you have a particular, measurable, limited amount of."
"11","0.9937","HIGH","#### What Faith is Not","#### What Faith Is Not"
"12","0.8981","MEDIUM","Faith misrepresented <u>abstractly</u> has no specific conviction or persuasion. This is often evident with a bit of probing as this representation of faith cannot be made specific. If you ask, ‘what do you believe’ or ‘why do you believe’ the person with this understanding of faith often cannot clarify beyond ‘I believe’. <span class=""x-scripture"" data-book=""1PE"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 3:15</span> says we should be ready to give an answer for the hope that is in us.","Faith misrepresented as <u>general and undefined</u> has no specific belief or conviction. This often shows up when a little is asked, since this representation of faith cannot specify anything concrete. If you ask, ‘what do you believe’ or ‘what do you believe in,’ the person with this understanding of faith often cannot clarify anything beyond ‘I believe.’ <span class=""x-scripture"" data-book=""1PE"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 3:15</span> says we are to be ready to give the answer for the hope within us."
"13","0.9562","HIGH","Sometimes people think of faith like a magical power-but that’s not what Scripture teaches. Faith is about a real relationship built on trust. In Scripture, faith is far more dynamic and relational-it’s rooted in persuasion, trust, and confidence in God’s character and promises. It’s not an impersonal force but an engaged response to God that shapes thoughts, feelings, and actions.","Sometimes people think faith is a magical power-but that is not what Scripture teaches. Faith is about a real relationship built on trust. In Scripture, faith is far more active and relational-it is grounded in conviction, trust, and confidence in the character and promises of God. It is not an independent personal force, but an active response directed toward God that shapes thoughts, feelings, and actions."
"14","0.5461","CRITICAL","Why is belief relevant to persuasion?","What does belief have to do with conviction?"
"15","0.9349","HIGH","Our beliefs shape the way we see and interact with the world around us. Belief molds perception and precipitates our actions. This is how our minds are wired-we live based on what we believe is possible.","Belief shapes how we see and interact with the world around us. Belief shapes perspective and drives our actions. That is how our minds work-we live according to what we believe is possible."
"16","0.8661","MEDIUM","We act on what we perceive, understand, and believe to be possible. When we walk through a hallway our brain detects the boundaries of the floor and the wall and tells our feet automatically where we can step, and what to avoid. This truth extends beyond our physical navigation of the world around us.","We move toward what we see, understand, and believe is possible. As we walk down a hallway, our minds perceive the boundaries of the floor and the wall and tell our feet directly where we can step, and what to avoid. That truth goes beyond the physical guidance of the world around us."
"17","0.9215","HIGH","Suppose you believe that it is impossible for you to become financially independent or live a healthy and active lifestyle. In that case your actions will follow that belief, and you, true to belief, will not do or likely even attempt what you believe is impossible.","What if you believe that it is not possible for you to become financially self-sufficient or to live a healthy, active life. Then your actions will follow that belief, and you, like the belief, will not do-or are not even likely to try-what you believe is not possible."
"18","0.877","MEDIUM","If you believe that God has an unloving and punishing character, that perception of Him will prevent you from walking with Him as His child.","If you believe that God has an unloving, punitive character, that view of Him will keep you from approaching Him as His child."
"19","0.7877","LOW","#### Faith is Persuasion","#### Faith is Conviction"
"20","0.9785","HIGH","So, what is faith? Persuasion! The Greek word ***pistis*** means persuasion, or the result of being persuaded. We are to have persuasion towards God. In English we might say faith (persuasion) ‘**in** God’. If you are married, you hopefully have faith ‘**in’** your spouse. You believe that they will do what they said they would do, and you believe that they are being authentic and genuine. This trust should extend beyond what they’ve said, to extend to them in general.","Now, what is faith? Persuasion! The Greek word ***pistis*** means persuasion, or the result of having been persuaded. We must have persuasion toward God. In English it would be said faith (persuasion) ‘**in** God’. If you are married, we hope that you have faith ‘**in’** your spouse. You believe that they will do what they said they will do, and you believe that they are honest and true. This confidence must go beyond what they have said, and extend to them as a whole."
"21","0.9439","HIGH","Developing faith, persuasion, and trust in a relationship takes time and experience. Hopefully in life you have learned how to develop a trusting relationship with another person. The principles you’ve learned that allow you to increase your trust in someone you know will also allow you can increase your faith in God. Faith in a relationship is increased over time, in experience, with consistency, and through small and large actions that build your confidence in the other person’s character and nature.","Building faith, persuasion, and trust within a relationship takes time and experience. Hopefully in life you have learned how to cultivate a trustworthy relationship that you have with another person. The principles you have learned that allow you to increase the trust you have in someone you know also allow you to increase the faith you have in God. Relational faith grows over time, through experience, consistency, and small and large actions that build your confidence in the other person's character and attributes."
"22","0.918","MEDIUM","‘Faith towards God’, is relational. Relationships are built by two parties, not one. The good news about our faith in God is that God is responsible for His side of the relationship (made possible by the atoning death of Jesus, and the infilling of His spirit at rebirth), and He helps us on our side too (through the work of the Comforter - the Holy Spirit). God is doing almost all the work, our part (as we will discuss later in this chapter) is to walk *WITH* Him in obedience.","‘Faith directed toward God’ is relational. Relationships are built by two sides, not just one. Our understanding about the faith we have in God is that God is responsible for His side of the relationship (made possible by the atoning death of Jesus, and by filling us with His Spirit at new birth), and He is also helping us on our side (through the work of the Comforter—the Holy Spirit). God does most of the work; our part (as we will discuss later in this chapter) is to keep in step with Him by obeying *LA*."
"23","1.0","HIGH","### Jesus Matures Our Faith","### Jesus Matures Our Faith"
"24","0.9637","HIGH","Jesus is the author and perfecter of our faith (<span class=""x-scripture"" data-book=""HEB"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 12:2</span>). Our faith is designed to be continually growing and expanding. We don’t reach a single point where we have enough ‘faith’, but rather our faith increases. Consider a deep and personal relationship you have in your life today. As in any relationship we don't arrive at a specific milestone where now we ‘know’ the person. We continue to know them, and increase our knowledge of them, and this refines, shapes, and grows our relationship.","Jesus is the author and finisher of our faith (<span class=""x-scripture"" data-book=""HEB"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Hebrews 12:2</span>). Our faith is intended to continually grow and expand. We do not reach a single point where we have enough ‘faith’; rather, our faith increases. Consider a deep personal relationship that you have in your life today. Like any relationship, we do not arrive at a particular point where we now ‘know’ the person. We continue to get to know them and increase our knowledge of them, which refines, shapes, and grows our relationship."
"25","0.9639","HIGH","How do we grow our faith in God? By continuing to experience Him across His many revelations, manifestations, and attributes. Again, consider a deep personal relationship in your life. You increase the depth of relationship by engaging them in different ways, in different formats, in different mediums, in different settings. You talk to them, message them, perhaps write to them. You see them individually, and in group settings. You talk about what you value, and perhaps you challenge one another. The numerous ways go on to infinity. Across these many expressions you come to know the person more deeply.","How do we grow in the faith we have in God? By continuing to encounter Him across His many revelations, manifestations, and attributes. Again, consider a deep personal relationship in your life. You deepen the relationship by interacting in different ways, formats, media, and settings. You talk, you send messages, you might even write to them. You see them one-on-one, as well as in a group. You talk about what you value, and you may challenge each other. The ways are many and virtually limitless. Through these many expressions you come to know the person more deeply."
"26","0.9423","HIGH","We should all come to know God, through Jesus, as our savior. Think back to the names of God (*see the appendix),* just because we know God as savior doesn’t mean we have yet experienced Him as deliverer, healer, counselor, Lord.","We all must come to know God, through Jesus, as our Savior. Remember the names of God (*see appendix),* only because we know God as Savior does not mean we are already experiencing Him as Deliverer, Healer, Counselor, Lord."
