# Drift report generated 2026-01-30T14:05:05.515531
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter9_chapter_9_the_church_our_role_in_it.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/russian/pipeline2/backtranslation/chapters/chapter9_chapter_9_the_church_our_role_in_it.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9498","HIGH","The church is how God shows Himself on earth-through His people, doing His work. We are called to be His body, we are His hands and feet to accomplish His work and purpose. Without our efforts the harvest will remain in the field and will go un-reaped.","The Church is how God reveals Himself on the earth—through His people doing His work. We are called to be His body; we are His hands and feet to carry out His work and purpose. Without our efforts, the harvest will remain in the field and go unharvested."
"2","0.8531","MEDIUM","## Who is the Church?","## What is the Church?"
"3","0.959","HIGH","The church, ***Ekklesia** (eh-klee-SEE-ah - **G1577**),* is derived from two Greek words:","The Church, ***Ekklesia** (eh-klee-SEE-ah - **G1577**),* comes from two Greek words:"
"4","1.0","HIGH","- **""Ek""**: ""Out of.""","- **""Ek""**: ""Out of."""
"5","1.0","HIGH","- **""Kaleo""**: ""To call.""","- **""Kaleo""**: ""To call."""
"6","0.9945","HIGH","Together, **Ekklesia** literally means ""called out"" or ""called out assembly."" In ancient Greek city-states, it referred to a gathering of citizens summoned for a specific purpose, such as legislative or judicial meetings. It was a secular term denoting an assembly of people.","Together, **Ekklesia** literally means ""the called-out"" or ""a called-out assembly."" In ancient Greek city-states, this referred to a gathering of citizens convened for a specific purpose, such as legislative or judicial sessions. It was a secular term denoting an assembly of people."
"7","0.9373","HIGH","In the New Testament, it is used primarily to refer to the community of believers in Jesus Christ. It can denote:","In the New Testament, this word is primarily used to refer to the community of believers in Jesus Christ. It can mean:"
"8","0.9621","HIGH","- **The Local Church**: A specific gathering of believers in a particular location (e.g., the church at Corinth, Philippi, etc.).","- **Local Church**: A specific gathering of believers in a given place (e.g., the church in Corinth, Philippi, etc.)."
"9","1.0","HIGH","<span class=""x-scripture"" data-book=""1CO"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""1CO"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"10","0.9999","HIGH","> **<u>1 Corinthians 1:2</u>** (NKJV)\\n>\\n> To the church of God which is at Corinth, to those who are sanctified in Christ Jesus, called to be saints, with all who in every place call on the name of Jesus Christ our Lord, both theirs and ours:\\n>","> **<u>1 Corinthians 1:2</u>** (NKJV)\\n>\\n> To the church of God which is at Corinth, to those who are sanctified in Christ Jesus, called to be saints, with all who in every place call on the name of Jesus Christ our Lord, both theirs and ours:\\n>"
"11","1.0","HIGH","</span>","</span>"
"12","0.9726","HIGH","- **The Universal Church**: The collective body of all believers across time and space.","- **Universal Church**: The collective body of all believers across all times and places."
"13","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""16"" data-lang=""en"" data-type=""fragment"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""16"" data-lang=""en"" data-type=""fragment"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"14","0.9955","HIGH","> **<u>Matthew 16:18</u>** (NKJV)\\n>\\n> And I also say to you that you are Peter, and on this rock I will build My church, and the gates of Hades shall not prevail against it.\\n>","> **<u>Matthew 16:18</u>** (NKJV)\\n>\\n> And I also say to you that you are Peter, and on this rock I will build My Church, and the gates of Hades shall not prevail against it.\\n>"
"15","1.0","HIGH","</span>","</span>"
"16","0.9406","HIGH","The church is the people, not the building or location they meet. **Called-Out Ones**: Reflects the idea that Christians are called out of the world and set apart for God's purposes (e.g., <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>) for a specific mission and purpose (the great commission). The church is technically any two or more believers meeting together (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>). Typically, the church is organized into regular meetings, with perhaps a set location and time, but wherever two or more people meet in Jesus’ name, that's where the church is!","The Church is people, not a building or the place where they meet. **The called**: reflects the idea that Christians are called out of the world and set apart for God’s purposes (e.g., <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>) for a specific mission and purpose (the Great Commission). Technically, the church is any two or more believers gathering together (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>). Usually, a church is organized into regular meetings, possibly with a set place and time, but where two or more gather in the name of Jesus—there is the church!"
"17","0.9477","HIGH","The church was established by Jesus and increased in the 1st century A.D. by the work of the disciples who followed him. The church we have and experience today in all its local bodies across the Earth is a direct result of the original work of Christ and His apostles. As believers we are to be committed to a local church for fellowship, provision, equipping for ministry, and to do good works!","The Church was established by Jesus and multiplied in the 1st century A.D. through the labor of the disciples who followed Him. The Church we have and experience today in all its local communities throughout the earth is the direct result of the initial work of Christ and His apostles. As believers, we should be committed to a local church for fellowship, provision, equipping for ministry, and the doing of good works!"
"18","0.9076","MEDIUM","To help us understand what the church is, the Scriptures gives us powerful pictures that show what it’s meant to be.","To help us understand what the Church is, Scripture gives us powerful images showing what it is called to be."
"19","1.0","HIGH","## Understanding the Church","## Understanding the Church"
"20","0.9329","HIGH","There are several core metaphorical images used to depict attributes of the church:","There are several primary metaphorical images used to describe the characteristics of the church:"
"21","0.8814","MEDIUM","1.  The Body","1.  Body"
"22","0.8865","MEDIUM","2.  The Bride","2.  Bride"
"23","0.908","MEDIUM","3.  The Temple","3.  Temple"
"24","0.9225","HIGH","4.  The Family","4.  Family"
"25","0.8957","MEDIUM","5.  The Flock","5.  Flock"
"26","0.9382","HIGH","6.  The Vine and Branches","6.  Vine and branches"
"27","0.9748","HIGH","Each analogy highlights a unique aspect of the church, yet together, they reveal the church's identity as a unified and diverse community under Christ's leadership.","Each analogy emphasizes a unique aspect of the church, but together they reveal its identity as a unified and diverse community under the leadership of Christ."
"28","0.8577","MEDIUM","### The Body","### Body"
"29","0.9947","HIGH","The church is often described as **the Body of Christ**, emphasizing both its unity and diversity. With Christ as the head, the church functions as a living organism where every believer plays an essential and potentially diverse role. Each member is uniquely gifted and contributes to the health and mission of the body according to their own function. This image highlights the interdependence of believers, specifically that the body must be connected to function, and that our function is collaborative not competitive. When every part works together, the body grows and thrives in unity and love (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""12-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 12:12-27</span>; <span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""15-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:15-16</span>; <span class=""x-scripture"" data-book=""COL"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 1:18</span>).","The church is often described as the **Body of Christ**, emphasizing both its unity and diversity. With Christ as the Head, the church functions as a living organism where every believer plays a necessary and potentially varied role. Each member is uniquely gifted and contributes to the health and mission of the body according to their function. This image underscores the interdependence of believers, namely that the body must be connected in order to function, and that our function is cooperative rather than competitive. When each part acts together, the body grows and thrives in unity and love (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""12-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 12:12-27</span>; <span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""15-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:15-16</span>; <span class=""x-scripture"" data-book=""COL"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 1:18</span>)."
"30","0.7541","LOW","### The Bride","### Bride"
"31","0.992","HIGH","The church is described as **the Bride of Christ**, this reflects an intimate and loving relationship with Jesus. Just as a bride is cherished and made ready for her husband, the church is sanctified and purified by Christ’s sacrificial love. This metaphor captures the devotion and faithfulness expected of the church, as well as the deep affection Christ has for His people. The imagery also points to the ultimate union between Christ and the church, celebrated in the marriage supper of the Lamb, where the church is presented in glory without spot or blemish (<span class=""x-scripture"" data-book=""EPH"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""25-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 5:25-27</span>; <span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""7-9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:7-9</span>; <span class=""x-scripture"" data-book=""REV"" data-chapter=""21"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 21:2</span>).","The church is described as the **Bride of Christ**, reflecting an intimate and loving relationship with Jesus. Just as a bride is cherished and prepared for her husband, the church is sanctified and cleansed by Christ’s sacrificial love. This metaphor conveys the devotion and faithfulness expected of the church, as well as Christ’s deep love for His people. This image also points to the ultimate union between Christ and the church, celebrated at the marriage supper of the Lamb, where the church appears in glory without spot or blemish (<span class=""x-scripture"" data-book=""EPH"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""25-27"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 5:25-27</span>; <span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""7-9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:7-9</span>; <span class=""x-scripture"" data-book=""REV"" data-chapter=""21"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 21:2</span>)."
"32","0.8023","LOW","### The Temple","### Temple"
