# Drift explanation generated 2026-01-30T15:54:17.397245
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/analysis/chapters/drift_report_chapter5_chapter_5_repentance_from_dead_works_vs_chapter5_chapter_5_repentance_from_dead_works.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"6","0.9013","MEDIUM","no","paraphrase","Both paragraphs convey the same intent to analyze the Greek phrase more thoroughly, with only slight variations in wording. The essence and focus of the message remain unchanged.","Let's take an in-depth look at the Greek for this phrase:","Let us take a deeper look at the Greek of this phrase:"
"12","0.8777","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that the reasons for working may vary, but fundamentally it is driven by the pursuit of value. The wording is different, but the core message remains unchanged.","Why do we do all this work? It varies, but definitionally because we get something of value from it.","Why do we work so much? The reasons may differ, but by definition it is because we get something of value from it."
"13","0.9136","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same meaning as the original, simply rephrasing the question and answer without altering the doctrinal, logical, or intentional aspects.","Would you continue to work at a job if they stopped paying you? For most of us the easy and painfully obvious answer is a resounding, NO!","If they stopped paying you, would you keep working at that job? For most of us, the simple and painfully clear answer is a resounding no!"
"14","0.8743","MEDIUM","no","paraphrase","Both paragraphs convey the same question about the willingness to continue working in a harmful job, with only slight variations in wording ('killing you' vs. 'were killing you' and 'quickly' vs. 'fast'). The core meaning and intent remain unchanged.","Would you continue to work at a job if it was killing you? I suppose it depends on how quickly.","If the work were killing you, would you keep doing it? I suppose that depends on how fast."
"27","0.9188","MEDIUM","yes","mixed","The back-translation introduces the phrase 'out of control' instead of 'dis-regulated,' which may imply a more extreme state of chaos. Additionally, 'self-disciplined' alters the nuance of 'self-controlled,' potentially changing the emphasis from internal regulation to external discipline.","4.  Do not maintain internal stability, become dis-regulated, are not self-controlled.","4.  Do not maintain internal stability, become out of control, are not self-disciplined."
"33","0.9053","MEDIUM","no","paraphrase","The back-translation maintains the original concepts of binary states of being and the gradient nature of dying, as well as the comparison of dead works to poisons, without altering the doctrinal or logical implications.","While dead versus alive is a binary. Dying is a gradient. Our dead works may not be completely dead across every single category, yet, but they will become so! Dead works are like poisons, some have greater effects.","Dead versus alive is a binary matter. Dying is a gradual continuum. Our dead works may not be completely dead in every respect right now, but they will become so! Dead works are like poison; some have a stronger effect."
"42","0.9143","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationship as the original, simply rephrasing the content without altering its intent.","The term used in Hebrews is *repentance*. This is contrasted with the term *repent,* an example is found in","The word used in Hebrews is *repentance*. It is shown in contrast with the word *repent*; an example of this can be found"
"59","0.737","CRITICAL","yes","doctrinal","The term 'Systems of Change' suggests a structured or organized approach to change, potentially implying a broader framework or methodology, while 'Methods of Change' indicates specific techniques or practices. This shift alters the conceptual understanding of how change is approached.","### Systems of Change","### Methods of Change"
"66","0.8675","MEDIUM","yes","doctrinal","The original specifies a temporary change in behavior, while the back-translation implies a change that occurred recently without indicating its duration, potentially altering the understanding of the nature of the change.","4.  Action: The behavior has been changed for a short time.","4.  Action: Behavior has been changed in the recent past."
"71","0.9176","MEDIUM","yes","intentional","The original paragraph emphasizes a sudden conviction, which suggests a realization of wrongdoing, while the back-translated version focuses on deep remorse, indicating a stronger emotional response. This shift alters the intent from a moment of realization to a more profound feeling of guilt.","**Scenario:**, a father experiencing a sudden conviction after yelling at his child.","**Scenario:**, a father suddenly feels deep remorse after yelling at his child."
"74","0.9171","MEDIUM","yes","doctrinal","The back-translation specifies that it is his daughter's hurt face that haunts him, which adds a familial context and emotional depth that is absent in the original. Additionally, the phrase 'I don't want to be that' is less specific than 'That’s not who I want to be,' altering the clarity of his self-reflection.","3.  **Preparation**: He sits alone in the kitchen, stunned. The image of her hurt face plays over and over in his mind. His stomach turns. He says to himself, *“That’s not who I want to be.”* He knows he needs to do something different-*now*.","3.  **Preparation**: He sits alone in the kitchen, stunned. His daughter's hurt face keeps surfacing in his mind. His stomach knots. He says to himself, *""I don't want to be that.""* He knows he has to do something different-*now*."
"97","0.8896","MEDIUM","yes","doctrinal","The back-translation changes 'suffering' to 'pain', which can alter the doctrinal understanding of the distinctions between sorrow, suffering, and grief. 'Suffering' encompasses a broader emotional and existential experience compared to the more physical connotation of 'pain'.","Sorrow is also different from suffering and grief.","Sorrow is again different from pain and grief."
"98","0.8169","LOW","yes","doctrinal","The original paragraph defines suffering as the endurance of pain, while the back-translated version incorrectly states that pain itself is the endurance of pain, altering the conceptual understanding of suffering and its relationship to pain.","Suffering is the endurance of pain-physical, emotional, mental, or spiritual-especially when prolonged or intense.","Pain is the endurance of pain—physical, emotional, mental, or spiritual—especially when it is prolonged or intense."
"106","0.908","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the father's disappointment in his child's priorities after hurting his sister, maintaining the intent and logical relationship without altering the doctrinal meaning.","The father’s reply was, “I’m sad that you are more concerned about your stick than you are about your sister who you hurt” and sent him back to his room for more reflection.","The father replied, “You hit your sister, yet you’re more concerned about your stick than about her—that saddens me,” and he told him to go back to his room to think further."
"111","0.8941","MEDIUM","no","paraphrase","Both paragraphs convey the same theological concept of God's goodness as a force for redemption and repentance, emphasizing that His willingness to restore us does not condone sin but rather provides a path to salvation despite our shortcomings.","God's unrelenting goodness, to be willing to redeem us and restore us if we come to Him is a positive agent in our path of repentance. His goodness isn’t that we continue in sin, but that despite our sin He makes a way for us to be redeemed and experience His salvation.","God’s steadfast goodness—that He stands ready to deliver and restore us when we come to Him—is a positive force on our path of repentance. His goodness does not mean that we continue in sin; rather, despite our sin He makes a way for our deliverance and desires to let us experience His salvation."
"114","0.8933","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea about human adaptability and the distinction between capacity and willingness to change, with only slight variations in wording.","Man has great capacity to change; it's wired into our very essence. Humans are very adaptable, we can learn and grow, and find better ways to do things. However, a capacity to change is not the same as a willingness or a persuasion to change.","Human beings have a tremendous capacity for change; it is rooted at the core of our being. People are highly adaptable—we can learn and grow, and we can find better ways of doing things. However, having the capacity to change is not the same as being willing or motivated to change."
"133","0.787","LOW","no","paraphrase","The term 'Personal Self-Examination Questions' is a rephrasing of 'Personal Reflection Questions' that maintains the same intent and meaning, focusing on introspection without altering the underlying concept.","## Personal Reflection Questions","## Personal Self-Examination Questions"
