# Drift explanation generated 2026-01-30T02:04:43.035345
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/french/pipeline2/analysis/chapters/drift_report_chapter9_chapter_9_the_church_our_role_in_it_vs_chapter9_chapter_9_the_church_our_role_in_it.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"86","0.9063","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply altering the formatting of the text without changing its content.","#### Qualifications for Both Elders and Deacons:","#### Qualifications for elders and deacons :"
"92","0.8986","MEDIUM","no","paraphrase","The back-translated paragraph conveys the same concept as the original, simply using different wording. Both refer to the same idea of providing examples related to structures.","### Example Structures","### Examples of structures"
"94","0.8321","LOW","no","paraphrase","The phrases 'Church at Jerusalem' and 'Church of Jerusalem' convey the same concept of a religious community located in Jerusalem, with no significant change in meaning.","### Church at Jerusalem","### Church of Jerusalem"
"96","0.9161","MEDIUM","no","paraphrase","The phrases 'Church at Antioch' and 'Church of Antioch' convey the same concept of a Christian community located in Antioch, with no significant change in meaning.","### Church at Antioch","### Church of Antioch"
"111","0.8736","MEDIUM","yes","doctrinal","The original paragraph contrasts 'leadership' with 'gifting,' suggesting a distinction between the two concepts, while the back-translation combines them under 'and,' which may imply a relationship rather than a contrast, altering the doctrinal interpretation.","## Leadership Versus Gifting","## Leadership and gifts"
"133","0.912","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about establishing a foundation and the need for training, while emphasizing the importance of finding one's place. The differences in wording do not alter the overall meaning or intent.","Now that we’ve set a strong foundation - you a meaningful part of the body but need training - let’s get down to finding where you fit.","Now that we have laid solid foundations - you are a significant part of the body but need training - let us move on to finding where you fit."
"134","0.7351","CRITICAL","no","paraphrase","The back-translation 'Finding your place' conveys the same concept as 'Finding Where You Fit,' maintaining the original intent and meaning without any significant changes.","### Finding Where You Fit","### Finding your place"
"143","0.8265","LOW","no","paraphrase","The terms 'discussed' and 'addressed' convey similar meanings in the context of referring to a topic that will be talked about later, indicating no significant change in meaning.","- Discussed after this list.","- Addressed after this list."
"145","0.7847","LOW","no","paraphrase","Both phrases convey the same idea of referring to something that was mentioned earlier in the chapter, with no significant change in meaning or intent.","- Discussed previously in this chapter.","- Addressed earlier in this chapter."
"147","0.9081","MEDIUM","no","paraphrase","The terms 'discussed' and 'addressed' convey similar meanings in the context of a chapter on baptism, indicating that the topic is covered without altering the doctrinal or logical implications.","- Discussed in the chapter on baptism.","- Addressed in the chapter on baptism."
"184","0.9","MEDIUM","yes","doctrinal","The original term 'called-out one' implies a specific theological identity often associated with being chosen or set apart, while the back-translation 'called' is more general and may not convey the same depth of meaning related to that identity.","1.  What does it mean to you personally to be a “called-out one”? How can you live out this identity in your daily life?","1.  What does it mean to you personally to be “called”? How can you live out this identity in your daily life?"
