# Drift report generated 2025-10-08T07:14:19.435116
# Source file: source/AUTOGEN/chapters/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md
# Back translation: backtranslation/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9724","HIGH","Building on our study of Jesus as the Messiah, in this chapter we continue in looking at the life, person, and work of Jesus. We’ll see that Jesus is the Mediator of a new and better covenant-and that He perfectly fills the roles of Prophet, Priest, and King. It is in this New Covenant that we as believers have good standing with God and transition from a works-based covenant to a trust-based (faith-based) covenant. Finally, we will read and study the *Apostles Creed* as a way to round-out our study on Jesus.","Building on our lesson on Jesus as the Messiah, in this chapter we continue to look at the life, person, and work of Jesus. We will see that Jesus is the Mediator of a new and better covenant-and that He fully fulfills the offices of Prophet, Priest, and King. Within this New Covenant we as believers stand rightly before God and undergo a shift from a works-based covenant to a covenant based on faithfulness (faith-based). Finally, we will read and examine the *Apostles’ Creed* as a way to complete our study about Jesus."
"2","0.9999","HIGH","## Mediator of the New Covenant","## Mediator of the New Covenant"
"3","0.9837","HIGH","The concept of a mediator involves a go-between who bridges the gap between two parties, facilitating a relationship or agreement. In the Exodus story, Moses is the initial mediator of the covenant God established with His people. Moses received the law, offered the sacrifice (priest), called God’s people to obedience (prophet), and judged them (judge / king). In the remainder of the Old Testament after Moses, the mediating role was fulfilled through the role of the Prophet, the Levitical Priesthood, and the Judges and later Kings of the nation.","The idea of a mediator involves a go-between who bridges the gap between two parties, facilitating relationship or agreement. In the Exodus narrative, Moses is the initial mediator of the covenant that God made with His people. Moses received the law, offered sacrifices (priest), called God’s people to obedience (prophet), and judged them (judge / king). In the remainder of the Old Testament after Moses, the mediatorial role was carried out through the office of the Prophet, the Levitical Priesthood, and the Judges and later the Kings of the nation."
"4","0.7977","LOW","Old Testament Roles of Mediators:","The Offices of Mediators in the Old Testament:"
"5","0.9879","HIGH","1.  **Prophet:** Prophets were God’s messengers, sent to speak His heart to the people and call them back when they wandered. Moses, for example, served as a prophet who mediated the Old Covenant by receiving the Law from God and teaching it to Israel. Prophets also foretold the coming of the Messiah and the ultimate redemption of humanity. Other prominent examples of prophet include: Isaiah, Jeremiah, Elijah, Elisha, Samuel.","1.  **Prophet:** Prophets were God’s messengers, sent to speak His heart to the people and to call them back when they strayed. For example, Moses served as a prophet who mediated the Old Covenant by receiving the Law from God and teaching Israel. The prophets also foretold the coming of the Messiah and the ultimate redemption of humanity. Other notable examples of prophets are: Isaiah, Jeremiah, Elijah, Elisha, Samuel."
"6","0.9817","HIGH","2.  **Levitical Priesthood:** Priests acted as mediators by offering sacrifices for the atonement of sins and interceding for the people before God. The High Priest, especially, played a vital role on the Day of Atonement, entering the Holy of Holies to sprinkle blood on the mercy seat, symbolizing reconciliation with God. The priest's ministry is to intercede for the people.","2.  **The Levitical Priesthood:** The priests acted as mediators by offering sacrifices for the atonement of sin and interceding for the people before God. The High Priest in particular had a crucial role on the Day of Atonement, entering the Holy of Holies to sprinkle blood on the mercy seat, signifying reconciliation with God. The ministry of the priest is to intercede for the people."
"7","0.9817","HIGH","3.  **Judge/King:** Judges, and later Kings, were charged with ruling over God’s people, enforcing His laws, judging between the people, delivering them from their enemies, and leading them in righteousness. The book of Judges tells the stories of these leaders-people like Deborah, Samson, and Gideon-whom God raised up to rescue and guide Israel. Israel later had a line of kings, many wicked, some good (see 1st and 2nd Kings, 1st and 2nd Samuel, and 1<sup>st</sup> and 2<sup>nd</sup> Chronicles). Some prominent examples are Saul, David, and Solomon.","3.  **Judge/King:** Judges, and later Kings, were entrusted with the responsibility of ruling God’s people, enforcing His laws, judging between the people, redeeming them from their enemies, and leading them in righteousness. The Book of Judges recounts the stories of these leaders-leaders-people like Deborah, Samson, and Gideon-who God commissioned to save and lead Israel. Israel later had a succession of kings, many evil, a few good (see 1 and 2 Kings, 1 and 2 Samuel, and 1<sup>st</sup> and 2<sup>nd</sup> Chronicles). Some notable examples are Saul, David, and Solomon."
"8","0.9117","MEDIUM","Worth noting is that all the Old Covenant mediators were fully man and not divine. As men they were able to sin, and many times were given to sin. Some of the mediators were sinful and drove people away from God and towards profane worship: false prophets, lying and corrupt priests, and wicked kings.","It is worth noting that all the mediators of the Old Testament were fully human and not divine. As humans they were able to sin, and often gave themselves over to sin. Some mediators were sinful and led the people away from God and toward unholy worship: false prophets, lying and corrupt priests, and evil kings."
"9","0.9912","HIGH","### Christ as the Mediator of the New Covenant","### Christ as Mediator of the New Covenant"
"10","0.9136","MEDIUM","Jesus’ death, resurrection and ascension fulfil the Old Covenant, and establish the New Covenant.","The death, resurrection, and ascension of Jesus fulfill the Old Covenant and inaugurate the New Covenant."
"11","0.9941","HIGH","The New Covenant is a transformative relationship between God and His people, established through the life, death, and resurrection of Jesus Christ. Unlike the Old Covenant, which was focused on external laws, the New Covenant emphasizes internal transformation and grace. It was inaugurated by Jesus at the Last Supper, where He declared that His blood would establish this covenant, replacing the repeated animal sacrifices of the Old Covenant with His once-for-all atonement (<span class=""x-scripture"" data-type=""ref"" data-book=""Luke"" data-chapter=""22"" data-verses=""20"" data-lang=""en"" data-version=""NKJV"">Luke 22:20</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""9"" data-verses=""12"" data-lang=""en"" data-version=""NKJV"">Hebrews 9:12</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""10"" data-verses=""10"" data-lang=""en"" data-version=""NKJV"">Hebrews 10:10</span>). Through this sacrifice, the New Covenant provides complete forgiveness and cleansing from sin, fulfilling the requirement for a perfect and permanent reconciliation with God (<span class=""x-scripture"" data-type=""ref"" data-book=""Jeremiah"" data-chapter=""31"" data-verses=""34"" data-lang=""en"" data-version=""NKJV"">Jeremiah 31:34</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""8"" data-verses=""12"" data-lang=""en"" data-version=""NKJV"">Hebrews 8:12</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""10"" data-verses=""12-18"" data-lang=""en"" data-version=""NKJV"">Hebrews 10:12-18</span>).","The New Covenant is a transforming relationship between God and His people, established through the life, death, and resurrection of Jesus Christ. Unlike the Old Covenant, which focused on external laws, the New Covenant emphasizes inner transformation and grace. It was formally instituted by Jesus at the Last Supper, where He declared that His blood would inaugurate this covenant, replacing the repeated animal sacrifices of the Old Covenant with His once-for-all atonement (<span class=""x-scripture"" data-type=""ref"" data-book=""Luke"" data-chapter=""22"" data-verses=""20"" data-lang=""en"" data-version=""NKJV"">Luke 22:20</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""9"" data-verses=""12"" data-lang=""en"" data-version=""NKJV"">Hebrews 9:12</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""10"" data-verses=""10"" data-lang=""en"" data-version=""NKJV"">Hebrews 10:10</span>). Through this sacrifice, the New Covenant offers complete forgiveness and cleansing of sins, fulfilling the requirement for a perfect and enduring reconciliation with God (<span class=""x-scripture"" data-type=""ref"" data-book=""Jeremiah"" data-chapter=""31"" data-verses=""34"" data-lang=""en"" data-version=""NKJV"">Jeremiah 31:34</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""8"" data-verses=""12"" data-lang=""en"" data-version=""NKJV"">Hebrews 8:12</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""10"" data-verses=""12-18"" data-lang=""en"" data-version=""NKJV"">Hebrews 10:12-18</span>)."
"12","0.9923","HIGH","One of the central features of the New Covenant is its internal nature, as God writes His law on the hearts of His people, fostering a heart-level relationship with Him through the Holy Spirit (<span class=""x-scripture"" data-type=""ref"" data-book=""Jeremiah"" data-chapter=""31"" data-verses=""33"" data-lang=""en"" data-version=""NKJV"">Jeremiah 31:33</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""8"" data-verses=""10"" data-lang=""en"" data-version=""NKJV"">Hebrews 8:10</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""2 Corinthians"" data-chapter=""3"" data-verses=""3"" data-lang=""en"" data-version=""NKJV"">2 Corinthians 3:3</span>). This shift enables believers to live out God’s will not by mere adherence to external commands but through empowerment by the Spirit (<span class=""x-scripture"" data-type=""ref"" data-book=""Romans"" data-chapter=""8"" data-verses=""1-4"" data-lang=""en"" data-version=""NKJV"">Romans 8:1-4</span>). The New Covenant also grants direct access to God, eliminating the need for an earthly priesthood. Jesus serves as the eternal High Priest, and believers are called a royal priesthood, able to confidently approach God through Christ’s sacrifice (<span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""7"" data-verses=""24-25"" data-lang=""en"" data-version=""NKJV"">Hebrews 7:24-25</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""10"" data-verses=""19-20"" data-lang=""en"" data-version=""NKJV"">Hebrews 10:19-20</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""1 Peter"" data-chapter=""2"" data-verses=""9"" data-lang=""en"" data-version=""NKJV"">1 Peter 2:9</span>).","One of the chief characteristics of the New Covenant is its internal nature, as God writes His law on the hearts of His people, cultivating a heart-level relationship with Him through the Holy Spirit (<span class=""x-scripture"" data-type=""ref"" data-book=""Jeremiah"" data-chapter=""31"" data-verses=""33"" data-lang=""en"" data-version=""NKJV"">Jeremiah 31:33</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""8"" data-verses=""10"" data-lang=""en"" data-version=""NKJV"">Hebrews 8:10</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""2 Corinthians"" data-chapter=""3"" data-verses=""3"" data-lang=""en"" data-version=""NKJV"">2 Corinthians 3:3</span>). This transformation enables believers to live out God’s will not merely by adhering to external commands but by being empowered by the Spirit (<span class=""x-scripture"" data-type=""ref"" data-book=""Romans"" data-chapter=""8"" data-verses=""1-4"" data-lang=""en"" data-version=""NKJV"">Romans 8:1-4</span>). The New Covenant also grants direct access to God, removing the need for an earthly priesthood. Jesus serves as the eternal High Priest, and believers are called a royal priesthood, having confidence to draw near to God through Christ’s sacrifice (<span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""7"" data-verses=""24-25"" data-lang=""en"" data-version=""NKJV"">Hebrews 7:24-25</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""10"" data-verses=""19-20"" data-lang=""en"" data-version=""NKJV"">Hebrews 10:19-20</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""1 Peter"" data-chapter=""2"" data-verses=""9"" data-lang=""en"" data-version=""NKJV"">1 Peter 2:9</span>)."
"13","0.9934","HIGH","Unlike the Old Covenant, which was exclusive to Israel, the New Covenant is universal, extending to all who believe in Christ, regardless of ethnicity or background (<span class=""x-scripture"" data-type=""ref"" data-book=""John"" data-chapter=""3"" data-verses=""16"" data-lang=""en"" data-version=""NKJV"">John 3:16</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Galatians"" data-chapter=""3"" data-verses=""28"" data-lang=""en"" data-version=""NKJV"">Galatians 3:28</span>). This covenant is based entirely on grace, offering salvation and forgiveness freely through faith in Jesus (<span class=""x-scripture"" data-type=""ref"" data-book=""Ephesians"" data-chapter=""2"" data-verses=""8-9"" data-lang=""en"" data-version=""NKJV"">Ephesians 2:8-9</span>). It is not sustained by human effort but by the enabling power of the Holy Spirit, who transforms and empowers believers to live in obedience and reflect God’s character (<span class=""x-scripture"" data-type=""ref"" data-book=""Ezekiel"" data-chapter=""36"" data-verses=""26-27"" data-lang=""en"" data-version=""NKJV"">Ezekiel 36:26-27</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Romans"" data-chapter=""8"" data-verses=""9-16"" data-lang=""en"" data-version=""NKJV"">Romans 8:9-16</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Galatians"" data-chapter=""5"" data-verses=""22-23"" data-lang=""en"" data-version=""NKJV"">Galatians 5:22-23</span>). Furthermore, the New Covenant is everlasting, surpassing the temporary and conditional nature of the Old Covenant (<span class=""x-scripture"" data-type=""ref"" data-book=""Jeremiah"" data-chapter=""32"" data-verses=""40"" data-lang=""en"" data-version=""NKJV"">Jeremiah 32:40</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""8"" data-verses=""13"" data-lang=""en"" data-version=""NKJV"">Hebrews 8:13</span>). It represents the ultimate fulfillment of God’s redemptive plan, reconciling humanity to Himself and enabling believers to live as His people under His rule for eternity.","Unlike the Old Covenant, which was specific to Israel, the New Covenant is universal, extending to all who believe in Christ, regardless of ethnicity or background (<span class=""x-scripture"" data-type=""ref"" data-book=""John"" data-chapter=""3"" data-verses=""16"" data-lang=""en"" data-version=""NKJV"">John 3:16</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Galatians"" data-chapter=""3"" data-verses=""28"" data-lang=""en"" data-version=""NKJV"">Galatians 3:28</span>). This covenant rests entirely on grace, offering salvation and forgiveness freely through faith in Jesus (<span class=""x-scripture"" data-type=""ref"" data-book=""Ephesians"" data-chapter=""2"" data-verses=""8-9"" data-lang=""en"" data-version=""NKJV"">Ephesians 2:8-9</span>). It is not sustained by human effort but by the power of the Holy Spirit, who transforms and empowers believers to live in obedience and reflect God’s character (<span class=""x-scripture"" data-type=""ref"" data-book=""Ezekiel"" data-chapter=""36"" data-verses=""26-27"" data-lang=""en"" data-version=""NKJV"">Ezekiel 36:26-27</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Romans"" data-chapter=""8"" data-verses=""9-16"" data-lang=""en"" data-version=""NKJV"">Romans 8:9-16</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Galatians"" data-chapter=""5"" data-verses=""22-23"" data-lang=""en"" data-version=""NKJV"">Galatians 5:22-23</span>). Moreover, the New Covenant is eternal, superseding the temporary and conditional nature of the Old Covenant (<span class=""x-scripture"" data-type=""ref"" data-book=""Jeremiah"" data-chapter=""32"" data-verses=""40"" data-lang=""en"" data-version=""NKJV"">Jeremiah 32:40</span>; <span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""8"" data-verses=""13"" data-lang=""en"" data-version=""NKJV"">Hebrews 8:13</span>). It represents the ultimate fulfillment of God’s plan of redemption, reconciling humanity to Him and enabling believers to live as His people under His reign forever."
"14","1.0","HIGH","Jesus is explicitly identified as the Mediator of the New Covenant in","Jesus is explicitly identified as the Mediator of the New Covenant in"
"15","1.0","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""Hebrews"" data-chapter=""9"" data-verses=""15"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""Hebrews"" data-chapter=""9"" data-verses=""15"" data-lang=""en"" data-version=""NKJV"">"
"16","0.9982","HIGH","> **<u>Hebrews 9:15</u>** (NKJV) - *For this reason Christ is the mediator of a new covenant, that those who are called may receive the promised eternal inheritance*.","> **<u>Hebrews 9:15</u>** (NKJV) - *For this reason Christ is the mediator of a new covenant, so that those who are called may receive the promised eternal inheritance*."
"17","1.0","HIGH","</span>","</span>"
"18","0.9863","HIGH","Through His atoning death and resurrection, Christ inaugurates this new covenant, replacing the old system of sacrifices and external laws with a covenant written on the hearts of believers (<span class=""x-scripture"" data-type=""ref"" data-book=""Jeremiah"" data-chapter=""31"" data-verses=""31-34"" data-lang=""en"" data-version=""NKJV"">Jeremiah 31:31-34</span>). He stands between God and humanity, not only interceding on behalf of His people but also providing the means of reconciliation through His own blood (<span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""9"" data-verses=""12"" data-lang=""en"" data-version=""NKJV"">Hebrews 9:12</span>). Unlike the mediators of the Old Covenant, Jesus is sinless, eternal, and fully capable of fulfilling the divine requirements for justice and mercy, ensuring a lasting relationship between God and believers.","Through His atoning death and resurrection, Christ establishes this new covenant, replacing the old system of sacrifices and external laws with a covenant written on the hearts of believers (<span class=""x-scripture"" data-type=""ref"" data-book=""Jeremiah"" data-chapter=""31"" data-verses=""31-34"" data-lang=""en"" data-version=""NKJV"">Jeremiah 31:31-34</span>). He stands between God and humanity, not only interceding for His people but also providing the way of atonement through His own blood (<span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""9"" data-verses=""12"" data-lang=""en"" data-version=""NKJV"">Hebrews 9:12</span>). Unlike the mediators of the Old Covenant, Jesus is sinless, eternal, and can fully satisfy the divine demands of justice and mercy, securing a lasting relationship between God and believers."
"19","0.8294","LOW","Jesus Fulfills and Perfects These Roles","Jesus Fulfills and Completes These Offices"
"20","0.9803","HIGH","1.  **Prophet:** Jesus is the ultimate Prophet, not merely a messenger of God’s word but the Word made flesh (<span class=""x-scripture"" data-type=""ref"" data-book=""John"" data-chapter=""1"" data-verses=""14"" data-lang=""en"" data-version=""NKJV"">John 1:14</span>). He reveals God’s character, will, and plan for salvation fully and perfectly (<span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""1"" data-verses=""1-2"" data-lang=""en"" data-version=""NKJV"">Hebrews 1:1-2</span>). His teachings, miracles, and prophetic declarations fulfill the Old Testament prophecies and provide the foundation for the New Covenant.","1.  **Prophet:** Jesus is the supreme Prophet, not only a messenger of the word of God but the Word made flesh (<span class=""x-scripture"" data-type=""ref"" data-book=""John"" data-chapter=""1"" data-verses=""14"" data-lang=""en"" data-version=""NKJV"">John 1:14</span>). He fully and perfectly reveals the character of God, His will, and His plan of salvation (<span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""1"" data-verses=""1-2"" data-lang=""en"" data-version=""NKJV"">Hebrews 1:1-2</span>). His teachings, His miracles, and His prophetic proclamations fulfill Old Testament prophecy and lay the foundation for the New Covenant."
"21","0.9934","HIGH","2.  **Priest:** Jesus is the perfect High Priest, offering Himself as the once-for-all sacrifice for sin (<span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""7"" data-verses=""27"" data-lang=""en"" data-version=""NKJV"">Hebrews 7:27</span>). Unlike the priests of the Old Covenant who had to repeatedly offer sacrifices for their own sins and those of the people, Jesus, being sinless, offered His own blood to secure eternal redemption (<span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""9"" data-verses=""14"" data-lang=""en"" data-version=""NKJV"">Hebrews 9:14</span>).","2.  **Priest:** Jesus is the perfect High Priest, offering Himself as a once-for-all sacrifice for sin (<span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""7"" data-verses=""27"" data-lang=""en"" data-version=""NKJV"">Hebrews 7:27</span>). Unlike the priests of the Old Covenant who had to offer sacrifices repeatedly for their own sins and those of the people, Jesus, being without sin, shed His own blood to obtain eternal redemption (<span class=""x-scripture"" data-type=""ref"" data-book=""Hebrews"" data-chapter=""9"" data-verses=""14"" data-lang=""en"" data-version=""NKJV"">Hebrews 9:14</span>)."
