# Drift explanation generated 2026-01-30T02:05:37.236138
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/french/pipeline2/analysis/chapters/drift_report_chapter8_chapter_8_holy_spirit_comforter_guide_and_power_vs_chapter8_chapter_8_holy_spirit_comforter_guide_and_power.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"35","0.8926","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that the helper's role is to support and empower the work without being solely responsible for it, with only minor variations in wording.","The helper helps. They help empower the work, but their job is primarily to aid the work. The helper is not solely responsible for performing the work, but they come alongside to help accomplish it.","The helper helps. He contributes to strengthening the work, but his task is primarily to support the work. The helper is not solely responsible for carrying out the work, but he comes alongside to help accomplish it."
"49","0.9109","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, with only slight variations in wording. Both emphasize the Holy Spirit's dependence on the Father and His role as a helper or Comforter.","The Holy Spirit is from God and is of God. As Jesus said He did nothing except the father show Him (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 5:19</span>), the Holy Spirit too does nothing unless it's directed from the father. Because the Holy Spirit is the helper, He does not work on His own accord, but works in perfect harmony with the father.","The Holy Spirit comes from God and is of God. Just as Jesus said He did nothing unless the Father showed Him (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 5:19</span>), so the Holy Spirit also does nothing except under the Father’s direction. Because the Holy Spirit is the Comforter, He does not act on His own, but works in perfect harmony with the Father."
"58","0.8624","MEDIUM","no","paraphrase","Both phrases inquire about the relationship between a statement and Scripture, with no significant change in meaning. The terms 'align' and 'consistent' are synonymous in this context.","- Does this align with Scripture?","- Is this consistent with Scripture?"
"60","0.8144","LOW","yes","doctrinal","The original phrase emphasizes the quality of the fruit being 'godly,' suggesting a specific spiritual or moral standard, while the back-translation focuses on the fruit being produced 'according to God,' which could imply a broader interpretation of alignment with God's will rather than a specific quality.","- Does this produce godly fruit?","- Does it produce fruit according to God?"
"73","0.8948","MEDIUM","no","paraphrase","The back-translation uses 'Going further' instead of 'Diving deeper,' but both phrases convey a similar idea of progressing in understanding. The core message regarding the Spirit's role in bringing conviction remains unchanged.","Diving deeper, the Spirit brings conviction of these three truths:","Going further, the Spirit brings conviction of these three truths:"
"99","0.915","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that the church is the chosen instrument of Jesus for enacting change on earth, empowered by the Holy Spirit, with no significant differences in doctrinal meaning or intent.","Jesus' chosen instrument for change on the earth is His church, empowered, emboldened, and directed by the Holy Spirit.","The instrument chosen by Jesus to bring about change on the earth is His Church, clothed with power, emboldened, and led by the Holy Spirit."
"106","0.9139","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different wording but conveying the same intent of invoking God within a community of believers.","2.  Call out to Him as part of a **group** of people who know Him (the church), pause, and wait for Him to speak.","2.  Invoke Him within a **group** of people who know Him (the Church), pause, and wait for Him to speak."
"107","0.7622","LOW","yes","doctrinal","The original uses 'call out' while the back-translated version uses 'invoke,' which alters the nuance of the expression. 'Call out' suggests a direct vocalization or expression, while 'invoke' can imply a more abstract or formal calling upon something, potentially changing the intent behind the act of speaking.","I use the phrase ‘call out’ to mean literally, with your mouth, or however you speak (with your hands if you cannot speak aloud with your mouth). Why speak? A few reasons:","I use the expression ‘invoke’ to mean, literally, with your mouth, or in the way you express yourself (with your hands if you cannot speak out loud with your mouth). Why speak? A few reasons:"
"114","0.8507","MEDIUM","no","paraphrase","Both phrases inquire about the next step or continuation of a discussion. The change from 'Then what?' to 'And then?' does not alter the overall intent or logical relationship.","#### Then what?","#### And then?"
"118","0.8848","MEDIUM","yes","doctrinal","The original uses 'knowing,' which implies a deeper, experiential understanding, while 'certainty' in the back-translation suggests a more superficial assurance. This shift alters the theological nuance regarding the nature of understanding received from God.","- A knowing - the person talking to God gets an immediate understanding that helps them.","- A certainty - the person who is speaking to God receives an immediate understanding that helps them."
"119","0.9077","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, with only minor changes in wording (e.g., 'picture' to 'image') that do not affect the overall intent or doctrinal significance.","- A picture - also known in the scriptures as a vision or a dream (a vision is when you are awake, a dream is when you are asleep), God will give you a picture in your mind. Perhaps it’s a memory, or place you’ve been or know? Explore the picture, what do you see? What do you feel as a result? What’s happening?","- An image - also called in Scripture a vision or a dream (a vision is when you are awake, a dream when you are asleep), God will give you an image in your mind. Perhaps it is a memory, or a place where you have been or that you know? Explore the image, what do you see? What do you feel as a result? What is happening?"
"123","0.7334","CRITICAL","no","paraphrase","Both phrases convey a similar sense of inquiry about the next steps or situation, maintaining the original intent and logical relationship without altering the meaning.","Now what?","And now?"
"128","0.8739","MEDIUM","no","paraphrase","The terms 'build' and 'establish' are synonymous in this context, and both phrases convey the same intent of forming a relationship without altering the underlying meaning.","### Why build a relationship?","### Why establish a relationship?"
"129","0.8823","MEDIUM","yes","doctrinal","The term 'Helper' in the original is replaced with 'Comforter' in the back-translation, which may imply a different aspect of the Holy Spirit's role. 'Helper' emphasizes assistance in tasks, while 'Comforter' suggests emotional support, potentially altering the understanding of the Holy Spirit's function.","The Holy Spirit is the Helper. The Helper helps us! The work goes much more smoothly if we have a shared language, and relationship with Him. Can you imagine trying to work with someone in your job if you had no relationship, did not speak the same language, and couldn't communicate?!","The Holy Spirit is the Comforter. The Comforter helps us! Work goes much more smoothly if we have a common language and a relationship with Him. Can you imagine trying to work with someone at your job if you had no relationship, did not speak the same language, and could not communicate?!"
