# Drift explanation generated 2026-01-30T15:26:50.304194
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/analysis/chapters/drift_report_chapter9_chapter_9_the_church_our_role_in_it_vs_chapter9_chapter_9_the_church_our_role_in_it.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.9166","MEDIUM","no","paraphrase","Both paragraphs convey the same theological concept that the Church serves as God's presence on earth through His people, emphasizing the importance of their efforts in fulfilling His purpose and gathering the harvest.","The church is how God shows Himself on earth-through His people, doing His work. We are called to be His body, we are His hands and feet to accomplish His work and purpose. Without our efforts the harvest will remain in the field and will go un-reaped.","The Church is how God reveals Himself on earth—by having His people do His work. We are called to be His body; we are His hands and feet to carry out His work and purpose. If our effort diminishes, the harvest will remain in the field and will not be gathered."
"2","0.853","MEDIUM","yes","doctrinal","The original question 'Who is the Church?' implies a focus on the identity and community of the Church, while the back-translated question 'What is the Church?' shifts the focus to the definition and nature of the Church, potentially altering the theological emphasis.","## Who is the Church?","## What is the Church?"
"4","0.8226","LOW","yes","doctrinal","The original phrase 'Out of' suggests a state of separation or origin, while the back-translated phrase 'Come out' implies an action of exiting or movement, altering the conceptual meaning significantly.","- **""Ek""**: ""Out of.""","- **""Ek""**: ""Come out."""
"12","0.8962","MEDIUM","no","paraphrase","Both paragraphs convey the same concept of the Universal Church as a collective body of believers, with slight variations in wording but no significant change in meaning.","- **The Universal Church**: The collective body of all believers across time and space.","- **The Universal Church**: The corporate body of all believers at all times and in every place."
"17","0.8852","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, with only slight variations in wording and phrasing that do not alter the overall message.","The church was established by Jesus and increased in the 1st century A.D. by the work of the disciples who followed him. The church we have and experience today in all its local bodies across the Earth is a direct result of the original work of Christ and His apostles. As believers we are to be committed to a local church for fellowship, provision, equipping for ministry, and to do good works!","The Church was founded by Jesus, and it continued to grow in the 1st century AD through the work of His followers. The church we are part of and meet with today—in all its local bodies throughout the world—is a direct result of the original work of Christ and His apostles. As believers, we should be devoted to a local church to receive fellowship, care, equipping for ministry, and to do good works!"
"27","0.8563","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, emphasizing the church's identity as a unified and diverse community under Christ's leadership without altering any doctrinal or logical relationships.","Each analogy highlights a unique aspect of the church, yet together, they reveal the church's identity as a unified and diverse community under Christ's leadership.","Each metaphor portrays a particular aspect of the church, yet taken together, they reveal the church’s identity as a unified and yet diverse community under the leadership of Christ."
"40","0.8843","MEDIUM","no","paraphrase","The back-translated title 'The Role of the Church' is a slight rephrasing of 'Roles of the Church' but does not change the overall meaning or intent regarding the function of the Church.","## Roles of the Church","## The Role of the Church"
"50","0.8539","MEDIUM","no","paraphrase","The back-translation simplifies the title from 'The Leadership of the Church' to 'Church Leadership' without altering the core concept or intent, maintaining the same focus on the leadership aspect within the church context.","## The Leadership of the Church","## Church Leadership"
"51","0.9148","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different wording but conveying the same ideas about the diversity of Christian denominations and the significance of church leadership rules.","Across Christendom there are a wide variety of denominations, meetings, gatherings, and assemblies. There are very few universal rules to the leadership of the church, but the rules we do have are very significant:","Across the Christian world there are many kinds of denominations, gatherings, assemblies, and councils. There are very few universal rules for church leadership, but the rules we do have are very important:"
"62","0.8139","LOW","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, with only slight variations in wording. Both emphasize the importance of family dinner time and the variations in food and eating practices.","A useful example of tradition being the foundation for structure is family dinner time. The most important part of family dinner time is that everyone gets fed and that the meal is nourishing. The variations are endless: what they eat, how they eat, how they season their food, etc. The various combinations are generally acceptable and largely a matter of taste and preference.","A helpful example showing that culture underlies structure is the time of family dinner. The most important part of family dinner time is that everyone eats and the food is nourishing. The variations are endless: what they eat, how they eat, how they season their food, etc. The different combinations are generally acceptable, and are mostly a matter of taste and preference."
"74","0.9102","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, with only slight variations in wording. Both emphasize the necessity for candidates to demonstrate maturity and faithfulness and prohibit recent converts from leadership roles.","- **Tested and Approved** - Candidates had to demonstrate maturity and faithfulness before being entrusted with leadership (<span class=""x-scripture"" data-book=""1TI"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 3:10</span>). They cannot be recent converts! ((<span class=""x-scripture"" data-book=""1TI"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 3:6</span>)","- **Testing and Validation** - Candidates must demonstrate maturity and faithfulness before being entrusted with leadership (<span class=""x-scripture"" data-book=""1TI"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 3:10</span>). They are not allowed to be recent converts! ((<span class=""x-scripture"" data-book=""1TI"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 3:6</span>)"
"85","0.9005","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing the title without altering its intent or doctrinal content.","### Qualifications for Leadership","### Leadership Qualifications"
"92","0.8347","LOW","no","paraphrase","The back-translation 'Structural Examples' conveys the same concept as 'Example Structures' without altering the underlying meaning or intent.","### Example Structures","### Structural Examples"
"94","0.8696","MEDIUM","no","paraphrase","The phrases 'Church at Jerusalem' and 'The Church in Jerusalem' convey the same concept of a religious community located in Jerusalem without any significant change in meaning.","### Church at Jerusalem","### The Church in Jerusalem"
"96","0.8836","MEDIUM","no","paraphrase","The phrases 'Church at Antioch' and 'The Church in Antioch' convey the same concept of a Christian community located in Antioch, with no significant change in meaning.","### Church at Antioch","### The Church in Antioch"
"111","0.8282","LOW","yes","doctrinal","The original paragraph emphasizes a contrast between leadership and gifting, suggesting a distinction in roles or qualities, while the back-translated version implies a relationship or coexistence between the two concepts, potentially altering the intended doctrinal interpretation.","## Leadership Versus Gifting","## Leadership and Giftedness"
"112","0.9149","MEDIUM","no","paraphrase","Both paragraphs convey the same idea about the misunderstanding related to church leadership, specifically regarding the distinction between authority, responsibility, and gifts. The wording is different, but the core message remains unchanged.","A commonly misunderstood aspect of leadership in the church is the separation between the authority and responsibility of leadership, and specific giftings.","A commonly misunderstood point about church leadership is distinguishing between the authority and responsibility of leadership and particular gifts."
"119","0.9042","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, discussing church leadership and the analogy of the body without altering the intent or logical relationships.","So far in this chapter we’ve covered the leadership of the church and the core analogies for the church. Let’s build upon the specific analogy of *the body* and consider a marathon runner.","Up to this point in the chapter we have discussed church leadership and the central, foundational examples for the church. Let us build on the specific example of the *body* and consider a marathon runner."
"122","0.895","MEDIUM","yes","doctrinal","The back-translation shifts the emphasis from 'fellowship' to 'brotherhood,' which may imply a more exclusive or familial connection rather than a broader community aspect. Additionally, the phrase 'get the best from others' suggests a more utilitarian approach compared to the original's focus on mutual affection and support.","To really work and function together you need to fellowship! You need to know others, love others and ideally like others! Build strong relationships and friendships and repair them when they become stressed or injured. When a joint gets injured or inflamed, you need to work to rest and or reset it; so that the joint that’s dislodged doesn’t become broken! A broken and unhealing limb will eventually be separated, and you cannot be part of the body, alone.","To truly fit together and function you need brotherhood! You must know others, love others, and get the best from others! Build strong relationships and friendships, and repair them when they become strained or injured. When a joint is injured or inflamed, you must work to rest it or reset it; so that a dislocated joint does not break! A broken member that does not heal is eventually amputated, and you cannot be a part of the body by yourself."
"134","0.8378","LOW","no","paraphrase","The back-translated title retains the same conceptual meaning as the original, simply using a slightly different phrasing without altering the intent or focus on finding one's place or fit.","### Finding Where You Fit","### Finding Your Fit"
"143","0.9002","MEDIUM","yes","intentional","The original phrase is more ambiguous and does not specify what will be discussed, while the back-translated version explicitly states that 'these' will be discussed, indicating a specific subject matter. This change alters the intent by providing clarity and specificity.","- Discussed after this list.","- These will be discussed after this list."
"145","0.8315","LOW","no","paraphrase","Both paragraphs convey the same idea that certain topics were addressed earlier in the chapter, with no significant change in meaning or intent.","- Discussed previously in this chapter.","- These were discussed earlier in this chapter."
"147","0.9153","MEDIUM","no","paraphrase","The back-translation maintains the same core idea as the original, simply adding a pronoun to clarify that 'these' refers to the subjects discussed in the chapter on baptism.","- Discussed in the chapter on baptism.","- These were discussed in the chapter on baptism."
"161","0.9183","MEDIUM","no","paraphrase","The back-translation maintains the original intent and doctrinal meaning, simply substituting 'passions' with 'interests' without altering the overall message about serving God based on one's skills and excitement.","As you identify your gifts, consider your **passions and skills**. God often calls us to serve in areas we’re passionate about or skilled in (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""31"" data-lang=""en"" data-type=""ref"" data-verses=""2-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 31:2-6</span>). Reflect on what excites you about serving God and others, and think about how your professional skills, hobbies, and life experiences might contribute to ministry.","When identifying your gift, consider your **interests and skills**. God often calls us to serve in areas where we are interested or skilled (<span class=""x-scripture"" data-book=""EXO"" data-chapter=""31"" data-lang=""en"" data-type=""ref"" data-verses=""2-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Exodus 31:2-6</span>). Consider what excites you about serving God and others, and think about how your job skills, hobbies, and life experience can contribute to ministry."
"168","0.8805","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of being aware of God's work and personal effectiveness, with no significant changes in meaning or intent.","- Observe where God works through you and where you feel most effective.","- Pay attention to where God is working in you and where you find yourself most effective."
"169","0.9034","MEDIUM","yes","doctrinal","The original uses 'instructed' while the back-translation uses 'commanded,' which implies a stronger obligation. Additionally, 'give' is replaced with 'contribute,' which may alter the perception of the act's significance in a religious context.","Practice giving. We can give to the church in many important ways, and we are instructed to do so to accomplish the mission.","Practice giving. We can contribute to the church in many meaningful ways, and we are commanded to do so to accomplish the mission."
"184","0.8896","MEDIUM","yes","doctrinal","The original term 'called-out one' implies a specific theological identity often associated with being chosen or set apart, while the back-translation simplifies this to 'called,' which may lack the same depth of meaning and context.","1.  What does it mean to you personally to be a “called-out one”? How can you live out this identity in your daily life?","1.  What does it mean to you to be “called”? How can you live out this identity in your daily life?"
