# Drift report generated 2026-01-30T15:21:33.909977
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter13_chapter_13_spiritual_authority.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/backtranslation/chapters/chapter13_chapter_13_spiritual_authority.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9252","HIGH","Jesus is the ultimate and complete source of spiritual authority. As the triumphant Christ He has final authority over all things in heaven and the earth.","Jesus is the highest and complete source of spiritual authority. As the victorious Messiah, He has ultimate authority over all things in heaven and on earth."
"2","0.9998","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"3","0.9972","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> Then Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and behold, I am with you always, even to the end of the age."" Amen.\\n>"
"4","1.0","HIGH","</span>","</span>"
"5","0.971","HIGH","In this chapter we will study the authority and power of Christ, which authorities and powers He has delegated to us (His church), and how to operate in the authority of the name of Jesus. We will also study angelic and demonic beings and examine their authority, power, and natures.","In this chapter we will learn about the authority and power of Christ, the authorities and powers He has delegated to us (His church), and how to operate in the authority of the name of Jesus. We will also learn about angelic and demonic beings, and we will look at their authority, their power, and their characteristics."
"6","0.9972","HIGH","Authority means having the right to act. Power is the ability to carry it out. Both are essential in the spiritual life. Authority is different from power. Let’s look at the following table which compares authority &amp; power and consider a few examples.","Authority means having the right to act. Power is the ability to carry it out. Both are essential in the spiritual life. Authority is different from power. Let us look at the following table that compares authority &amp; power and consider a few examples."
"7","1.0","HIGH","[See Table 7](../tables/table7.md)","[See Table 7](../tables/table7.md)"
"8","0.992","HIGH","Here are a few examples to help understand the difference between power and authority.","Here are a few examples to understand the difference between power and authority."
"9","0.9823","HIGH","Example 1: At work, an employee may have the talents and skills to conduct a sale of the company's assets (power). This power is lawful if they also have the associated permission (authority) from the company’s owners. Without this authority, selling the company's assets is theft.","Example 1: At work, an employee may have the talent and skills to carry out the sale of the company's assets (power). This power is lawful only if they also have the relevant authorization (authority) from the owners of the company. Without this authority, the sale of the company's assets is theft."
"10","0.9589","HIGH","Example 2: A police officer is given special training in weapons and hand-to-hand combat to learn how to apprehend and physically compel a criminal (power). Police officers have been given the job responsibility backed up by laws (authority) to enforce criminal statutes.","Example 2: A police officer is given specialized training in firearms and hand-to-hand combat to learn how to apprehend a criminal and to use physical force (power). Police officers are given job responsibility supported by the laws (authority) to enforce the penal codes."
"11","0.9285","HIGH","## What is Jesus’ Authority?","## What is the Authority of Jesus?"
"12","0.9625","HIGH","As Jesus said in Matthew, ‘All authority’ has been given. Let's look at precisely what that authority entails:","As Jesus said in Matthew, ‘All authority’ has been given. Let us look at exactly what that authority consists of:"
"13","0.6458","CRITICAL","- Over Heaven and Earth","- Authority over Heaven and Earth"
"14","0.658","CRITICAL","- Over life and death","- Authority over life and death"
"15","0.6457","CRITICAL","- Over sin and forgiveness","- Authority over sin and forgiveness"
"16","0.7627","LOW","- Over demons and spiritual forces","- Authority over demons and spiritual forces"
"17","0.7054","CRITICAL","- Over sickness and disease","- Authority over sickness and disease"
"18","0.7457","CRITICAL","- To judge humanity","- Authority to judge humanity"
"19","0.6278","CRITICAL","- Over the Church","- Authority over the Church"
"20","0.7782","LOW","- Over creation and nature","- Above creation and nature"
"21","0.8476","LOW","- Over death, Hell, and the grave","- Above death, Hell, and the grave"
"22","1.0","HIGH","- To empower believers","- To empower believers"
"23","1.0","HIGH","### Authority Over Heaven and Earth","### Authority Over Heaven and Earth"
"24","0.9998","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"25","0.9997","HIGH","> **<u>Matthew 28:18</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>","> **<u>Matthew 28:18</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>"
"26","1.0","HIGH","</span>","</span>"
"27","0.9952","HIGH","Christ’s authority extends to everything in creation, including the physical and spiritual realms. This authority establishes His sovereign rule as King of kings and Lord of lords (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:16</span>). It forms the foundation for the Great Commission, empowering believers to spread the Gospel.","Christ’s authority extends over everything in creation, including the physical and spiritual realms. This authority establishes His sovereign rule as the King of kings and Lord of lords (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:16</span>). It becomes the foundation of the Great Commission, empowering believers to spread the Gospel."
"28","1.0","HIGH","### Authority Over Life and Death","### Authority Over Life and Death"
"29","0.9996","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""17-18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""17-18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"30","1.0","HIGH","> **<u>John 10:17-18</u>** (NKJV)\\n>\\n> ""Therefore My Father loves Me, because I lay down My life that I may take it again.\\n>\\n> No one takes it from Me, but I lay it down of Myself. I have power to lay it down, and I have power to take it again. This command I have received from My Father.""\\n>","> **<u>John 10:17-18</u>** (NKJV)\\n>\\n> ""Therefore My Father loves Me, because I lay down My life that I may take it again.\\n>\\n> No one takes it from Me, but I lay it down of Myself. I have power to lay it down, and I have power to take it again. This command I have received from My Father.""\\n>"
"31","1.0","HIGH","</span>","</span>"
"32","0.9256","HIGH","Jesus has complete control over life and death, demonstrated in His death and resurrection. He holds the key to eternal life, offering victory over death and fear for those who believe (<span class=""x-scripture"" data-book=""2TI"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 1:10</span>).","Jesus fully rules life and death, as shown by His death and resurrection. He holds the keys of eternal life, granting victory over death and fear to those who believe (<span class=""x-scripture"" data-book=""2TI"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 1:10</span>)."
"33","1.0","HIGH","### Authority Over Sin and Forgiveness","### Authority Over Sin and Forgiveness"
"34","1.0","HIGH","<span class=""x-scripture"" data-book=""MRK"" data-chapter=""2"" data-lang=""en"" data-type=""fragment"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MRK"" data-chapter=""2"" data-lang=""en"" data-type=""fragment"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"35","0.9807","HIGH","> **<u>Mark 2:10</u>** (NKJV)\\n>\\n> But that you may know that the Son of Man has power on earth to forgive sins""—He said to the paralytic,\\n>","> **<u>Mark 2:10</u>** (NKJV)\\n>\\n> But that you may know that the Son of Man has authority on earth to forgive sins""— he said to the paralytic,\\n>"
"36","1.0","HIGH","</span>","</span>"
"37","0.9978","HIGH","Christ has the authority to forgive sins, reconciling humanity to God through His atoning sacrifice. This authority demonstrates His divine nature and role as the Savior (<span class=""x-scripture"" data-book=""1JN"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 John 2:2</span>).","Christ has the authority to forgive sins, reconciling humanity to God through His atoning sacrifice. This authority reveals His divine nature and His role as the Savior (<span class=""x-scripture"" data-book=""1JN"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 John 2:2</span>)."
"38","1.0","HIGH","### Authority Over Demons and Spiritual Forces","### Authority Over Demons and Spiritual Forces"
"39","0.9999","HIGH","<span class=""x-scripture"" data-book=""LUK"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""LUK"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"40","0.9869","HIGH","> **<u>Luke 10:19</u>** (NKJV)\\n>\\n> Behold, I give you the authority to trample on serpents and scorpions, and over all the power of the enemy, and nothing shall by any means hurt you.\\n>","> **<u>Luke 10:19</u>** (NKJV)\\n>\\n> Behold, I have given you authority to tread on serpents and scorpions, and over all the power of the enemy, and nothing shall by any means hurt you.\\n>"
"41","1.0","HIGH","</span>","</span>"
"42","0.9887","HIGH","Jesus commands demons and spiritual powers, enforcing His victory over Satan (<span class=""x-scripture"" data-book=""1JN"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 John 3:8</span>). He delegates this authority to believers, enabling them to cast out demons and minister deliverance (<span class=""x-scripture"" data-book=""MRK"" data-chapter=""16"" data-lang=""en"" data-type=""ref"" data-verses=""17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Mark 16:17</span>).","Jesus commands demons and spiritual powers, exercising his victory over Satan (<span class=""x-scripture"" data-book=""1JN"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 John 3:8</span>). He delegates this authority to believers, enabling them to cast out demons and perform deliverance ministry (<span class=""x-scripture"" data-book=""MRK"" data-chapter=""16"" data-lang=""en"" data-type=""ref"" data-verses=""17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Mark 16:17</span>)."
"43","0.9625","HIGH","### Authority Over Sickness and Disease","### Authority over Sickness and Diseases"
"44","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""8"" data-lang=""en"" data-type=""quote"" data-verses=""16-17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""8"" data-lang=""en"" data-type=""quote"" data-verses=""16-17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"45","0.9995","HIGH","> **<u>Matthew 8:16-17</u>** (NKJV)\\n>\\n> When evening had come, they brought to Him many who were demon-possessed. And He cast out the spirits with a word, and healed all who were sick,\\n>\\n> that it might be fulfilled which was spoken by Isaiah the prophet, saying: ""HE HIMSELF TOOK OUR INFIRMITIES AND BORE OUR SICKNESSES.""\\n>","> **<u>Matthew 8:16-17</u>** (NKJV)\\n>\\n> When evening had come, they brought to him many who were demon-possessed. And he cast out the spirits with a word, and healed all who were sick,\\n>\\n> that it might be fulfilled which was spoken by Isaiah the prophet, saying: ""HE HIMSELF TOOK OUR INFIRMITIES AND BORE OUR SICKNESSES.""\\n>"
"46","1.0","HIGH","</span>","</span>"
"47","0.9737","HIGH","Jesus healed all types of diseases, fulfilling prophecy and demonstrating His authority over both sickness and spiritual affliction. Jesus used healing as a sign of His authority to forgive sin, showing that physical and spiritual restoration are both within His command.","Jesus healed every kind of disease, fulfilling prophecy and demonstrating his authority over both physical illness and spiritual affliction. Jesus used healing as a sign of his authority to forgive sins, showing that both physical and spiritual restoration are under his command."
"48","0.945","HIGH","### Authority to Judge All Humanity","### The Authority to Judge All Humanity"
"49","1.0","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""quote"" data-verses=""22-23"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""quote"" data-verses=""22-23"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
