# Drift report generated 2025-10-08T07:13:01.734418
# Source file: translation/chapter0_4_list_of_tables.md
# Back translation: backtranslation/chapter0_4_list_of_tables.md
"id","similarity","translation_quality","source","back_translation"
"0","0.3356","CRITICAL","# Orodha ya Majedwali","# List of Tables"
"1","0.7663","LOW","[Jedwali la 1 - Utafiti wa Neno: Mafundisho, Mwanafunzi, Amri [11](#table-1---word-study-doctrine-disciple-commandment)](#table-1---word-study-doctrine-disciple-commandment)","[Table 1 - Word Study: Doctrine, Disciple, Commandment [11](#table-1---word-study-doctrine-disciple-commandment)](#table-1---word-study-doctrine-disciple-commandment)"
"2","0.751","LOW","[Jedwali la 2 - Utafiti wa Neno: Dhambi [34](#table-2---word-study-sin)](#table-2---word-study-sin)","[Table 2 - Word Study: Sin [34](#table-2---word-study-sin)](#table-2---word-study-sin)"
"3","0.7374","CRITICAL","[Jedwali la 3 - Dhabihu za Agano la Kale [41](#table-3---old-testament-sacrifices)](#table-3---old-testament-sacrifices)","[Table 3 - Old Testament Sacrifices [41](#table-3---old-testament-sacrifices)](#table-3---old-testament-sacrifices)"
"4","0.7723","LOW","[Jedwali la 4 - Utafiti wa Neno: “Toba kutoka kwa matendo ya mauti” [63](#table-4---word-study-repentance-from-dead-works)](#table-4---word-study-repentance-from-dead-works)","[Table 4 - Word Study: “Repentance from dead works” [63](#table-4---word-study-repentance-from-dead-works)](#table-4---word-study-repentance-from-dead-works)"
"5","0.7692","LOW","[Jedwali la 5 - Utafiti wa Neno: “Imani kwa Mungu” [81](#table-5---word-study-faith-toward-god)](#table-5---word-study-faith-toward-god)","[Table 5 - Word Study: “Faith toward God” [81](#table-5---word-study-faith-toward-god)](#table-5---word-study-faith-toward-god)"
"6","0.8079","LOW","[Jedwali la 6 - Utafiti wa Neno: Mwanafunzi, Mwalimu, Aliyefundishwa Kikamilifu [190](#table-6---word-study-disciple-teacher-perfectly-trained)](#table-6---word-study-disciple-teacher-perfectly-trained)","[Table 6 - Word Study: Disciple, Teacher, Perfectly Trained [190](#table-6---word-study-disciple-teacher-perfectly-trained)](#table-6---word-study-disciple-teacher-perfectly-trained)"
"7","0.7525","LOW","[Jedwali la 7 - Utafiti wa Neno: Mamlaka dhidi ya Nguvu [205](#table-7---word-study-authority-vs-power)](#table-7---word-study-authority-vs-power)","[Table 7 - Word Study: Authority vs Power [205](#table-7---word-study-authority-vs-power)](#table-7---word-study-authority-vs-power)"
"8","0.772","LOW","[Jedwali la 8 - Sifa za Malaika [218](#table-8---characteristics-of-angels)](#table-8---characteristics-of-angels)","[Table 8 - Characteristics of Angels [218](#table-8---characteristics-of-angels)](#table-8---characteristics-of-angels)"
"9","0.7462","CRITICAL","[Jedwali la 9 - Majina ya Ibilisi [222](#table-9---names-of-the-devil)](#table-9---names-of-the-devil)","[Table 9 - Names of the Devil [222](#table-9---names-of-the-devil)](#table-9---names-of-the-devil)"
"10","0.764","LOW","[Jedwali la 10 - Majina ya Mungu katika Agano la Kale [239](#table-10---old-testament-names-of-god)](#table-10---old-testament-names-of-god)","[Table 10 - Names of God in the Old Testament [239](#table-10---old-testament-names-of-god)](#table-10---old-testament-names-of-god)"
"11","0.7575","LOW","[Jedwali la 11 - Sifa za Mungu [244](#table-11---attributes-of-god)](#table-11---attributes-of-god)","[Table 11 - Attributes of God [244](#table-11---attributes-of-god)](#table-11---attributes-of-god)"
"12","0.7621","LOW","[Jedwali la 12 - Majina ya Yesu [247](#table-12---names-of-jesus)](#table-12---names-of-jesus)","[Table 12 - Names of Jesus [247](#table-12---names-of-jesus)](#table-12---names-of-jesus)"
