# Drift report generated 2026-02-01T01:33:04.899721
# Source file: /Users/andrew/repo/principles-of-faith/english/chapters/chapter5_chapter_5_repentance_from_dead_works.md
# Back translation: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/backtranslation/chapters/chapter5_chapter_5_repentance_from_dead_works.md
"id","similarity","translation_quality","source","back_translation"
"1","0.965","HIGH","Oftentimes in Christianity we think about repentance as fundamental only to the beginning of our faith in Jesus. The heart of repentance goes much deeper than turning away from sin unto salvation. Repentance from dead works means living with our hearts turned away from the things that harm us or stunt our growth-and turned toward the things of God.","Often in Christianity, we tend to think of repentance as essential only at the beginning of faith in Jesus. The core of repentance is, much deeper than turning from sin for salvation. Repentance from dead works, means turning our hearts away from what harms us or hinders our growth, and living with our hearts turned toward the things of God."
"2","0.9817","HIGH","The author of Hebrews sets ‘repentance from dead works’ as the first item in the list of the foundational doctrines after the foundational principles of the Messiah (Chapter 4).","The author of Hebrews, positions ‘repentance from dead works’ as the first item in the list of foundational doctrines that follows the basic principles of the Messiah (Chapter 4)."
"3","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","1.0","HIGH","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.8756","MEDIUM","Let's take an in-depth look at the Greek for this phrase:","Let us take a closer look at the Greek of this phrase:"
"7","0.9998","HIGH","[See Table 4](../tables/table4.md)","[See Table 4](../tables/table4.md)"
"8","1.0","HIGH","### Dead Works","### Dead Works"
"9","0.9288","HIGH","Every person who has ever been employed knows what work is. Work is the set of tasks that you undertake to receive a paycheck so you can earn a living (employment). Employment is an agreement to trade your talents and efforts for something of value that will help sustain you. You work because you get something out of it.","Everyone who has ever been employed, knows what work is. Work, is a series of tasks (employment) undertaken for the purpose of receiving wages to earn a living. Employment, is an agreement to exchange your talents and labor for something of value that helps support your life. People, work because they can gain something of value by it."
"10","0.9312","HIGH","Our work is important, it can bring a sense of purpose, often a sense of identity. It's very common to be asked ‘What do you do for a living?’ and the response begins with a statement of identity ‘I am’. While work can be enjoyable and purposeful, it is also very likely to be physically or mentally tough, difficult, challenging, and stressful. If your job is none of these things, you might find it too menial and boring.","Our work is important, and brings a sense of purpose, and often a sense of identity. It is quite normal to be asked, ‘What is your occupation?’ and the response begins with the self-identifying turn of phrase, ‘I am ~’. While work can be enjoyable and purposeful, it can also be physically and mentally demanding, difficult, challenging, and very likely to be high in stress. If your job fits none of these, you may feel it is trivial and boring."
"11","0.9692","HIGH","If you work a 40-hour a week job, and sleep 8 hours per night, you spend 36% of your waking hours working, and this excludes the time you spend getting ready to work, commuting to work, taking care of a household, and all the other necessary tasks you need to do to keep the your life on track.","If you work 40 hours a week, and sleep 8 hours every night, you are spending 36% of your waking time on work, and this is, excluding the time spent on getting ready for work, commuting, housework, and every other task necessary to keep your life on track."
"12","0.9049","MEDIUM","Why do we do all this work? It varies, but definitionally because we get something of value from it.","Why do we do this much work? It varies, but by definition, it is because we can obtain something of value through it."
"13","0.908","MEDIUM","Would you continue to work at a job if they stopped paying you? For most of us the easy and painfully obvious answer is a resounding, NO!","If the pay stopped, would you continue that job? For most of us, the simple and painfully obvious answer is a resounding, NO!"
"14","0.9329","HIGH","Would you continue to work at a job if it was killing you? I suppose it depends on how quickly.","If that job were killing you, would you keep working? It would depend on how quickly."
"15","0.9746","HIGH","The context of ***nekros*** joined with ***erga*** is labor or work that is dead, has no vitality, cannot reproduce! The author of Hebrews is warning us of labor that is dead.","The context of ***nekros*** coupled with ***erga***, means labor or work that is dead, lacking vitality, and non-reproducing! The author of Hebrews, is warning us about dead labor."
"16","0.9759","HIGH","In the study of biology, there are several criteria that are used to determine if an organism is alive (this is a partial list used for our purpose):","In the study of biology, there are several criteria used to determine whether an organism is alive (here is a partial list for our purposes):"
"17","0.9832","HIGH","1.  **Metabolism**: Living things convert energy through metabolic processes to grow, develop, and sustain themselves.","1.  **Metabolism**: Living things convert energy through metabolic processes, grow, develop, and maintain themselves."
"18","0.9623","HIGH","2.  **Growth and Development**: Life involves growth and progression over time, with a specific life cycle and developmental changes.","2.  **Growth and development**: Life, includes growth and progression over time, and has specific life cycles and developmental changes."
"19","0.8527","MEDIUM","3.  **Reproduction**: Living things have the capacity to reproduce, creating offspring or new entities.","3.  **Reproduction**: Organisms have the ability to reproduce, producing offspring or new individuals."
"20","0.92","MEDIUM","4.  **Response to Stimuli**: Life responds to external stimuli (like light, heat, or sound) and can adjust to changes in the environment.","4.  **Response to stimuli**: Living organisms respond to external stimuli (light, heat, sound, etc.) and can adapt to changes in their environment."
"21","0.9973","HIGH","5.  **Homeostasis**: Living organisms maintain internal stability, such as temperature regulation or pH balance.","5.  **Homeostasis**: Living organisms maintain internal stability, such as temperature regulation and pH balance."
"22","0.9497","HIGH","6.  **Adaptation**: Over time, living things can adapt to their environments through genetic changes, allowing survival in various conditions.","6.  **Adaptation**: Over time, living organisms adapt to their environment through genetic changes and become able to survive under various conditions."
"23","0.8218","LOW","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:","If we apply these ‘life’ criteria to our actions with a bit of creative interpretation, then dead works are as follows:"
"24","0.983","HIGH","1.  Do not permit personal growth or development.","1.  Do not allow personal growth or development."
"25","0.9601","HIGH","2.  Do not reproduce, cannot produce a positive or desirable result.","2.  Do not reproduce; cannot produce positive or desirable outcomes."
"26","0.9899","HIGH","3.  Do not respond to external stimuli, the light of God’s presence or the sound of His voice.","3.  Do not respond to external stimuli, to the light of God’s presence or the sound of His voice."
"27","0.8513","MEDIUM","4.  Do not maintain internal stability, become dis-regulated, are not self-controlled.","4.  Cannot maintain internal stability, fall into dysregulation, and cannot self-regulate."
"28","0.9571","HIGH","5.  Do not adapt (are too rigid) and no longer help us survive.","5.  Do not adapt (are too rigid), and no longer serve our survival."
"29","0.9698","HIGH","Dead works are not God’s desire for us. God wants to bring us life!","Dead works are not what God desires for us. God wants to give us life!"
"30","1.0","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"31","0.9819","HIGH","> **<u>John 10:10</u>** (NKJV)\\n>\\n> The thief does not come except to steal, and to kill, and to destroy. I have come that they may have life, and that they may have it more abundantly.\\n>","> **<u>John 10:10</u>** (NKJV)\\n>\\n> The thief comes only to steal, kill, and destroy. I came so that they may have life, and have it abundantly.\\n>"
"32","1.0","HIGH","</span>","</span>"
"33","0.8464","LOW","While dead versus alive is a binary. Dying is a gradient. Our dead works may not be completely dead across every single category, yet, but they will become so! Dead works are like poisons, some have greater effects.","Whether something is dead or alive is a dichotomy. There are stages to dying. Our dead works may not yet be completely dead in every respect, but they will be! Dead works are like poison, and their strength of effect varies."
"34","0.9572","HIGH","Poison hurts the body by preventing it from functioning normally. Some poisons have small effects, like a headache. Others affect how we think, see, or even if we can bear children (live fruitfully). Dead works are just like that. They may just be a headache, or they may cause death.","Poison harms the body by preventing it from functioning properly. Some poisons have small effects, like a headache. Some affect thinking and vision, or even whether one can have children (whether one can live fruitfully). Dead works are exactly the same. Sometimes they amount to just a headache; sometimes they lead to death."
"35","0.94","HIGH","Dead works are any works that in review and consideration are not bringing the abundant life that Jesus promised. Having an extra marital affair is very strong poison, it's likely to have a full and negative effect quite soon. Being a needlessly stubborn and resentful person will slowly poison a person until they’ve driven everyone away from them.","Dead works, upon examination and reflection, are any actions that are not producing the abundant life Jesus promised. An extramarital affair is a very potent poison and is likely to soon exert pervasive, negative effects. Being needlessly stubborn and resentful slowly poisons a person and eventually drives everyone around them away."
"36","0.9289","HIGH","To be delivered from dead works, we must repent!","To be freed from dead works, we must repent!"
"37","1.0","HIGH","### Repentance","### Repentance"
"38","0.9475","HIGH","To ‘repent from dead works’ is to turn to God and leave behind anything that is hurting our walk with Him-starting with a change of heart and mind.","To ‘repent from dead works’ means to turn back to God and let go of whatever is impairing our walk with Him - it begins with a change of heart and mind."
"39","0.9423","HIGH","Building on the analogy of poison for dead works, if you found out that your favorite snack was full of toxic heavy metals that would give you a fatal condition if consumed, what would you do? We would without hesitation put it away from us, and never enjoy it again. Realizing that to consume it means our untimely, and probably painful death.","If we liken dead works to poison, then if you found out that your favorite snack was full of toxic heavy metals and that eating it would bring about a fatal condition, what would you do? We would unhesitatingly remove it from ourselves and never enjoy it again, understanding that consuming it would mean an untimely and likely painful death."
"40","0.8722","MEDIUM","We must repent! We must turn away from the things of this life that are poisoning us and leading to both our natural and spiritual death.","We must repent！ We must turn away from the things of this world, that are poisoning us, and leading us to death both physically and spiritually。"
"41","0.8538","MEDIUM","To understand this fully we need to look a bit deeper into the Greek language.","To understand this fully、we need to look a little deeper into the Greek。"
"42","0.8207","LOW","The term used in Hebrews is *repentance*. This is contrasted with the term *repent,* an example is found in","The word used in Hebrews is *repentance*です。 This is contrasted with the word *repent,* その一例は次に見られます"
"43","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"44","0.9105","MEDIUM","> **<u>Matthew 4:17</u>** (NKJV)\\n>\\n> From that time Jesus began to preach and to say, ""Repent, for the kingdom of heaven is at hand.""\\n>","> **<u>Matthew 4:17</u>** (NKJV)\\n>\\n> From that time Jesus began to preach and say, ""Repent。 For the kingdom of heaven has drawn near。""\\n>"
"45","1.0","HIGH","</span>","</span>"
"46","0.9037","MEDIUM","Repent (***Metanoeō***, pronounced *meh-tah-NO-eh-oh* - **G3340**) is a verb, it's an action or occurrence, it means to change one’s mind or purpose; to turn away from sin and toward God.","To repent（***Metanoeō***, pronounced *meh-tah-NO-eh-oh* - **G3340**）is a verbで, an act or occurrenceで, to change the mind or purpose; to turn from sin toward God。"
"47","0.8991","MEDIUM","Repentance (***Metanoia***, pronounced *meh-TAH-noi-ah* - **G3341**) is a noun, it's a state of having repented, it means to have a change of mind; the state of having turned away from sin and toward God.","Repentance（***Metanoia***, pronounced *meh-TAH-noi-ah* - **G3341**）is a nounで, the state of having repentedで, a changed mind; the state of having turned from sin toward God。"
"48","0.9148","MEDIUM","When God says in Hebrews ‘*repentance from dead works*’ He is saying to be in the state of having repented! We are to live in a continual state of having ‘turned away’ from dead works.","When God says in Hebrews『*repentance from dead works*』, He means being in a repented state！ We should constantly live in a state of being 『turned away』 from dead works。"
