# Drift report generated 2026-01-30T14:52:27.182076
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter0_6_preface.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/backtranslation/chapters/chapter0_6_preface.md
"id","similarity","translation_quality","source","back_translation"
"1","0.8409","LOW","## Building a Foundation that Lasts","## Laying a Lasting Foundation"
"2","0.9602","HIGH","I have always had a fascination with questions. Why is *something* true? What made it that way? How do we know? How are we sure? If *something* is true, what else is true? What is false? This fascination goes beyond a desire to be correct on a surface level, but to know deeply and precisely, and to be able to clearly articulate the new gained understanding.","I have always been fascinated by questions. Why is something true? What makes it so? How do we know? How can we be certain? If something is true, what else is true? What is false? This fascination goes beyond a desire to be correct at a surface level; it is to know deeply and precisely, and to be able to express the newly gained understanding clearly."
"3","0.9569","HIGH","While communication is common, effective and precise communication is challenging. To effectively communicate a message the author and originator must have an idea. However, the idea alone like water on a hard surface-its edges and boundaries are poorly defined, fluid, and easily moved around.","Though communication is common, effective and precise communication is challenging. To communicate effectively, the author and originator must first have an idea. However, an idea by itself is like water on a hard surface—it has blurry edges and boundaries, it is fluid, and it is easily pushed around."
"4","0.9769","HIGH","We use words, terms, and phrases to transform the raw idea from vaguely shaped to precisely shaped. Words give our idea a boundary, they help us distinguish and separate between what the idea is, and what it is not. Now our shaped idea must be transmitted and received through some medium. Whether in long form text, like this book, or short form text, like a social media post, or in oral form, like a conversation or a video recording, the medium transmits the now well-formed idea to the recipient.","We use words, terms, and phrases to turn raw ideas from vague shapes into precise forms. Words give our ideas boundaries, helping us distinguish and separate what the idea is and what it is not. Now that the idea has taken shape, it must be transmitted and received through some medium. Whether a long-form text, like this book, a short text, like a social media post, or an oral form, like a conversation or a recorded video, the medium carries this now-formed idea to the recipient."
"5","0.9442","HIGH","So far, we’ve only discussed the originator and author of the idea. For an idea to be useful, the recipient must receive, decode, and understand the message accurately. The transmitted and received messages should align closely.","Up to this point, we have only talked about the originator and author of the idea. For an idea to be useful, the receiver must accurately receive, decode, and understand the message. What is transmitted and what is received should be in high agreement."
"6","0.9562","HIGH","Every great human work is the by-product of effective communication. One man’s labor can only accomplish so much. To really build or perform something great, many men (speaking here generically of mankind) must labor together in a shared purpose, with a shared idea. Barring naturally occurring disasters (like a volcanic eruption) we also know that the greatest calamities to ever occur usually did so in significant part because of missing, broken or distorted communication. Truly life and death are in the power of the tongue (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 18:21</span>).","Every great human achievement is a byproduct of effective communication. What one person’s labor can accomplish is limited. To truly build or accomplish something great, many people (used generically here for humankind) must labor together under a shared goal and shared ideas. Apart from natural disasters (such as volcanic eruptions), we also know that history’s greatest catastrophes often largely stemmed from missing, broken, or distorted communication. Life and death are indeed in the power of the tongue (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 18:21</span>)."
"7","0.9841","HIGH","What we believe and how we communicate it has the power to build a person, a family, a community, a nation, or has the power to equally destroy them. What we believe is the foundation for our actions and is the blueprint for what we will do, who we will be, how we will exist. Because belief is expressed through action and communication, it defines the role we play in existence. Our beliefs shape not just our lives, but to a degree the lives of everyone around us.","What we believe and how we communicate it have the power to build up a person, a family, a community, a nation—and likewise the ability to destroy them. Our beliefs are the foundation of our actions, the blueprint for what we will do, who we will become, and how we will exist. Because belief is expressed through action and communication, it defines our role in existence. Our beliefs not only shape our own lives but also, to some degree, the lives of everyone around us."
"8","0.9651","HIGH","We must establish our beliefs accurately and learn to share them effectively. Jesus said as much when he said to His disciples:","We must establish our beliefs accurately and learn to share them effectively. Jesus said this to His disciples:"
"9","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""fragment"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""fragment"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"10","0.9957","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, ""All authority in heaven and on earth has been given to Me.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all that I have commanded you; behold, I am with you always, to the end of the age."" Amen.\\n>"
"11","1.0","HIGH","</span>","</span>"
"12","0.9666","HIGH","Many Christians today desire a stronger faith but lack a clear foundation to build upon. Without solid doctrine, we lack the firm foundation we need to stand strong; we risk being swayed by false teaching, discouraged in trials, or unprepared for the work God has called us to do. This book is designed to equip you with the foundational teachings of Scripture-truths that strengthen your faith, deepen your walk with Christ, and empower you to live a Spirit-filled life.","Today, many Christians long for stronger faith yet lack a clear foundation on which to build. Without solid doctrine, we lack the firm footing needed to stand; we risk being shaken by false teaching, discouraged in trials, or underprepared for the work God has called us to. This book aims to equip you with the Bible’s foundational teachings—truths that will strengthen your faith, deepen your walk with Christ, and empower you to live a Spirit-filled life."
"13","0.9757","HIGH","The Apostle Paul urged believers to be “*rooted and built up in Him and established in the faith*” (<span class=""x-scripture"" data-book=""COL"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 2:7</span>). To grow into mature, Spirit-led believers, we must first have deep roots in God’s truth. This is why doctrine matters. It is more than information; it is the framework that shapes how we live and respond to God.","The apostle Paul urges believers to be ""rooted and built up in Him, and established in the faith"" (<span class=""x-scripture"" data-book=""COL"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Colossians 2:7</span>). To grow into mature, Spirit-led believers, we must first put down deep roots in God’s truth. This is why doctrine matters. It is not merely information; it is the framework that shapes how we live and how we respond to God."
"14","0.9041","MEDIUM","## Why This Book, Who Is it For?","## Why write this book, and who is it for?"
