# Drift report generated 2026-01-30T14:53:50.583004
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter14_chapter_14_keep_watch.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/backtranslation/chapters/chapter14_chapter_14_keep_watch.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9147","MEDIUM","Having been given the spiritual authority of Christ on the Earth to establish His kingdom we should work with diligence and haste, for Jesus will return!","Since we have been given Christ’s spiritual authority on earth to establish His Kingdom, we ought to work diligently and swiftly, for Jesus is coming again!"
"2","0.9633","HIGH","The return of Christ is an important part of our faith. The study of the return of Christ and the end times is known as **eschatology**. Many books on eschatology have been written, and *most of them disagree with each other*! Specifically, they disagree on interpretations (figurative, literal, symbolic), the order and timings of the events in the scriptures. I'm reminded of the saying by the great Pentecostal evangelist Reinhard Bonke - “I will split hairs in heaven when I am done breaking chains on Earth!”","The return of Christ is an important component of our faith. The study of Christ’s return and the end times is called **eschatology**. Many books have been written on eschatology, *most of which disagree with one another*! Specifically, they differ in their interpretation of Scripture (figurative, literal, symbolic), and in the order and timing of events. I am reminded of a saying by the great Pentecostal evangelist Reinhard Bonnke - “When I’m done breaking chains on earth, I’ll go to heaven to nitpick!”"
"3","0.95","HIGH","As the author, I’m hesitant to dive very deep into this hotly debated topic given that this book is focused primarily on fundamentals of the faith. I will stick largely to the highest-level view of the events depicted in scripture and focus on what matters most - **the** **mission of the Gospel**!","As the author, given that this book mainly focuses on the foundations of the faith, I am not inclined to delve deeply into this hotly debated topic. I will largely stick to a high-level overview of the events depicted in Scripture and focus on what is most important - **the** **Gospel mission**!"
"4","0.8091","LOW","## Universally Agreed Upon Points:","## Points of general agreement:"
"5","0.8411","LOW","1.  Jesus Is Returning","1.  Jesus will come again"
"6","0.9297","HIGH","2.  Resurrection of the Dead","2.  The resurrection of the dead"
"7","0.9277","HIGH","3.  Judgment for All People","3.  Judgment for all"
"8","0.8309","LOW","4.  Eternal Destiny","4.  Eternal destiny"
"9","0.9506","HIGH","5.  A Defeated Enemy","5.  A defeated enemy"
"10","0.936","HIGH","6.  New Heaven and New Earth","6.  A new heaven and a new earth"
"11","0.9288","HIGH","For each point we will review what the concept is, look at reference scriptures, consider why it matters, and what we should do in light of it.","For each point, we will review its concept, look at reference Scriptures, consider its significance, and how we ought to act accordingly."
"12","0.8922","MEDIUM","### **1. Jesus Is Returning**","### **1. Jesus will come again**"
"13","0.9017","MEDIUM","**What It Is:** The **Second Coming of Christ** is the literal return of Jesus to the earth as King and Judge.","**What it is:** **The Second Coming of Christ** refers to Jesus truly returning to the earth as King and Judge."
"14","1.0","HIGH","<span class=""x-scripture"" data-book=""ACT"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""ACT"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"15","0.968","HIGH","> **<u>Acts 1:11</u>** (NKJV)\\n>\\n> who also said, ""Men of Galilee, why do you stand gazing up into heaven? This same Jesus, who was taken up from you into heaven, will so come in like manner as you saw Him go into heaven.""\\n>","> **<u>Acts 1:11</u>** (NKJV)\\n>\\n> They also said, ""Men of Galilee, why do you stand looking into heaven? This Jesus, who was taken up from you into heaven, will come in the same way as you saw Him go into heaven.""\\n>"
"16","1.0","HIGH","</span>","</span>"
"17","1.0","HIGH","<span class=""x-scripture"" data-book=""REV"" data-chapter=""22"" data-lang=""en"" data-type=""quote"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""REV"" data-chapter=""22"" data-lang=""en"" data-type=""quote"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"18","0.9639","HIGH","> **<u>Revelation 22:12</u>** (NKJV)\\n>\\n> ""And behold, I am coming quickly, and My reward is with Me, to give to every one according to his work.\\n>","> **<u>Revelation 22:12</u>** (NKJV)\\n>\\n> ""Behold, I am coming quickly, and My reward is with Me, to repay each one according to what he has done.\\n>"
"19","1.0","HIGH","</span>","</span>"
"20","0.8727","MEDIUM","**Why It Matters:** Christ’s return fulfills God’s promise to complete redemption and establish His kingdom. It reminds us to live with urgency, knowing we will one day see Him face-to-face.","**Why this is important：** Christ’s return fulfills God’s promise to complete redemption and establish His kingdom。It reminds us to live with a sense of urgency，because one day we will meet Him face to face。"
"21","0.9667","HIGH","**What Should We Do?**","**What should we do?**"
"22","0.8683","MEDIUM","- **Be Watchful:** Live in expectation of His return.","- **Be watchful：** Live with the hope of His return。"
"23","0.9167","MEDIUM","- **Stay Faithful:** Carry out the Great Commission (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:19-20</span>) with purpose and diligence.","- **Remain faithful：** Live with purpose and diligently carry out the Great Commission (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:19-20</span>)。"
"24","1.0","HIGH","### **2. Resurrection of the Dead**","### **2. Resurrection of the Dead**"
"25","0.8931","MEDIUM","**What It Is:** The **resurrection** is the raising of all people-both righteous and unrighteous-from the dead to face **judgment**.","**What it is：** **Resurrection** is the raising of all people——both the righteous and the unrighteous——from the dead to face **judgment**。"
"26","1.0","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""quote"" data-verses=""28-29"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""quote"" data-verses=""28-29"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"27","0.8857","MEDIUM","> **<u>John 5:28-29</u>** (NKJV)\\n>\\n> Do not marvel at this; for the hour is coming in which all who are in the graves will hear His voice\\n>\\n> and come forth—those who have done good, to the resurrection of life, and those who have done evil, to the resurrection of condemnation.\\n>","> **<u>John 5:28-29</u>** (NKJV)\\n>\\n> Do not marvel at this，for the hour is coming when all who are in the tombs will hear His voice，\\n>\\n> and come out：those who have done good，to the resurrection of life；those who have"
"40","0.938","HIGH","> **<u>Revelation 20:11-12</u>** (NKJV)\\n>\\n> Then I saw a great white throne and Him who sat on it, from whose face the earth and the heaven fled away. And there was found no place for them.\\n>\\n> And I saw the dead, small and great, standing before God, and books were opened. And another book was opened, which is the Book of Life. And the dead were judged according to their works, by the things which were written in the books.\\n>","> **<u>Revelation 20:11-12</u>** (NKJV)\\n>\\n> Then I saw a great and white throne and the One who sat on it；from His presence, heaven and earth fled, and no place was found for them。\\n>\\n> And I saw the dead, both small and great, standing before God, and the books were opened；another book was opened, which is the Book of Life。The dead were judged according to the things recorded in these books, according to what they had done。\\n>"
"41","1.0","HIGH","</span>","</span>"
"42","0.8922","MEDIUM","As described in the chapter on sin, there will be a great and dreadful final judgement for all non-believers. The punishment will be eternal separation from God! **This judgement is not for the believer.**","As described in the chapter on sin, all unbelievers will face a great and fearful final judgment。Its punishment will be eternal separation from God！**This judgment does not come upon believers.**"
"43","0.9338","HIGH","#### Judgement Seat of Christ","#### The Judgment Seat of Christ"
"44","0.9307","HIGH","As believers our names have been put in the **Lamb's *Book of Life*** *(*See the book of *Revelation)**.** As such we will stand* *the **Judgement Seat of Christ***. This judgement is not for condemnation, but rather for reward! Again**,** it is not a moment of **shame or fear** for believers, but a **celebration** of what God has accomplished through us. It reminds us that our lives matter-not just for today but for **eternity**.","As believers, our names have already been recorded in the **Lamb’s* Book of Life*** *(*see*Revelation)**.** Therefore we will stand* *before **the Judgment Seat of Christ***。This judgment is not for condemnation, but for reward！Again**,** for believers, this is not a moment of **shame or fear**, but a **celebration** of what God has accomplished through us。This reminds us that our lives matter—not only today, but for **eternity**。"
"45","1.0","HIGH","<span class=""x-scripture"" data-book=""2CO"" data-chapter=""5"" data-lang=""en"" data-type=""quote"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""2CO"" data-chapter=""5"" data-lang=""en"" data-type=""quote"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"46","0.9415","HIGH","> **<u>2 Corinthians 5:10</u>** (NKJV)\\n>\\n> For we must all appear before the judgment seat of Christ, that each one may receive the things done in the body, according to what he has done, whether good or bad.\\n>","> **<u>2 Corinthians 5:10</u>** (NKJV)\\n>\\n> For we must all appear before the judgment seat of Christ, so that each may receive what is due for the things done in the body, whether good or bad。\\n>"
"47","1.0","HIGH","</span>","</span>"
"48","1.0","HIGH","<span class=""x-scripture"" data-book=""1CO"" data-chapter=""3"" data-lang=""en"" data-type=""quote"" data-verses=""12-15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""1CO"" data-chapter=""3"" data-lang=""en"" data-type=""quote"" data-verses=""12-15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"49","0.9498","HIGH","> **<u>1 Corinthians 3:12-15</u>** (NKJV)\\n>\\n> Now if anyone builds on this foundation with gold, silver, precious stones, wood, hay, straw,\\n>\\n> each one's work will become clear; for the Day will declare it, because it will be revealed by fire; and the fire will test each one's work, of what sort it is.\\n>\\n> If anyone's work which he has built on it endures, he will receive a reward.\\n>\\n> If anyone's work is burned, he will suffer loss; but he himself will be saved, yet so as through fire.\\n>","> **<u>1 Corinthians 3:12-15</u>** (NKJV)\\n>\\n> If anyone builds on this foundation with gold, silver, precious stones, wood, hay, straw，\\n>\\n> each one’s work will become evident；for the Day will disclose it, because it will be revealed by fire, and the fire will test what sort of work each one has。\\n>\\n> If anyone’s work which he has built on it endures, he will receive a reward。\\n>\\n> If anyone’s work is burned up, he will suffer loss；but he himself will be saved, yet so as through fire。\\n>"
"50","1.0","HIGH","</span>","</span>"
"51","0.8824","MEDIUM","At this judgement we will receive rewards for the good works we have done! Everyone at this judgement lived and died as a believer, so their eternal salvation is guaranteed. However not everyone will have further reward. The New Testament mentions crowns as rewards that represent victory, honor, and faithfulness. These laurel crowns highlight God’s recognition of believers’ faithfulness and service in His Kingdom.","At this judgment, we will receive rewards for the good works we have done！Everyone who appears at this judgment has lived and died as a believer, and therefore their eternal salvation is secure。然而，并非每个人都会有进一步的赏赐。The New Testament mentions crowns as rewards, representing victory, honor, and faithfulness。These crowns highlight God’s recognition of believers’ faithfulness and service in His kingdom。"
"52","0.7897","LOW","The rewards:","Rewards："
"53","0.9281","HIGH","1.  **The Crown of Righteousness** *(<span class=""x-scripture"" data-book=""2TI"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 4:8</span>)* - For those who long for Christ’s appearing and live godly lives.","1.  **The Crown of Righteousness** *(<span class=""x-scripture"" data-book=""2TI"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 4:8</span>)* - Given to those who long for Christ’s appearing and live godly lives。"
"54","0.9058","MEDIUM","2.  **The Incorruptible Crown** *(<span class=""x-scripture"" data-book=""1CO"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""24-25"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 9:24-25</span>)* - For believers who practice self-discipline and faithfulness.","2.  **The Imperishable Crown** *(<span class=""x-scripture"" data-book=""1CO"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""24-25"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 9:24-25</span>)* - Given to believers who practice self-discipline and are faithful。"
"55","0.9511","HIGH","3.  **The Crown of Life** *(<span class=""x-scripture"" data-book=""JAS"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 1:12</span>; <span class=""x-scripture"" data-book=""REV"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 2:10</span>)* - For those who endure trials, persecution, and testing.","3.  **The Crown of Life** *(<span class=""x-scripture"" data-book=""JAS"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 1:12</span>; <span class=""x-scripture"" data-book=""REV"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 2:10</span>)* - Given to those who endure trials, persecution, and testing。"
"56","0.9259","HIGH","4.  **The Crown of Glory** *(<span class=""x-scripture"" data-book=""1PE"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""2-4"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 5:2-4</span>)* - For leaders and shepherds who faithfully guide God’s people.","4.  **The Crown of Glory** *(<span class=""x-scripture"" data-book=""1PE"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""2-4"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 5:2-4</span>)* - Given to leaders and shepherds who faithfully guide and pastor God’s people。"
"57","0.9414","HIGH","5.  **The Crown of Rejoicing** *(<span class=""x-scripture"" data-book=""1TH"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Thessalonians 2:19-20</span>)* - For those who lead others to Christ and make disciples.","5.  **The Crown of Rejoicing** *(<span class=""x-scripture"" data-book=""1TH"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Thessalonians 2:19-20</span>)* - Given to those who lead others to Christ and make disciples。"
