# Drift explanation generated 2026-01-30T00:17:25.797428
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/farsi/pipeline2/analysis/chapters/drift_report_chapter12_chapter_12_discipleship_vs_chapter12_chapter_12_discipleship.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.8927","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply rephrasing the introduction to the definition of the mission without altering its essence.","Discipleship is the primary command in the Great Commission. Jesus defined this mission in:","Discipleship is the primary command in the Great Commission. Jesus defined this mission as follows:"
"18","0.8043","LOW","no","paraphrase","The back-translation maintains the original concepts of educational models without altering their doctrinal meaning, logical relationships, or intent.","### Didactic Model vs Apprentice Model","### The Classroom Model versus the Apprenticeship Model"
"19","0.8722","MEDIUM","yes","doctrinal","The back-translation alters the term 'didactic model' to 'classroom model,' which may imply a broader or different teaching approach, potentially changing the doctrinal understanding of the educational method being described.","In modern day western education, the primary relationship the student has is with the material. The student’s learning is focused on content, material, books, videos, assignments, etc. The transformation of education happens via the curriculum. This method of teaching is known as the *didactic model*.","In the modern Western educational system, the primary relationship a student has is with content. A student’s learning centers on content, materials, books, videos, assignments, and so on. Educational transformation takes place through the curriculum. This mode of instruction is called the classroom model."
"22","0.8931","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that the didactic model is more scalable than the apprentice model, with MOOCs accommodating many students compared to the limited number of apprentices a master can teach.","The advantage of the didactic model is that it can scale more efficiently than the apprentice model. Massively open online courses (MOOCs) can have thousands of students at the same time, whereas even a very skilled master can only have perhaps a few dozen apprentices concurrently.","The advantage of the didactic model is that it can be more scalable than the discipleship pattern. Massive Open Online Courses (MOOCs) can have thousands of students at once, whereas even a highly skilled master may only be able to have several dozen disciples at a time."
"24","0.7267","CRITICAL","no","paraphrase","Both paragraphs convey the same core concept of a master-student relationship where wisdom is imparted, resulting in the student becoming capable of replicating the master's work and mentoring others. The terminology has changed slightly, but the overall meaning remains intact.","In the apprentice model the master shares more than knowledge, he imparts wisdom. The result of the apprentice model is that the student has become like the master so completely that the student can reproduce the work of the master and take on apprentices of his own.","In the discipleship pattern, the master shares more than knowledge; he imparts wisdom. The result of the discipleship pattern is that the disciple has become so like the master that he can reproduce the master’s work and take on disciples himself."
"26","0.6674","CRITICAL","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply using different terminology ('apprentice model' vs. 'discipleship pattern') without altering the underlying message.","Jesus describes the apprentice model in:","Jesus describes the discipleship pattern as follows:"
"30","0.86","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, using different words but conveying the same ideas about the roles of students in different educational models and the examination of key terms from a biblical passage.","In the didactic model the student becomes a carrier of the knowledge, in the apprentice model, the student becomes like the teacher. Let’s study the key words from that passage of Luke.","In the didactic model the student becomes a bearer of knowledge; in the discipleship pattern, the student becomes like the teacher. Let’s examine the key terms of that section of Luke."
"32","0.8062","LOW","no","paraphrase","Both paragraphs convey the same core idea regarding the dual purpose of the model used in discipleship, with only slight variations in wording and phrasing that do not alter the underlying meaning.","To summarize, the purpose and goal of the apprentice model used in discipleship is twofold:","In summary, the purpose and aim of the discipleship pattern used in disciple-making have two aspects:"
"35","0.9112","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that the inability to reproduce signifies a lack of health, whether in organisms or churches, without altering the core message or logical relationships.","Any organism that does not reproduce is barren, and its line is cut off. An animal that cannot reproduce is not healthy, a church that cannot reproduce is likewise unhealthy.","Every living thing that does not reproduce is sterile and its lineage is cut off. An animal that cannot reproduce is not healthy; likewise, a church that cannot reproduce is unhealthy."
"36","0.8881","MEDIUM","no","paraphrase","The back-translation uses 'Pattern' instead of 'Model' and 'Disciple-Making' instead of 'Discipleship,' but these changes do not alter the overall meaning or intent of the original text regarding Jesus' approach to teaching and mentoring followers.","## Jesus’ Model and Process of Discipleship","## Jesus’ Pattern and Process of Disciple-Making"
