# Drift report generated 2026-01-30T01:21:35.834012
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter14_chapter_14_keep_watch.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/spanish/pipeline2/backtranslation/chapters/chapter14_chapter_14_keep_watch.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9192","MEDIUM","Having been given the spiritual authority of Christ on the Earth to establish His kingdom we should work with diligence and haste, for Jesus will return!","Having been given the spiritual authority of Christ on Earth to establish His kingdom, we must work diligently and with urgency, ¡because Jesus will return!"
"2","0.9837","HIGH","The return of Christ is an important part of our faith. The study of the return of Christ and the end times is known as **eschatology**. Many books on eschatology have been written, and *most of them disagree with each other*! Specifically, they disagree on interpretations (figurative, literal, symbolic), the order and timings of the events in the scriptures. I'm reminded of the saying by the great Pentecostal evangelist Reinhard Bonke - “I will split hairs in heaven when I am done breaking chains on Earth!”","The return of Christ is an important part of our faith. The study of the return of Christ and the end times is known as **eschatology**. Many books have been written about eschatology, and *most of them do not agree with each other!* Specifically, they disagree on the interpretations (figurative, literal, symbolic), the order and the timing of the events in the Scriptures. The saying of the great Pentecostal evangelist Reinhard Bonke comes to mind: “I'll get down to splitting hairs in heaven when I'm done breaking chains on Earth”."
"3","0.9528","HIGH","As the author, I’m hesitant to dive very deep into this hotly debated topic given that this book is focused primarily on fundamentals of the faith. I will stick largely to the highest-level view of the events depicted in scripture and focus on what matters most - **the** **mission of the Gospel**!","As an author, I am reluctant to delve too deeply into this much-debated topic since this book focuses primarily on the foundations of the faith. I will largely stick to the high-level view of the events described in Scripture and focus on what matters most: **the** **Gospel mission**!"
"4","0.8887","MEDIUM","## Universally Agreed Upon Points:","## Universally accepted points:"
"5","0.9141","MEDIUM","1.  Jesus Is Returning","1.  Jesus will return"
"6","0.9718","HIGH","2.  Resurrection of the Dead","2.  Resurrection of the dead"
"7","0.969","HIGH","3.  Judgment for All People","3.  Judgment for all people"
"8","0.8308","LOW","4.  Eternal Destiny","4.  Eternal destiny"
"9","0.9506","HIGH","5.  A Defeated Enemy","5.  A defeated enemy"
"10","1.0","HIGH","6.  New Heaven and New Earth","6.  New Heaven and New Earth"
"11","0.9907","HIGH","For each point we will review what the concept is, look at reference scriptures, consider why it matters, and what we should do in light of it.","For each point we will review what the concept is, look at the reference Scriptures, consider why it matters, and what we should do in light of it."
"12","0.9473","HIGH","### **1. Jesus Is Returning**","### **1. Jesus will return**"
"13","0.9913","HIGH","**What It Is:** The **Second Coming of Christ** is the literal return of Jesus to the earth as King and Judge.","**What it is:** The **Second Coming of Christ** is the literal return of Jesus to the Earth as King and Judge."
"14","1.0","HIGH","<span class=""x-scripture"" data-book=""ACT"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""ACT"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"15","0.9517","HIGH","> **<u>Acts 1:11</u>** (NKJV)\\n>\\n> who also said, ""Men of Galilee, why do you stand gazing up into heaven? This same Jesus, who was taken up from you into heaven, will so come in like manner as you saw Him go into heaven.""\\n>","> **<u>Acts 1:11</u>** (NKJV)\\n>\\n> who also said: “Men of Galilee, ¿why do you stand gazing up into heaven? This same Jesus, who was taken up from you into heaven, will so come in like manner as you saw Him go into heaven.”\\n>"
"16","1.0","HIGH","</span>","</span>"
"17","1.0","HIGH","<span class=""x-scripture"" data-book=""REV"" data-chapter=""22"" data-lang=""en"" data-type=""quote"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""REV"" data-chapter=""22"" data-lang=""en"" data-type=""quote"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"18","1.0","HIGH","> **<u>Revelation 22:12</u>** (NKJV)\\n>\\n> ""And behold, I am coming quickly, and My reward is with Me, to give to every one according to his work.\\n>","> **<u>Revelation 22:12</u>** (NKJV)\\n>\\n> ""And behold, I am coming quickly, and My reward is with Me, to give to every one according to his work.\\n>"
"19","1.0","HIGH","</span>","</span>"
