# Drift report generated 2026-01-30T14:52:50.749238
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter12_chapter_12_discipleship.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/backtranslation/chapters/chapter12_chapter_12_discipleship.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9892","HIGH","Discipleship means following Jesus, learning from Him, and becoming more like Him in how we live and love. It involves a lifelong journey of obedience, transformation, and service, guided by the Holy Spirit, and rooted in God’s Word.","Discipleship means following Jesus, learning from Him, and becoming more like Him in our lives and love. It consists of a lifelong journey of obedience, transformation, and service, guided by the Holy Spirit and rooted in God’s Word."
"2","0.8593","MEDIUM","Discipleship is the primary command in the Great Commission. Jesus defined this mission in:","In the Great Commission, discipleship is the primary command. Jesus defined this mission as follows:"
"3","0.9978","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","0.9928","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> Then Jesus came and said to them, “All authority in heaven and on earth has been given to Me.\\n>\\n> Go therefore and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all that I have commanded you; behold, I am with you always, to the end of the age.” Amen.\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.984","HIGH","We, His followers, are to *“go and make disciples of all nations.”* Discipleship is about personal growth and about multiplying that growth by teaching others to follow Christ. Discipleship is the vehicle through which we build the Kingdom of God; the teachings of Jesus are the message.","As His followers, we are to *“go and make disciples of all nations.”* Discipleship is about personal growth and also about multiplying that growth by teaching others to follow Christ. Discipleship is the vehicle by which we build God’s kingdom; Jesus’ teaching is the message."
"7","0.9815","HIGH","The call to be a disciple is more than attending church or learning Bible verses-it is an invitation to live like Jesus and to partner with Him in advancing God’s Kingdom. Genuine discipleship helps believers become spiritually mature and effective for ministry (<span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:13</span>). It shapes both the heart and skills needed to serve others and share the Gospel. As Paul instructed Timothy in <span class=""x-scripture"" data-book=""2TI"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 2:2</span>, discipleship follows a pattern of spiritual multiplication, where trained disciples continue raising up new followers to lead other to Christ.","The call to be a disciple is not merely to attend church or memorize Bible verses-it is an invitation to live like Jesus and to partner with Him in advancing God’s kingdom. True discipleship helps believers mature spiritually and become more effective in ministry (<span class=""x-scripture"" data-book=""EPH"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ephesians 4:13</span>). It shapes the mindset and skills needed to serve others and share the gospel. As Paul taught Timothy in <span class=""x-scripture"" data-book=""2TI"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 2:2</span>, discipleship follows a pattern of spiritual multiplication, where trained disciples continue to raise up new followers and lead others to Christ."
"8","0.9746","HIGH","Discipleship is both an individual calling and a global mission. On a personal level, it involves growing in faith, developing an active spiritual life, being in relationship with others &amp; God. At the same time, it fuels the mission of the Church to reach every nation with the Gospel, ensuring that the message of Christ continues to expand and transform lives across generations.","Discipleship is both a personal calling and a global mission. On a personal level, it involves growth in faith, developing a vibrant spiritual life, and building relationships with others and with God. At the same time, it propels the church to reach the nations with the gospel, ensuring that Christ’s message continues to expand and transform lives across generations."
"9","1.0","HIGH","## Why Discipleship Matters","## Why Discipleship Matters"
"10","0.9733","HIGH","The impact of discipleship goes beyond personal transformation-it has a Kingdom impact. Paul reminded Timothy in <span class=""x-scripture"" data-book=""2TI"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 2:2</span> to entrust what He had learned to faithful men who would then teach others also. This generational pattern highlights how discipleship is the engine that drives the growth and sustainability of the Church. Discipleship matters because it was Jesus’ chosen method for spreading the Gospel and building His Church.","The impact of discipleship goes beyond personal change-it brings kingdom impact. In <span class=""x-scripture"" data-book=""2TI"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Timothy 2:2</span>, Paul reminds Timothy to entrust what he has learned to faithful people who will be able to teach others also. This generational pattern shows that discipleship is the engine driving the church’s growth and endurance. Discipleship matters because it is the method Jesus chose to spread the gospel and build His church."
"11","0.9598","HIGH","Rather than focusing on large crowds, Jesus intentionally invested in a small group of followers, teaching them, modeling faithfulness, and preparing them to carry forward His mission. This personal, relational approach ensured that His message would multiply, as each disciple was equipped to make more disciples.","Jesus did not focus on massive crowds, but intentionally cultivated a small group of followers, teaching them, modeling faithfulness for them, and preparing them to carry on His mission. This personal, relational approach ensured that His message would multiply, because each disciple was equipped to bring forth more disciples."
"12","0.9484","HIGH","At its core, discipleship is central to fulfilling the Great Commission (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:19-20</span>). Jesus did not just call us to make converts but to make disciples-followers who are grounded in God’s Word, empowered by the Holy Spirit, and equipped for ministry. Through discipleship, believers grow in their knowledge of Scripture, develop spiritual disciplines, and learn to walk in obedience to Christ. It prepares the Church to impact the world, advance the Gospel, and reflect the glory of God to all nations.","Essentially, discipleship is at the heart of fulfilling the Great Commission (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 28:19-20</span>). Jesus calls us not merely to decisions of faith but to make disciples-these followers are rooted in God’s Word, empowered by the Holy Spirit, and equipped for ministry. Through discipleship, believers grow in their understanding of Scripture, establish spiritual disciplines, and learn to walk in obedience to Christ. Discipleship prepares the church to impact the world, advance the gospel, and reflect God’s glory among the nations."
"13","0.9267","HIGH","### Nature vs Nurture","### Nature and Nurture"
"14","0.9295","HIGH","In the study of biology, psychology, and anthropology we often consider the impact of nature versus nurture. The question often posed, is a person more the result of their innate, in-built genetic heritage? Or are they more the result of their environment and upbringing? The truth is that every person is a blend of nature and nurture. Both elements in strong interplay choreograph the development of a human soul.","In studies of biology, psychology, and anthropology, we often consider the influence of nature and nurture. People often ask whether a person is shaped more by inborn genetic inheritance, or more by environment and upbringing. The truth is that everyone is a fusion of nature and nurture. These two factors interact powerfully, together composing the growth of a person’s soul."
"15","0.9411","HIGH","When you accepted Jesus, the miracle of salvation made you born-again of incorruptible seed. You received a godly nature! Your spiritual DNA was re-written! This godly nature causes a stirring in our hearts to be close to our heavenly Father, to know Him, to experience Him.","When you receive Jesus, the miracle of salvation causes you to be born again by that imperishable seed. You receive a godly nature! Your spiritual DNA is rewritten! This godly nature stirs our hearts to draw near to the Father, to know Him, and to experience Him."
"16","0.943","HIGH","Just as a new-born, whose wonderful, beautiful, innocent nature must be shaped by loving parents to develop into a healthy and mature individual, we too must be shaped and nurtured to be developed.","Just as a newborn’s beautiful, lovely, innocent nature must be shaped by loving parents in order to grow into a healthy, mature person, we too must be formed and nourished in order to grow."
"17","0.9585","HIGH","Discipleship is the process of spiritual development that builds upon our godly nature and makes us spiritually mature. Through investing in discipleship, we ensure that faith is passed down, leaders are raised up, and the Church remains healthy and vibrant-both locally and globally.","Discipleship is the spiritual growth process that builds upon our godly nature and brings us to spiritual maturity. By committing to discipleship, we ensure that the faith is passed on, leaders are raised up, and the church remains healthy and vibrant at both the local and global levels-whether locally or globally."
"18","0.9645","HIGH","### Didactic Model vs Apprentice Model","### Didactic Model vs Apprenticeship Model"
"19","0.9295","HIGH","In modern day western education, the primary relationship the student has is with the material. The student’s learning is focused on content, material, books, videos, assignments, etc. The transformation of education happens via the curriculum. This method of teaching is known as the *didactic model*.","In contemporary Western education, a student’s primary relationship is with the curriculum. Students’ learning focuses on content, materials, books, videos, assignments, and so on. Educational change is achieved through courses. This instructional approach is called the *didactic model*."
"20","0.8997","MEDIUM","The paradigm of the didactic model has not always been the norm. The model and method used in Jesus’ age was the *apprentice model.* This model of learning emphasizes knowledge being more ‘caught than taught’ and focuses more on the relationship between student and teacher, than student and curriculum.","The lecture-based model has not always been the norm. The model and method used in Jesus’ time was *the apprenticeship model.* This learning model emphasizes that knowledge is more “caught than taught,” and it focuses more on the relationship between student and teacher than on the relationship between student and curriculum."
