# Drift report generated 2025-10-08T07:13:01.008767
# Source file: translation/chapter0_3_table_of_contents.md
# Back translation: backtranslation/chapter0_3_table_of_contents.md
"id","similarity","translation_quality","source","back_translation"
"0","0.4112","CRITICAL","# Yaliyomo","# Contents"
"1","0.8055","LOW","[Ithaf [III](#dedication)](#dedication)","[Dedication [III](#dedication)](#dedication)"
"2","0.7695","LOW","[Shukurani [III](#acknowledgements)](#acknowledgements)","[Acknowledgements [III](#acknowledgements)](#acknowledgements)"
"3","0.6802","CRITICAL","[Yaliyomo [IV](#table-of-contents)](#table-of-contents)","[Table of Contents [IV](#table-of-contents)](#table-of-contents)"
"4","0.7341","CRITICAL","[Orodha ya Majedwali [V](#list-of-tables)](#list-of-tables)","[List of Tables [V](#list-of-tables)](#list-of-tables)"
"5","0.7302","CRITICAL","[Dibaji [VI](#foreword)](#foreword)","[Foreword [VI](#foreword)](#foreword)"
"6","0.6945","CRITICAL","[Utangulizi [1](#preface)](#preface)","[Preface [1](#preface)](#preface)"
"7","0.7364","CRITICAL","[Sura ya 1 - Mafundisho Sahihi ni Muhimu [10](#chapter-1---sound-doctrine-matters)](#chapter-1---sound-doctrine-matters)","[Chapter 1 - Sound Doctrine Matters [10](#chapter-1---sound-doctrine-matters)](#chapter-1---sound-doctrine-matters)"
"8","0.746","CRITICAL","[Sura ya 2 - Mungu-Muumba wa Milele na Baba Mwenye Upendo [22](#chapter-2---godeternal-creator-and-loving-father)](#chapter-2---godeternal-creator-and-loving-father)","[Chapter 2 - God-Eternal Creator and Loving Father [22](#chapter-2---godeternal-creator-and-loving-father)](#chapter-2---godeternal-creator-and-loving-father)"
"9","0.7295","CRITICAL","[Sura ya 3 - Dhambi na Ukombozi [33](#chapter-3---sin-and-redemption)](#chapter-3---sin-and-redemption)","[Chapter 3 - Sin and Redemption [33](#chapter-3---sin-and-redemption)](#chapter-3---sin-and-redemption)"
"10","0.7916","LOW","[Sura ya 4 - Yesu-Masihi [49](#chapter-4-jesusthe-messiah)](#chapter-4-jesusthe-messiah)","[Chapter 4 - Jesus-Messiah [49](#chapter-4-jesusthe-messiah)](#chapter-4-jesusthe-messiah)"
"11","0.7689","LOW","[Sura ya 5 - Toba kutokana na Matendo Mafu [62](#chapter-5---repentance-from-dead-works)](#chapter-5---repentance-from-dead-works)","[Chapter 5 - Repentance from Dead Works [62](#chapter-5---repentance-from-dead-works)](#chapter-5---repentance-from-dead-works)"
"12","0.7586","LOW","[Sura ya 6 - Imani kwa Mungu [80](#chapter-6---faith-toward-god)](#chapter-6---faith-toward-god)","[Chapter 6 - Faith toward God [80](#chapter-6---faith-toward-god)](#chapter-6---faith-toward-god)"
"13","0.748","CRITICAL","[Sura ya 7 - Yesu-Msingi wa Imani Yetu [99](#chapter-7---jesusthe-foundation-of-our-faith)](#chapter-7---jesusthe-foundation-of-our-faith)","[Chapter 7 - Jesus-Foundation of Our Faith [99](#chapter-7---jesusthe-foundation-of-our-faith)](#chapter-7---jesusthe-foundation-of-our-faith)"
