# Drift explanation generated 2026-01-30T15:32:28.551520
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/analysis/chapters/drift_report_chapter13_chapter_13_spiritual_authority_vs_chapter13_chapter_13_spiritual_authority.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"13","0.6458","CRITICAL","yes","doctrinal","The original phrase 'Over Heaven and Earth' suggests a general dominion or presence, while the back-translated phrase 'Authority over Heaven and Earth' implies a specific power or control, altering the theological implications of divine sovereignty.","- Over Heaven and Earth","- Authority over Heaven and Earth"
"14","0.658","CRITICAL","yes","doctrinal","The original phrase 'Over life and death' suggests a general concept of existence and mortality, while the back-translated phrase 'Authority over life and death' introduces a specific notion of power or control, altering the theological implications regarding agency and responsibility.","- Over life and death","- Authority over life and death"
"15","0.6457","CRITICAL","yes","doctrinal","The original phrase 'Over sin and forgiveness' suggests a general discussion about the concepts of sin and forgiveness, while the back-translated phrase 'Authority over sin and forgiveness' implies a specific power or control over these concepts, altering the theological implications regarding the nature of sin and forgiveness.","- Over sin and forgiveness","- Authority over sin and forgiveness"
"16","0.7627","LOW","yes","doctrinal","The original phrase suggests a general presence or influence over demons and spiritual forces, while the back-translated version implies a specific authority or control over them, altering the theological implications of power dynamics.","- Over demons and spiritual forces","- Authority over demons and spiritual forces"
"17","0.7054","CRITICAL","yes","doctrinal","The original phrase suggests a general state of being above sickness and disease, while the back-translated version implies a specific authority or power over them, altering the theological implications regarding control and dominion.","- Over sickness and disease","- Authority over sickness and disease"
"18","0.7457","CRITICAL","yes","doctrinal","The original phrase 'To judge humanity' implies a general action or capability, while the back-translated phrase 'Authority to judge humanity' introduces a specific notion of power or permission, altering the conceptual understanding of judgment from an action to one that requires legitimacy or authority.","- To judge humanity","- Authority to judge humanity"
"19","0.6278","CRITICAL","yes","doctrinal","The original phrase 'Over the Church' is more ambiguous and could imply general oversight, while 'Authority over the Church' specifies a power dynamic, suggesting a hierarchical relationship that may alter the understanding of governance within the Church.","- Over the Church","- Authority over the Church"
"20","0.7782","LOW","yes","doctrinal","The original phrase 'Over creation and nature' suggests a position of authority or governance, while 'Above creation and nature' implies a more detached or elevated perspective. This change alters the theological implications regarding the relationship between the subject and creation.","- Over creation and nature","- Above creation and nature"
"21","0.8476","LOW","yes","doctrinal","The original phrase 'over death, Hell, and the grave' suggests a position of authority or victory, while 'above death, Hell, and the grave' implies a more distant or elevated state, potentially altering the interpretation of dominion or control over these concepts.","- Over death, Hell, and the grave","- Above death, Hell, and the grave"
"63","0.8628","MEDIUM","no","paraphrase","The terms 'Authority' and 'Power' are often used interchangeably in theological contexts, and both phrases convey a similar concept of dominion over death, hell, and the grave without altering the underlying meaning.","### Authority Over Death, Hell, and the Grave","### Power Over Death, Hell, and the Grave"
"68","0.73","CRITICAL","yes","doctrinal","The original phrase 'Authority to Empower Believers' emphasizes the concept of divine authority granted to enable believers, while the back-translated phrase 'Power to Strengthen Believers' shifts the focus to a more general sense of power, potentially altering the theological implications regarding the source and nature of that empowerment.","### Authority to Empower Believers","### Power to Strengthen Believers"
"73","0.8538","MEDIUM","yes","doctrinal","The term 'authority' implies a right to command or enforce obedience, while 'power' suggests the ability to act or influence. This shift alters the theological understanding of Jesus' role and nature, affecting interpretations of his divine status and relationship to followers.","## The Source of Jesus’ Authority","## The Source of Jesus' Power"
"74","0.8643","MEDIUM","yes","doctrinal","The original paragraph emphasizes 'authority' while the back-translated version uses 'power,' which can imply a different theological nuance. The term 'authority' suggests a rightful claim to govern or command, while 'power' may imply mere ability or strength, potentially altering the understanding of Jesus' relationship with God the Father and His role in relation to human free will.","Now that we have looked at precisely what authority is we need to know who the source of that authority is. Jesus’ authority is both divine and delegated. It originates from God the Father, is affirmed through His death and resurrection, and operates in perfect harmony with the Father’s will. Though absolute, His authority respects human free will, demonstrating God’s love rather than forceful control.","Now that we have properly examined what power is, we need to know who the source of that power is. Jesus’ power is divine and delegated. It comes from God the Father, is confirmed by His death and resurrection, and operates perfectly in accordance with the will of the Father. Although it is absolute, His power respects human free will, revealing God’s love rather than a rule by force."
"80","0.919","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply rephrasing it without altering the core message about Jesus' authority and alignment with the Father's purpose.","Even though Jesus has all authority, He uses it in full agreement with the Father’s heart and purpose:","Although Jesus has all authority, He uses it in a way that fully aligns with the Father's heart and purpose:"
"89","0.8124","LOW","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, using different wording but conveying the same concepts of Christ's authority, love, grace, and the respect for free will.","Christ’s authority works through love and grace to restore broken lives and empower believers. Christ calls, but does not force obedience, demonstrating love instead of domination. While Jesus does not override free will, He allows people to experience the consequences of their choices:","The power of the Messiah operates in love and grace to restore broken lives and strengthen believers. The Messiah calls, but does not force obedience, showing love rather than oppression. Although Jesus does not override free will, He allows people to experience the consequences of their choices:"
"93","0.8925","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that Jesus has given authority to His followers, with no significant change in doctrinal meaning, logical relationship, or intent.","## Jesus Delegated Certain Authority to His Followers","## Jesus has delegated specific powers to His followers"
