# Drift explanation generated 2026-01-30T15:54:39.239041
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/analysis/chapters/drift_report_chapter3_chapter_3_sin_and_redemption_vs_chapter3_chapter_3_sin_and_redemption.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"5","0.8575","MEDIUM","no","paraphrase","Both paragraphs convey the same concepts of sin occurring in a single moment versus sin committed habitually, without altering the doctrinal meaning or logical relationships.","- Sin of a single moment, sin habitually committed","- Sins committed in a moment, sins committed habitually"
"6","0.8207","LOW","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply rephrasing it without altering the doctrinal implications or logical relationships.","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sins requiring severe punishment such as death, sins requiring financial restitution"
"13","0.8815","MEDIUM","no","paraphrase","Both paragraphs convey the same event from Genesis 4, where Cain kills Abel, without altering the doctrinal meaning, logical relationship, or intent.","Let's consider Cain’s murder of his brother Able in Genesis 4.","Consider the incident in Genesis 4 where Cain killed his brother Abel."
"18","0.8832","MEDIUM","no","paraphrase","Both sentences convey the same idea that an appropriate sacrifice or offering was not provided, maintaining the original intent and meaning without introducing any significant changes.","1.  He failed to offer a proper sacrifice.","1. He failed to bring the appropriate offering."
"19","0.9055","MEDIUM","yes","doctrinal","The original uses 'waiting to devour him,' while the back-translation uses 'crouching to devour him.' This change in wording alters the imagery and urgency of sin's threat, which can affect the interpretation of the nature of sin and its immediate danger.","2.  He ignored the warning from Jehovah (God), that sin was waiting to devour him.","2. He ignored the warning from Yahweh (God)—that sin was crouching to devour him."
"22","0.8585","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply substituting 'consequences' with 'results' without altering the theological implications or intent.","What were the consequences of Cain’s actions?","What were the results of Cain's actions?"
"23","0.8378","LOW","yes","doctrinal","The term 'sacrifice' carries specific theological implications, often related to atonement or devotion, whereas 'offering' is more general and may not convey the same depth of meaning in a doctrinal context.","- His sacrifice was not accepted.","- His offering was not accepted."
"24","0.8061","LOW","yes","doctrinal","The original uses the term 'sacrifice,' which carries specific theological implications, while the back-translation uses 'offering,' which may not convey the same depth of meaning related to sacrifice in a religious context. Additionally, 'miserable' and 'extremely grieved' suggest different emotional intensities.","- He felt miserable about the state of his sacrifice.","- He felt extremely grieved about the state of his offering."
"63","0.8466","LOW","yes","doctrinal","The original implies that sin inherently necessitates sacrifice, suggesting a theological principle. The back-translation shifts the focus to sacrifice being a requirement for sin, which alters the doctrinal interpretation of the relationship between sin and sacrifice.","## Sin Requires Sacrifice","## Sacrifice is required for sin"
"76","0.6478","CRITICAL","yes","doctrinal","The term 'Collective Sin' implies a shared moral failing among a group, often with a theological context, while 'Corporate Sin' suggests a sin associated with a specific organization or institution, potentially altering the focus from a broader moral concept to a more institutional one.","## Collective Sin","## Corporate Sin"
"88","0.8988","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that the books of the Bible address sin and its consequences, specifically through the legal framework established in the Torah, without altering the doctrinal or logical meaning.","The books of the Bible focus on the issue of sin differently. When Moses recorded the law in the Torah (the first five books of the Old Testament) he recorded specific punishments for specific sins/crimes. I use the word crime here interchangeably, because the books of the law were the legal system of the day for the Israelites.","The books of the Bible present the matter of sin in different ways. When Moses wrote down the law in the Torah (the first five books of the Old Testament), he recorded specific penalties for specific sins/offenses. Here I am using the word 'offense' interchangeably, because the law books were effectively the legal system for the Israelites of that time."
