# Drift report generated 2026-01-30T01:22:09.537943
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter5_chapter_5_repentance_from_dead_works.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/spanish/pipeline2/backtranslation/chapters/chapter5_chapter_5_repentance_from_dead_works.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9843","HIGH","Oftentimes in Christianity we think about repentance as fundamental only to the beginning of our faith in Jesus. The heart of repentance goes much deeper than turning away from sin unto salvation. Repentance from dead works means living with our hearts turned away from the things that harm us or stunt our growth-and turned toward the things of God.","Often in Christianity we think of repentance as something fundamental only for the beginning of our faith in Jesus. The heart of repentance goes far beyond turning from sin for salvation. Repentance from dead works means living with our hearts turned away from the things that harm us or hold back our growth-and turned toward the things of God."
"2","0.9871","HIGH","The author of Hebrews sets ‘repentance from dead works’ as the first item in the list of the foundational doctrines after the foundational principles of the Messiah (Chapter 4).","The author of Hebrews sets 'repentance from dead works' as the first item in the list of the foundational doctrines after the elementary principles of the Messiah (Chapter 4)."
"3","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","1.0","HIGH","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.9644","HIGH","Let's take an in-depth look at the Greek for this phrase:","Let's take an in-depth look at the Greek of this phrase:"
"7","0.9998","HIGH","[See Table 4](../tables/table4.md)","[See Table 4](../tables/table4.md)"
"8","0.8915","MEDIUM","### Dead Works","### Dead works"
"9","0.965","HIGH","Every person who has ever been employed knows what work is. Work is the set of tasks that you undertake to receive a paycheck so you can earn a living (employment). Employment is an agreement to trade your talents and efforts for something of value that will help sustain you. You work because you get something out of it.","Everyone who has ever been employed knows what work is. Work is the set of tasks you undertake to receive a wage with which you can make a living (employment). Employment is an agreement to exchange your talents and efforts for something of value that helps you sustain yourself. You work because you get something out of it."
"10","0.9793","HIGH","Our work is important, it can bring a sense of purpose, often a sense of identity. It's very common to be asked ‘What do you do for a living?’ and the response begins with a statement of identity ‘I am’. While work can be enjoyable and purposeful, it is also very likely to be physically or mentally tough, difficult, challenging, and stressful. If your job is none of these things, you might find it too menial and boring.","Our work is important; it can provide a sense of purpose, often a sense of identity. It is very common to be asked 'What do you do for a living?' and for the answer to begin with an identity statement 'I am'. Although work can be enjoyable and purposeful, it is also very likely to be physically or mentally hard, difficult, demanding, and stressful. If your job is none of these things, you might find it too routine and boring."
"11","0.9953","HIGH","If you work a 40-hour a week job, and sleep 8 hours per night, you spend 36% of your waking hours working, and this excludes the time you spend getting ready to work, commuting to work, taking care of a household, and all the other necessary tasks you need to do to keep the your life on track.","If you work a 40-hour-a-week job, and sleep 8 hours per night, you spend 36% of your waking hours working, and this excludes the time you spend getting ready for work, commuting to work, caring for a household, and all the other necessary tasks you need to do to keep your life in order."
