# Drift explanation generated 2026-01-30T15:58:36.654115
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/nepali/pipeline2/analysis/chapters/drift_report_chapter5_chapter_5_repentance_from_dead_works_vs_chapter5_chapter_5_repentance_from_dead_works.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"6","0.9103","MEDIUM","no","paraphrase","Both paragraphs convey the same intent to analyze the Greek words for a specific phrase, with no significant change in doctrinal meaning or logical relationship.","Let's take an in-depth look at the Greek for this phrase:","Let’s look in depth at the Greek words for this phrase:"
"13","0.871","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that most people would not continue working if they were not being paid, using slightly different wording but maintaining the same intent and logical relationship.","Would you continue to work at a job if they stopped paying you? For most of us the easy and painfully obvious answer is a resounding, NO!","If the pay stopped, would you continue doing the same job? For almost all of us the easy and painfully clear answer is, emphatically, no!"
"23","0.9154","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different words but conveying the same idea about the application of the standard of 'life' to works and the definition of 'dead works.'","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:","If we apply this criterion of ‘life’ to our deeds with some creative freedom, then ‘dead works’ are those that:"
"42","0.9025","MEDIUM","no","paraphrase","Both paragraphs convey the same concepts regarding the terms 'repentance' and 'to repent' without altering their doctrinal or logical relationships. The back-translation maintains the original intent and meaning.","The term used in Hebrews is *repentance*. This is contrasted with the term *repent,* an example is found in","The term used in Hebrews is ‘repentance.’ It is compared with the term ‘to repent,’ an example of which is found in"
"51","0.8779","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different words but conveying the same idea about changing one's mind through a conscious experience with truth.","How do we change our minds? Intentionally, through an experience with truth.","How do we change our mind? Deliberately, through an encounter with the truth."
"62","0.86","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that individuals may experience a series of six stages when undergoing change, with no significant alteration in meaning.","People may go through a cycle of six stages for change:","For change, people may pass through a cycle of six stages:"
"66","0.889","MEDIUM","yes","doctrinal","The original states that the behavior has been changed for a short time, implying a temporary alteration, while the back-translated version suggests a longer duration with 'some time,' which alters the understanding of the permanence or temporality of the behavior change.","4.  Action: The behavior has been changed for a short time.","4.  Action: The behavior has been changed for some time."
"98","0.8764","MEDIUM","yes","doctrinal","The back-translation uses 'chronic or acute' instead of 'prolonged or intense,' which alters the focus from the duration and intensity of suffering to specific types of pain, potentially changing the understanding of suffering's nature.","Suffering is the endurance of pain-physical, emotional, mental, or spiritual-especially when prolonged or intense.","Suffering is enduring physical, emotional, mental, or spiritual pain—especially chronic or acute."
"99","0.8129","LOW","yes","doctrinal","The term 'grief' in the original is replaced with 'bereavement' in the back-translation, which can imply a more specific context of loss related to death, potentially altering the broader understanding of emotional responses to loss.","Grief is a multifaceted emotional response to significant personal loss, especially relational or existential.","Bereavement is a multidimensional emotional response to meaningful personal loss, particularly relational or existential."
"100","0.919","MEDIUM","no","paraphrase","Both paragraphs convey the same core ideas about the relationship between sorrow, suffering, and grief, and emphasize that God does not use death and destruction as a means of teaching. The differences in wording do not alter the overall meaning.","Sorrow, suffering, and grief are closely related ideas. In the human condition we will experience all three, we can learn and grow through all three, but God will not bring about death and destruction in our lives to teach us.","Suffering, pain, and sorrow are closely related concepts. In the human condition we will experience all three, we can learn and grow from all three, but God does not bring death and destruction into our lives in order to teach us."
"111","0.8693","MEDIUM","no","paraphrase","Both paragraphs convey the same theological concept of God's goodness as a means of redemption and restoration, emphasizing that His goodness does not condone sin but provides a path to salvation despite it.","God's unrelenting goodness, to be willing to redeem us and restore us if we come to Him is a positive agent in our path of repentance. His goodness isn’t that we continue in sin, but that despite our sin He makes a way for us to be redeemed and experience His salvation.","God’s steadfast goodness, being ready to deliver and restore us when we come to Him, is a positive factor in our journey of repentance. His goodness does not mean that we should continue in sin, but that even in our sin He makes a way for us to be delivered and to experience His salvation."
"114","0.9053","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea about human adaptability and the distinction between capacity and willingness to change, with only slight variations in wording and phrasing.","Man has great capacity to change; it's wired into our very essence. Humans are very adaptable, we can learn and grow, and find better ways to do things. However, a capacity to change is not the same as a willingness or a persuasion to change.","Human beings have a great capacity for change; it is rooted in our very nature. Humans are highly adaptable; we can learn and grow, and we can find better ways of doing things. However, having the capacity to change is not the same as having the desire or motivation to change."
