# Drift report generated 2026-01-30T15:57:16.714832
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter4_chapter_4_jesus_the_messiah.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/nepali/pipeline2/backtranslation/chapters/chapter4_chapter_4_jesus_the_messiah.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9534","HIGH","Building on our study of sin, we concluded that sin exacts a serious price, against those whom sin is committed and must be restored, and for those who commit sin and must make restitution. The price of sin must be paid. In the Old Testament God established a series of sacrifices performed by priests, individuals, and communities to deal with, resolve, and adjudicate sin.","Based on our study of sin, we have concluded that sin demands a serious price, both for the One against whom sin is committed and who must be restored, and for those who commit sin and must make restitution. The price of sin must be paid. In the Old Covenant, God established a series of sacrifices to be performed by priests, individuals, and communities to address, deal with, and resolve sin."
"2","0.9553","HIGH","Even with all the sacrifices for sin, they still weren’t enough-not because God failed, but because people continued to choose sin. While animal sacrifice could provide limited atonement, no amount of animal sacrifice was able to change the sinful nature of men.","Despite all the sacrifices for sin, they were still not sufficient- not because God failed, but because people kept choosing sin. Animal sacrifices could provide limited atonement, but no matter how many animal sacrifices there were, they could not change the sinful nature of man."
"3","0.9894","HIGH","God had a wonderful plan, the <u>Messiah</u> (in Hebrew ***Mashiach,*** pronounced *Mah-shee-ahkh -* **H4899**) also known as the <u>Christ</u> (in Greek ***Christos,*** pronounced *Khris-tos* - **G5547**) meaning “Anointed one""; someone consecrated for a special role (e.g., king, priest, or deliverer).","God had a wonderful plan, the <u>Messiah</u> (in Hebrew ***Mashiach,*** pronounced *Mah-shee-ahkh -* **H4899**) who is also known as <u>Christ</u> (in Greek ***Christos,*** pronounced *Khris-tos* - **G5547**) which means “Anointed”; someone set apart for a special role (e.g., king, priest, or savior)."
"4","0.9732","HIGH","To understand who Jesus is, it helps to look at what people in His time were hoping the Messiah would be. These expectations shaped how they viewed Jesus and, in many cases, why they struggled to recognize Him as the fulfillment of God’s plan.","To understand who Jesus is, it is helpful to look at what people in His time were expecting the Messiah to be like. These expectations determined how they viewed Jesus, and in many cases, why they struggled to recognize Him as the fulfillment of God’s plan."
"5","1.0","HIGH","## Historical Context","## Historical Context"
"6","0.981","HIGH","The Jewish people had long awaited a coming Messiah. Jewish beliefs about the Messiah during the time just before Jesus were shaped by Old Testament prophecies, the interpretations of which were diverse and not universally agreed upon. Most Jews expected the Messiah to be a political and military leader who would deliver Israel from foreign oppression (primarily Roman rule) and restore the Davidic kingdom. Here’s an overview of common Messianic expectations and how they aligned (or did not align) with biblical prophecy:","The Jews had long awaited the coming Messiah. In the time just before Jesus, Jewish beliefs about the Messiah were shaped by Old Testament prophecies, whose interpretations varied and were not universally agreed upon. Most Jews expected the Messiah to be a political and military leader who would deliver Israel from foreign oppression (primarily Roman rule) and restore the Davidic kingdom. Here is an overview of common messianic expectations and how they did (or did not) align with biblical prophecies:"
"7","0.9812","HIGH","### Common Jewish Expectations of the Messiah Before Jesus","### Common Jewish Expectations about the Messiah before Jesus"
"8","0.9722","HIGH","### **1. A Political and Military Deliverer**","### **1. A political and military deliverer**"
"9","0.9234","HIGH","- **Belief:** The Messiah would be a king like David, leading Israel in a victorious revolt against foreign powers and restoring Israel's independence.","- **Belief:** The Messiah would be a king like David, who would restore Israel’s independence by leading a victorious revolt against foreign powers।"
"10","0.9081","MEDIUM","- **Scriptures Referenced:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>.","- **Cited Scriptures:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>।"
"11","0.9287","HIGH","- **Historical Context:** Jews under the Roman’s rule were oppressed and heavily taxed, leading to hopes for a Messiah who would overthrow Rome and establish a powerful earthly kingdom.","- **Historical context:** Jews under Roman rule were oppressed and had to pay heavy taxes, which fueled hopes for a Messiah who would topple Rome and establish a powerful earthly kingdom।"
