# Drift explanation generated 2026-02-01T01:35:16.567539
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/analysis/chapters/drift_report_chapter4_chapter_4_jesus_the_messiah_vs_chapter4_chapter_4_jesus_the_messiah.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"5","0.8685","MEDIUM","no","paraphrase","The terms 'context' and 'background' are synonymous in this usage, and both convey the same idea of providing historical information without altering the original meaning.","## Historical Context","## Historical Background"
"8","0.8525","MEDIUM","yes","doctrinal","The term 'deliverer' implies a broader sense of rescue or salvation, while 'liberator' specifically connotes the act of freeing from oppression, which may alter the theological implications of the figure's role.","### **1. A Political and Military Deliverer**","### **1. A Political and Military Liberator**"
"21","0.8945","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that while people anticipated a prophetic figure, they did not view this role as central to the Messiah, instead seeing it as an additional or ancillary aspect. The core meaning remains unchanged.","- **Expectation:** While many anticipated a prophetic figure, they often did not see this role as central to the Messiah but as an additional aspect.","- **Expectation:** Many people longed for a prophetic figure, but they did not see this role as central to the Messiah and often considered it an ancillary aspect。"
"24","0.897","MEDIUM","yes","doctrinal","The original asserts a definitive belief about the Messiah's role, while the back-translation introduces a degree of uncertainty by using 'was said to,' suggesting that this belief may not be universally accepted or is based on hearsay.","- **Belief:** The Messiah would judge the wicked, uphold the righteous, and bring justice to the oppressed.","- **Belief:** The Messiah was said to judge the wicked, uphold the righteous, and bring justice to the oppressed。"
"26","0.8988","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, with 'societal' being replaced by 'social' without altering the overall interpretation of justice.","- **Interpretation:** Justice was expected to be primarily political and societal rather than spiritual.","- **Interpretation:** Justice was expected to be primarily political and social rather than spiritual。"
"29","0.917","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that both contemporary Christianity and Judaism during Jesus' time were divided into various sects or groups, emphasizing the importance of understanding these divisions for studying the New Testament. The back-translation maintains the original intent and meaning without significant changes.","As Christendom today is divided into separate sects, denominations, or belief structures, so too, were the Jews of Jesus' age divided. During the time of Jesus, four major Jewish sects shaped the religious and political landscape of Israel, each with distinct beliefs and expectations about the Messiah. Understanding some background on these different groups can help provide meaningful context to a study of the New Testament scriptures.","Just as today’s Christian world is divided into various groups, denominations, or systems of belief, the Jews of Jesus’ time were also divided。In Jesus’ day, there were four major Jewish sects that shaped Israel’s religious and political landscape, each holding its own beliefs and expectations regarding the Messiah。Understanding the background of these different groups helps provide meaningful context for the study of the New Testament。"
"34","0.8882","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, emphasizing Jesus' mission in relation to both political oppression and spiritual bondage to sin without introducing any new concepts.","While these groups focused on earthly expectations, Jesus’ mission revealed a far greater plan-one that addressed not just political oppression but humanity’s spiritual bondage to sin.","While these sects focused on earthly expectations, Jesus’ mission revealed a far greater plan - one that addressed not only political oppression but also humanity’s spiritual bondage to sin -。"
"37","0.9072","MEDIUM","no","paraphrase","Both paragraphs convey the same doctrinal message about the recurring human tendency to seek salvation through earthly means while neglecting God's greater plan. The logical relationships and intent remain consistent between the original and back-translated versions.","The Pharisees’ and Zealots’ vision of a Messiah reflects a recurring pattern in human history-seeking salvation through earthly means while rejecting God’s greater plan. As we’ve seen throughout Scripture, people often turn away from God-even though He’s always faithful. Even when God is faithful and accepts us, He is often forgotten and rejected, leading to the cycles of disobedience and decay that plagued earthly kingdoms.","The messianic image held by the Pharisees and the Zealots reflects a pattern that recurs throughout human history - rejecting God’s greater plan and seeking salvation by earthly means。As we have seen throughout Scripture, people often turn away from God - even though God is always faithful。Even when God is faithful and has accepted us, He is often forgotten and rejected, resulting in a cycle of disobedience and desolation that consumed earthly kingdoms。"
"38","0.9169","MEDIUM","no","paraphrase","The back-translated paragraph maintains the original's doctrinal meaning and intent, emphasizing Jesus' purpose beyond political expectations and the consequences of human disobedience.","While many expected a political Messiah, Jesus revealed a far greater purpose for His anointing-one that fulfilled spiritual and eternal needs. If Jesus had come as a conquering military leader, as the Jews hoped and expected, it would have only been a matter of time before the kingdom fell into disrepair because of human disobedience.","Many expected a political Messiah, but Jesus revealed the far greater purpose of His anointing - a purpose that meets spiritual and eternal needs。If Jesus had come as a conquering military leader, as the Jews desired and expected, it would only have been a matter of time before that kingdom fell into desolation because of human disobedience。"
"44","0.9161","MEDIUM","no","paraphrase","The terms 'proclaimed' and 'declared' are synonymous in this context, conveying the same intent and doctrinal meaning without any significant change.","Jesus proclaimed:","Jesus declared:"
"46","0.8093","LOW","no","paraphrase","The back-translation maintains the core concepts of the original paragraph, using synonymous terms that convey the same theological ideas of forgiveness and freedom from sin.","- Deliverance - forgiveness, pardon of sin, freedom.","- Release - pardon, remission of sins, freedom."
"47","0.8691","MEDIUM","yes","doctrinal","The original phrase emphasizes the year as being acceptable in the context of the Lord, while the back-translation suggests that the year is acceptable to the Lord, which subtly shifts the focus from the year itself to the Lord's approval.","- The acceptable year (season) of the lord.","- The year (season) acceptable to the Lord."
"48","0.7655","LOW","yes","doctrinal","The original paragraph suggests a specific group of people that He came to, while the back-translation implies a broader category of people He came for, potentially altering the understanding of His mission and purpose.","The people He came to were:","These are the kinds of people He came for:"
"49","0.8317","LOW","no","paraphrase","The back-translation maintains the original meaning by describing the brokenhearted as those who are emotionally and spiritually shattered, without altering the core concept.","- Brokenhearted - shattered emotionally and spiritually.","- The brokenhearted - those shattered emotionally and spiritually."
"50","0.9143","MEDIUM","no","paraphrase","Both paragraphs convey the same idea about blindness in a spiritual and physical sense, with no significant changes in meaning or intent.","- Blind - spiritually, and sometimes physically.","- The blind - spiritually, and at times physically."
"51","0.7838","LOW","no","paraphrase","Both paragraphs convey the same concept of poverty, encompassing both spiritual and physical aspects, without altering the original meaning.","- Poor - destitute, in poverty (spiritual and or physical).","- The poor - those in need and in poverty (spiritually or physically)."
"53","0.9004","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing it without altering the intent or logical relationship.","Jesus transformed these broken people by:","Jesus transformed these broken people as follows:"
"54","0.868","MEDIUM","no","paraphrase","The phrases 'recovering sight' and 'restoring sight' convey the same concept of regaining vision, with no significant change in meaning or intent.","- Recovering sight","- Restoring sight"
"55","0.6788","CRITICAL","no","paraphrase","Both phrases convey the idea of being in a state of freedom or liberty, maintaining the same conceptual meaning without altering the underlying intent.","- Set in a state of liberty","- Placing them in a state of freedom"
"56","0.8981","MEDIUM","yes","doctrinal","The back-translated paragraph specifies 'wounds,' which adds a particular context to the act of binding, healing, and restoring, potentially altering the broader theological implications of the original, which could apply to various forms of healing beyond physical wounds.","- Binding up, healing, restoring","- Binding up, healing, and restoring wounds"
"57","0.9056","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, presenting the same concepts about Jesus' mission and the relationship between God and humanity without significant alterations.","The purpose of Jesus ministry and service was both individual and global, immediate, and long lasting. His purpose does not have a singular focus but is part of God’s divine plan to reconcile humanity to God. After sin entered the world, it caused a division between God and mankind. God had to banish man from the garden and from His presence. Throughout the Old Testament, man could be with God, but only partially. It was very rare that God's spirit was given to men, and in the large part men lived in isolation from God. He found a people in the Jews, but wanted a permanent, sure, and complete way to restore His relationship with mankind.","Jesus’ mission and ministry were personal yet global, immediate yet long-term. His purpose did not have a single focus, but was part of God’s divine plan to reconcile humanity to God. After sin entered the world, a division arose between God and man. God had no choice but to banish humanity from the garden and from His presence. Throughout the Old Testament, people could be with God, but only in part. It was exceedingly rare for the Spirit of God to be given to people, and most people lived in a state of separation from God. God found His people among the Jews, but He desired a permanent, certain, and complete way to restore relationship with humankind."
"60","0.8621","MEDIUM","no","paraphrase","The terms 'necessary' and 'indispensable' convey similar meanings, indicating that the work of Jesus is essential. Thus, the translation does not change the doctrinal meaning or intent of the original.","### The Necessary Work of Jesus","### The Indispensable Work of Jesus"
"79","0.7","CRITICAL","no","paraphrase","The terms 'Born Again' and 'New Birth' convey the same theological concept of spiritual regeneration, with no significant change in meaning or intent.","### Born Again","### New Birth"
"88","0.9185","MEDIUM","no","paraphrase","Both paragraphs convey the same theological concept of being spiritually reborn through faith in Jesus, emphasizing the distinction between physical and spiritual birth without altering the original meaning.","When we put our trust in Jesus and receive him, we become born again, not of flesh, but of the spirit. We become alive spiritually! Just as in physical birth, many things accompany spiritual birth:","When we trust Jesus and receive him, we are born anew, not by the flesh but by the Spirit. We become spiritually alive! Just as with physical birth, spiritual birth also entails many things."
