# Drift explanation generated 2025-12-30T02:32:30.728991
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/urdu/pipeline2/analysis/chapters/drift_report_chapter1_chapter_1_sound_doctrine_matters_vs_chapter1_chapter_1_sound_doctrine_matters.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.6152","CRITICAL","yes","doctrinal","The original paragraph emphasizes 'doctrine' as core truths, while the back-translation uses 'education' and 'basic facts,' which shifts the focus from theological beliefs to general knowledge, altering the doctrinal significance.","Doctrine simply means the core truths we believe and teach-truths passed on by faithful people of God, rooted in Scripture, and lived out in our daily walk.","By education we simply mean the basic facts that we believe and that we teach—the facts that God’s faithful people have passed on, that are rooted in the Holy Scriptures, and that are put into practice in our daily lives."
"2","0.8871","MEDIUM","yes","doctrinal","The original paragraph uses the term 'doctrine,' which implies a formal set of beliefs, while the back-translation uses 'teaching,' which can be interpreted more broadly and may not convey the same level of doctrinal authority.","When Jesus instructed His church to ‘teach’, He was instructing them to share His doctrine.","When Jesus commanded His church to ‘teach,’ He was commanding them to share His teaching."
"6","0.9141","MEDIUM","yes","doctrinal","The original emphasizes replicating Jesus' teachings in others, suggesting a deeper personal transformation, while the back-translation focuses on merely passing on the teachings, which may imply a less personal engagement with the teachings.","In other words, Jesus is instructing all of us to learn His teachings and to replicate them in others.","In other words, Jesus is instructing all of us to learn His teachings and pass them on to others."
"20","0.8744","MEDIUM","yes","doctrinal","The original emphasizes the importance of teaching and discipling others as a charge from Jesus, while the back-translation shifts the focus to a responsibility, which may imply a different theological understanding of the relationship between believers and their duty to evangelize.","Jesus’ charge extends beyond us. It’s great that we become whole, healthy, disciplined, submitted to God, but we must teach, train, equip, lead, and disciple others into the faith as well!","Jesus’ responsibility extends beyond us. It is very good that we become perfect, healthy, disciplined, and submitted to God, but we must also teach, train, equip, guide, and make others disciples in the faith!"
"27","0.9174","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the necessity of abiding in Jesus' word to attain knowledge of the truth that leads to freedom, with only slight variations in wording.","Being Jesus' disciple is only possible by continuing in His word (his logos)! The result of continuing in His word is our knowledge of the truth, which makes us free!","Being a disciple of Jesus is only possible by abiding in His word (His logos)! The result of abiding in His word is our knowledge of the truth, which sets us free!"
"29","0.9198","MEDIUM","no","paraphrase","The back-translation maintains the same core message as the original, emphasizing the importance of becoming disciples and adhering to sound teaching without altering the doctrinal meaning or intent.","1.  Be a disciple -\\\\> subject ourselves to the discipline of sound doctrine.","1.  Become disciples -\\\\> subject yourselves to the discipline of sound teaching."
"32","0.8442","LOW","no","paraphrase","Both paragraphs convey the same reassurance that support will be available, with no significant changes in meaning or intent.","Don’t worry, we do not have to go this alone.","Don't worry, we won't have to do this alone."
"41","0.9009","MEDIUM","no","paraphrase","The back-translation maintains the original meaning and intent, conveying that God has given gifts to the church for the purpose of maturity without altering the doctrinal or logical relationships.","God has given the church these special gifts to bring us to maturity, so we can and are:","God has given these special gifts to the Church in order to bring us to maturity, so that we can be and become:"
"43","0.8636","MEDIUM","no","paraphrase","The phrases 'Unified in the faith' and 'United in faith' convey the same conceptual meaning of collective belief and agreement, with no significant change in doctrinal, logical, or intentional aspects.","- Unified in the faith","- United in faith"
"48","0.9196","MEDIUM","no","paraphrase","The back-translation maintains the original meaning and intent, emphasizing the importance of children in God's family while introducing the idea of their inherent nature without altering the doctrinal message.","Children are an important part of the family of God, but children are inherently:","Children are an important part of God’s family, but by nature children are:"
"50","0.7467","CRITICAL","yes","doctrinal","The original uses 'good and bad actors,' which implies a distinction between behavior and morality, while the back-translation uses 'good and evil people,' which suggests a more absolute moral judgment. This changes the doctrinal meaning regarding the nature of discernment.","- Naive - unable to discern between good and bad actors.","- Simple-minded - unable to discern between good and evil people."
"55","0.9009","MEDIUM","no","paraphrase","The back-translation maintains the original intent and meaning, simply rephrasing the sentence for clarity without altering any doctrinal or logical relationships.","Paul charged his spiritual son in the Lord Timothy saying:","Paul charged his spiritual son in the Lord, Timothy, that:"
