# Drift explanation generated 2026-01-30T14:59:31.089393
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/analysis/chapters/drift_report_chapter11_chapter_11_baptisms_water_and_spirit_vs_chapter11_chapter_11_baptisms_water_and_spirit.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.8939","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that baptism, in contemporary understanding, is primarily viewed as water baptism and the baptism of the Holy Spirit, while acknowledging a disconnection from its Jewish origins.","Baptism in our modern age, separated from the Jewish roots, is typically only thought of in terms of water baptism, and the Holy Spirit baptism (Pentecost).","In our modern era, detached from a Jewish-rooted context, baptism is usually understood only as water baptism and the baptism of the Holy Spirit (Pentecost)."
"8","0.9104","MEDIUM","yes","doctrinal","The term 'Old Covenant' specifically refers to the biblical agreement between God and Israel, while 'Old Testament' is a broader term that encompasses the entire collection of texts. This change alters the theological implications regarding the nature of the washings being discussed.","## Old Covenant Washings - Historical Context","## Old Testament Washings - Historical Background"
"26","0.9199","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that water baptism is an outward sign of faith and that the baptism of the Holy Spirit empowers believers for ministry and service, with no significant changes in meaning.","Having established water baptism as an outward sign of faith, we now turn to the baptism of the Holy Spirit, which empowers believers for ministry and service.","Since it has been clarified that water baptism is the outward sign of faith, we now turn to the baptism of the Holy Spirit, which empowers believers for ministry and service."
"27","0.8838","MEDIUM","no","paraphrase","The phrases 'Holy Spirit Baptism' and 'Baptism of the Holy Spirit' convey the same theological concept, referring to the act of being baptized by the Holy Spirit, without any change in doctrinal meaning or intent.","## Holy Spirit Baptism","## Baptism of the Holy Spirit"
"36","0.6273","CRITICAL","yes","doctrinal","The original phrase 'Spirit Within' suggests a permanent indwelling of the Holy Spirit, indicating a transformative relationship, while 'Spirit Upon' implies a temporary empowerment or anointing for specific tasks. This distinction affects the understanding of the Holy Spirit's role in a believer's life.","### Spirit Within vs Spirit Upon","### Indwelling of the Holy Spirit vs Coming Upon of the Holy Spirit"
"37","0.9179","MEDIUM","no","paraphrase","The back-translation maintains the original doctrinal meaning and intent, conveying the same theological concepts of regeneration, the indwelling of the Holy Spirit, and the new birth in Christ without altering the core message.","When someone puts their faith in Jesus, the Holy Spirit gives them new life on the inside. That’s what it means to be born again (**regenerated**). At that moment of faith, the Holy Spirit indwells **WITHIN** the believer, making them spiritually alive and adopting them into the family of God (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 3:5-6</span>; <span class=""x-scripture"" data-book=""TIT"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""5"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Titus 3:5</span>). This is the new birth or being born again, as Jesus described in John 3.","When a person puts their faith in Jesus, the Holy Spirit imparts new life within them. This is what regeneration means. At that moment of faith, the Holy Spirit indwells the believer **within**, making them alive in the spirit and bringing them into God’s family（<span class=""x-scripture"" data-book=""JHN"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 3:5-6</span>；<span class=""x-scripture"" data-book=""TIT"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""5"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Titus 3:5</span>）. This is the new birth, or being born again, that Jesus describes in John 3."
"82","0.8197","LOW","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply substituting 'chapter' with 'section' without altering the overall intent or doctrinal content.","- Discussed in the chapter on the Church.","- Discussed in the section on the Church。"
"84","0.8063","LOW","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using 'section' instead of 'chapter' and 'Church' instead of 'church' without altering the overall intent or doctrinal implications.","- Discussed in the chapter on the church.","- Discussed in the section on the Church。"
"85","0.9185","MEDIUM","no","paraphrase","The back-translated paragraph retains the same doctrinal meaning and intent as the original, with no significant changes in wording or concept.","- Manifestation Gifts given by the Holy Spirit: <span class=""x-scripture"" data-book=""1CO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""8-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 12:8-10</span>","- The manifestation gifts given by the Holy Spirit：<span class=""x-scripture"" data-book=""1CO"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""8-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 12:8-10</span>"
"86","0.872","MEDIUM","no","paraphrase","The back-translated paragraph retains the same wording and meaning as the original, indicating no change in doctrinal, logical, or intentional aspects.","- Discussed here.","- Discussed here。"
