# Drift report generated 2026-01-30T01:21:28.416119
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter14_back_5_hearing_the_voice_of_god.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/spanish/pipeline2/backtranslation/chapters/chapter14_back_5_hearing_the_voice_of_god.md
"id","similarity","translation_quality","source","back_translation"
"1","0.99","HIGH","The following guest appendix by Rev. Larry Low ([<u>www.LarryLow.com</u>](http://www.larrylow.com)) complements our exploration of the Holy Spirit’s role, offering practical insights on hearing God’s voice. The following guest contribution is used with permission.","The following guest appendix by Rev. Larry Low ([<u>www.LarryLow.com</u>](http://www.larrylow.com)) complements our exploration of the role of the Holy Spirit, offering practical insights on how to hear the voice of God. The following guest contribution is used with permission."
"2","0.9943","HIGH","During prayer one morning, I asked **God** the following question: “What is the most important thing I could teach your people for the times that are heading our way?” And He answered me very quickly, and I sensed it was very urgent when He said: “**Teach them to hear My voice.**”","During prayer one morning, I asked **God** the following question: “What is the most important thing I could teach Your people for the times that are coming upon us?” And He answered me very quickly, and I sensed it was very urgent when He said: “**Teach them to hear My voice.**”"
"3","0.9813","HIGH","When the Lord gives me a direction like that, I always pick up a pad and pencil and begin to write what little I know, or what I think I know, and the Scriptures that support it. I love doing Word studies on topics the Lord is leading me to teach. I love the anointing for preaching, but I really love to teach the Word. It is an adventure finding things that have always been there but have been overlooked.","When the Lord gives me such direction, I always take a pad and a pencil and begin to write the little that I know, or what I think I know, and the Scriptures that support it. I love doing studies of the Word on topics the Lord leads me to teach. I love the anointing to preach, but I really love teaching the Word. It is an adventure to find things that have always been there but have been overlooked."
"4","0.9812","HIGH","David must have longed to uncover God’s Truths, for He prayed in verse 18 of Psalm 119: “Open my eyes that I may see Wondrous things from Your law.”","David must have longed to discover the Truths of God, for he prayed in verse 18 of Psalm 119: “Open my eyes, that I may see wonders from Your law.”"
"5","0.9088","MEDIUM","That’s what I want to see-Wondrous things from His Word.","That is what I want to see-Wonders of His Word."
"6","0.9829","HIGH","As I was studying and preparing to teach the second message on hearing and discerning God’s voice, He spoke to my heart the following:","As I was studying and preparing to teach the second message on hearing and discerning the voice of God, He spoke the following to my heart:"
"7","1.0","HIGH","“*Teach them to hear My voice,  \\nTeach them to honor and obey.*","“*Teach them to hear My voice,  \\nTeach them to honor and obey.*"
"8","0.9171","MEDIUM","*Yes, Teach them to hear My voice and I will always lead them away:  \\nAway from troubles that would destroy them,*","*Yes, teach them to hear My voice and I will always set them apart:  \\nAway from troubles that would destroy them,*"
"9","0.975","HIGH","*Away from the trials that they are in,  \\nAway to a place of peace, love, and joy that few have ever been in.*","*Away from the trials they are in,  \\nAway, to a place of peace, love, and joy where few have been.*"
"10","0.9746","HIGH","*Away to a place of refreshing,  \\nto a place of Divine ecstasy.*","*Away, to a place of refreshing,  \\nto a place of Divine ecstasy.*"
"11","0.9855","HIGH","*Oh yes, teach them to hear My voice son  \\nand these people will forever be free*.”","*Oh yes, teach them to hear My voice, son  \\nand these people will be free forever*.”"
"12","1.0","HIGH","05/27/00 9:10 A.M.","05/27/00 9:10 A.M."
"13","1.0","HIGH","The following eleven points should help you understand how the Lord will communicate with you:","The following eleven points should help you understand how the Lord will communicate with you:"
"14","0.9253","HIGH","1.  <u>Hearing God’s voice is NOT an audible sound but a KNOWING in your heart.</u>","1.  <u>Hearing the voice of God is NOT an audible sound but a CERTAINTY in your heart.</u>"
"15","0.9582","HIGH","There was one time when His Word came so clear and bold that it could have been audible. I answered Him by speaking out, it was so real. However, there was no one there but the Lord and I, so I can’t really say for sure if He spoke to me like we speak to each other.","There was a time when His Word came so clear and strong that it could have been audible. I answered Him out loud; it was that real. However, there was no one there but the Lord and me, so I really can’t say for sure whether He spoke to me as we speak to one another."
"16","0.9576","HIGH","There was the time when Jesus was being baptized in the river Jordan and the Father spoke: “This is My Son, in whom I am well pleased,” but even some of those there said it sounded like thunder, so I guess He could have spoken audibly to me, but for now, I want you to understand that when I say God spoke to me, it is a KNOWING in my heart more than a sound in my ear.","There was the occasion when Jesus was being baptized in the Jordan River and the Father spoke: “This is My Son, in whom I am well pleased,” but even some who were there said it sounded like thunder; so I suppose He could have spoken to me audibly, but for now I want you to understand that, when I say God spoke to me, it is a CERTAINTY in my heart more than a sound in my ear."
"17","0.8345","LOW","2.  <u>The KNOWING is NOT built by logic within your mind; however, it is a complete thought or understanding.</u>","2.  <u>CERTAINTY is NOT built by logic in your mind; however, it is a complete thought or understanding.</u>"
"18","0.9429","HIGH","I have never had the Lord speak anything to me that confused me. I have never had Him speak anything to me that left me wondering ‘why.’ It is always a KNOWING with complete UNDERSTANDING. God is not the author of confusion (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""33"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 14:33</span>).","I have never had the Lord tell me something that confused me. He has never told me anything that left me wondering ‘why.’ It is always a CERTAINTY with COMPLETE UNDERSTANDING. God is not the author of confusion (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""33"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 14:33</span>)."
"19","1.0","HIGH","3.  <u>When He speaks, He speaks in complete thoughts.</u>","3.  <u>When He speaks, He speaks in complete thoughts.</u>"
"20","0.9608","HIGH","He never leaves us to fill in the blanks. In the twinkling of an eye, God can fill your heart with enough information to keep you preaching a lifetime. One touch from God can fill you with fire that will keep you burning eternally. He is a complete communicator.","He never lets us fill in the blanks. In the blink of an eye, God can fill your heart with enough information to keep you preaching for a lifetime. One touch from God can fill you with fire that will keep you burning forever. He is a complete communicator."
"21","1.0","HIGH","4.  <u>When God speaks to us, He NEVER DRIVES. He leads.</u>","4.  <u>When God speaks to us, He NEVER DRIVES. He leads.</u>"
"22","0.9688","HIGH","He is not a task master; He is a Shepherd. Herdsmen drive, but Shepherds lead. Jesus is the Great Shepherd of the sheep, and we are the sheep of His pasture.","He is not a taskmaster; He is a Shepherd. Cattlemen drive, but Shepherds lead. Jesus is the Great Shepherd of the sheep, and we are the sheep of His pasture."
"23","0.9105","MEDIUM","5.  <u>When He speaks to His children, He NEVER CONVICTS; He CONVINCES.</u>","5.  <u>When He speaks to His children, He NEVER CONDEMNS US; He CONVICTS US.</u>"
"24","0.9663","HIGH","His children are those who have been Born Again (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""3"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 3:3</span>, 5) by their confession of faith in **Jesus’** shed blood and His work on Calvary. Who wants to listen to someone who always convicts us of our wrong? I believe most of the children of **God** are afraid to hear **God** speak to them because they have been told that **God** will convict them for this or that. Look at <span class=""x-scripture"" data-book=""1JN"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 John 3:19-20</span>. Who does it say convicts us or condemns us? It’s OUR SPIRIT or heart that condemns the child of **God**, but it is **God the Holy Spirit** that knows all things and is GREATER than our hearts. He is there to be our Comforter. Read the following Scriptures, and it will help you understand that the only ones the Holy Spirit convicts are the sinners. <span class=""x-scripture"" data-book=""ROM"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""33-34"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Romans 8:33-34</span> teaches us that NOTHING can come between us and **God’s** love. <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:16</span>, 26 teaches us that the Holy Spirit is our Comforter, not our convict-or, our Counselor, not our chastiser, our Intercessor and Helper, not our hinderer. Read also <span class=""x-scripture"" data-book=""ACT"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""31"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Acts 9:31</span> and 15:28 as examples of how the Holy Spirit (**God’s** voice) aids, comforts, and strengthens us.","His children are those who have been Born Again (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""3"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 3:3</span>, 5) through their confession of faith in the shed blood of **Jesus** and His work at Calvary. Who wants to listen to someone who always condemns us for what we do wrong? I believe that most of the children of **God** are afraid to hear **God** speak to them because they have been told that **God** is going to condemn them for this or that. Look at <span class=""x-scripture"" data-book=""1JN"" data-chapter=""3"" data-lang=""en"" data-type=""ref"" data-verses=""19-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 John 3:19-20</span>. Who does it say convicts us or condemns us? It is OUR SPIRIT or heart that condemns the child of **God**, but it is **God the Holy Spirit** who knows all things and is GREATER than our hearts. He is there to be our Comforter. Read the following Scriptures, and this will help you understand that the only ones whom the Holy Spirit convicts are sinners. <span class=""x-scripture"" data-book=""ROM"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""33-34"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Romans 8:33-34</span> teaches us that NOTHING can come between us and the love of **God**. <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:16</span>, 26 teaches us that the Holy Spirit is our Comforter, not our condemn-er, our Counselor, not our punisher, our Intercessor and Helper, not our hinderer. Also read <span class=""x-scripture"" data-book=""ACT"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""31"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Acts 9:31</span> and 15:28 as examples of how the Holy Spirit (the voice of **God**) helps, comforts, and strengthens us."
"25","0.9972","HIGH","6.  <u>The voice of God can be tested so you can KNOW it is God and not your thoughts or the voice of familiar spirits.</u>","6.  <u>The voice of God can be tested so that you KNOW it is God and not your thoughts or the voice of familiar spirits.</u>"
"26","0.9863","HIGH","<span class=""x-scripture"" data-book=""1JN"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""1-3"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 John 4:1-3</span> instructs us to “test every spirit” so we can be sure it is from God. When you think you are hearing from God, you have the right and the responsibility to ask that voice a question (That is testing or proving the spirit.) The question to ask is: “Did Jesus Christ come in the flesh?” The one thing that familiar spirits will never admit is that Jesus came to the earth in the flesh. He was all man and all God. No false spirit or religion will admit Jesus came to this earth in the flesh and redeemed mankind from all their sin for eternity. Test the voice you hear. You must also know that God will never lead you outside His written Word, the Bible. If you are hearing something that cannot be backed up in the Bible, you are not hearing from God. Get rid of it! Test the voice you hear to see if it is from God.","<span class=""x-scripture"" data-book=""1JN"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""1-3"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 John 4:1-3</span> instructs us to “test every spirit” so that we can be sure it is of God. When you believe you are hearing from God, you have the right and the responsibility to ask that voice a question (That is testing or examining the spirit.) The question you must ask is: “Did Jesus Christ come in the flesh?” The only thing that familiar spirits will never admit is that Jesus came to earth in the flesh. He was fully man and fully God. No false spirit or religion will admit that Jesus came to this earth in the flesh and redeemed mankind from all their sins for eternity. Test the voice you hear. You should also know that God will never lead you outside His written Word, the Bible. If you are hearing something that cannot be supported by the Bible, you are not hearing God. Get rid of it! Test the voice you hear to see if it is of God."
"27","1.0","HIGH","7.  <u>The voice of God always brings Glory to Jesus Christ.</u>","7.  <u>The voice of God always brings Glory to Jesus Christ.</u>"
"28","0.9926","HIGH","The Holy Spirit is the Voice of Heaven. He is the one here on earth to work with us, and Jesus said He will always speak only what He hears, and He will ALWAYS bring glory to Jesus (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""16"" data-lang=""en"" data-type=""ref"" data-verses=""13-14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 16:13-14</span>). He isn’t here to bring your ministry glory or your works or the church’s programs. All those things are good, and most of them are necessary to do what we do, but the Holy Spirit will speak and bring Glory to the Person of Jesus. If you are being glorified by the voice you hear, you are not hearing God. There is a difference between being glorified and being encouraged and strengthened. The Holy Spirit will always encourage and strengthen you every time He speaks to you, even when He is correcting (guiding) you with the word. But glory is when you believe YOU are somebody. You are nobody without Jesus-HE IS THE SOMEBODY, not us.","The Holy Spirit is the Voice of Heaven. He is the One who is here on earth to work with us, and Jesus said that He will always speak only what He hears, and He will ALWAYS bring glory to Jesus (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""16"" data-lang=""en"" data-type=""ref"" data-verses=""13-14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 16:13-14</span>). He is not here to bring glory to your ministry or to your works or to church programs. All those things are good, and most of them are necessary to do what we do, but the Holy Spirit will speak and bring Glory to the Person of Jesus. If you are being glorified by the voice you are hearing, you are not hearing God. There is a difference between being glorified and being encouraged and strengthened. The Holy Spirit will always encourage and strengthen you every time He speaks to you, even when He is correcting (guiding) you with the word. But glory is when you believe that YOU are somebody. You are nobody without Jesus-HE IS THE SOMEONE, not us."
