# Drift report generated 2026-01-30T00:05:55.923902
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter1_chapter_1_sound_doctrine_matters.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/farsi/pipeline2/backtranslation/chapters/chapter1_chapter_1_sound_doctrine_matters.md
"id","similarity","translation_quality","source","back_translation"
"1","0.7464","CRITICAL","Doctrine simply means the core truths we believe and teach-truths passed on by faithful people of God, rooted in Scripture, and lived out in our daily walk.","Teaching simply means the core truths we believe and teach—truths that have been passed on by God’s faithful people, are rooted in Scripture, and are lived out in our daily way of life."
"2","0.8871","MEDIUM","When Jesus instructed His church to ‘teach’, He was instructing them to share His doctrine.","When Jesus commanded his church to “teach,” he instructed them to share his teaching."
"3","0.9978","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","0.9895","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came near and spoke to them and said, ""All authority in heaven and on earth has been given to Me.\\n>\\n> Therefore go and make disciples of all nations and baptize them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> and teach them to observe everything I have commanded you; and behold, I am with you always, to the end of the age."" Amen.\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.9139","MEDIUM","In other words, Jesus is instructing all of us to learn His teachings and to replicate them in others.","In other words, Jesus calls all of us to learn his teachings and reproduce them in others."
"7","0.9997","HIGH","[See Table 1](../tables/table1.md)","[See Table 1](../tables/table1.md)"
"8","0.975","HIGH","Jesus is the Way, the Truth, and the Life (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:6</span>), fully embodying God’s truth, wisdom, and revelation. This embodiment, the Word (logos), existed from the beginning and became flesh to dwell among us (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1</span>, 14). The structured teachings of Jesus is His doctrine (***didaskalia***), in observing (obeying, guarding, protecting) His commands (***entolē)*** we become His disciples (***mathētēs***).","Jesus is the Way, the Truth, and the Life (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:6</span>), who perfectly embodies the truth, wisdom, and revelation of God. This embodiment, the Word (logos), existed from the beginning and became flesh to dwell among us (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1</span>, 14). Jesus’s structured teachings are his teaching (***didaskalia***), and by keeping (obedience, guarding, protection) his commandments (***entolē)*** we become his disciples (***mathētēs***)."
"9","0.9887","HIGH","Imagine a master architect, the greatest builder in all history, whose vision, knowledge, and wisdom surpass all others. He alone understands the perfect design for an enduring, unshakable structure. His understanding is not derived from others-it is inherent within Him. He is the source of all architectural wisdom, and every sound building finds its origin in His design. This architect represents Jesus, the Logos-the full and complete embodiment of God’s truth, wisdom, and revelation (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1</span>, <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:6</span>).","Imagine a master architect, the greatest builder in all of history, whose vision, knowledge, and wisdom surpass all others. He alone understands the perfect plan for constructing an enduring and unshakable structure. His understanding is not derived from others—it is intrinsic to who he is. He is the source of all architectural wisdom, and every sturdy edifice finds its origin in his design. This architect represents Jesus, the Logos—the complete and perfect embodiment of the truth, wisdom, and revelation of God (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1</span>, <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:6</span>)."
"10","0.9579","HIGH","To bring His design to life, the architect creates a **detailed blueprint**-a structured plan that contains the principles, proportions, and foundational truths necessary for constructing a building that will stand firm. Without this blueprint, no one could build correctly. This blueprint represents Jesus’ structured teaching, His doctrine (***didaskalia***) — the framework through which divine truth is understood and applied (<span class=""x-scripture"" data-book=""TIT"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Titus 2:1</span>, <span class=""x-scripture"" data-book=""1TI"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 4:13</span>). His doctrine is not merely theoretical knowledge; it is the means by which His wisdom is communicated and preserved so that all who follow Him can build their lives on the right foundation.","To bring his plan to life, the architect creates a **detailed blueprint**—a structured design that contains the principles, proportions, and foundational truths required to build a steadfast structure. Without this blueprint, no one can build correctly. This blueprint represents the structured teaching of Jesus, his teaching (***didaskalia***)—the framework through which divine truth is understood and applied (<span class=""x-scripture"" data-book=""TIT"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Titus 2:1</span>, <span class=""x-scripture"" data-book=""1TI"" data-chapter=""4"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Timothy 4:13</span>). His teaching is not merely theoretical knowledge; it is the means by which his wisdom is communicated and preserved so that all his followers can build their lives on the right foundation."
