# Drift explanation generated 2026-01-30T15:14:08.229877
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/analysis/chapters/drift_report_chapter12_chapter_12_discipleship_vs_chapter12_chapter_12_discipleship.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.8593","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that discipleship is the main command in the Great Commission, with no significant changes in meaning or intent.","Discipleship is the primary command in the Great Commission. Jesus defined this mission in:","In the Great Commission, discipleship is the primary command. Jesus defined this mission as follows:"
"20","0.8997","MEDIUM","yes","doctrinal","The back-translated paragraph changes 'didactic model' to 'lecture-based model,' which alters the doctrinal meaning by implying a more traditional, one-way teaching approach rather than the broader concept of didactic learning that includes various methods.","The paradigm of the didactic model has not always been the norm. The model and method used in Jesus’ age was the *apprentice model.* This model of learning emphasizes knowledge being more ‘caught than taught’ and focuses more on the relationship between student and teacher, than student and curriculum.","The lecture-based model has not always been the norm. The model and method used in Jesus’ time was *the apprenticeship model.* This learning model emphasizes that knowledge is more “caught than taught,” and it focuses more on the relationship between student and teacher than on the relationship between student and curriculum."
"21","0.9083","MEDIUM","yes","doctrinal","The original paragraph refers to the 'didactic model,' which implies a broader educational approach, while the back-translated paragraph specifies the 'lecture-based model,' which narrows the focus to a specific teaching method. This change alters the conceptual understanding of the educational evolution being discussed.","The didactic model gradually became the default method over about a millennium, from the first medieval universities of Europe in the 11<sup>th</sup> - 13<sup>th</sup> centuries, the invention of the printing press in the 15<sup>th</sup> century, the enlightenment of the 17<sup>th</sup> &amp; 18<sup>th</sup> century, and the impact of industrial revolution on information and education in the 19<sup>th</sup> &amp; 20<sup>th</sup> centuries.","Over roughly a millennium, the lecture-based model gradually became the default method, from the earliest medieval universities in Europe in the 11<sup>th</sup> - 13<sup>th</sup> centuries, the invention of the printing press in the 15<sup>th</sup> century, the Enlightenment in the 17<sup>th</sup> &amp; 18<sup>th</sup> centuries, and the impact of the Industrial Revolution on information and education in the 19<sup>th</sup> &amp; 20<sup>th</sup> centuries."
"22","0.8891","MEDIUM","yes","doctrinal","The original paragraph refers to the 'didactic model,' while the back-translated paragraph uses 'lecture-based model,' which may imply a narrower focus on lectures rather than a broader educational approach. Additionally, the phrase 'more efficiently' in the original is changed to 'more efficient at scale,' which alters the emphasis slightly.","The advantage of the didactic model is that it can scale more efficiently than the apprentice model. Massively open online courses (MOOCs) can have thousands of students at the same time, whereas even a very skilled master can only have perhaps a few dozen apprentices concurrently.","The advantage of the lecture-based model is that it is more efficient at scale than the apprenticeship model. Massive Open Online Courses (MOOCs) can host tens of thousands of students at once, whereas even a very skilled master can perhaps take on only dozens of apprentices at a time."
"23","0.8668","MEDIUM","yes","doctrinal","The original paragraph refers to a 'didactic model,' while the back-translated paragraph refers to a 'lecture-based model,' which may imply a different teaching approach and affect the interpretation of the teacher's role and methods.","The result of the didactic model is that the student has mastery of content, however the student does not become like the teacher. The teacher is a facilitator for the curriculum. The teacher imparts knowledge.","The result of the lecture-based model is that students gain mastery of content; however, students do not become like the teacher. The teacher is the facilitator of the course. The teacher imparts knowledge."
"25","0.888","MEDIUM","yes","doctrinal","The original paragraph refers to the 'didactic model,' which emphasizes teaching and instruction, while the back-translated paragraph uses 'lecture-based model,' which may imply a more formal and less interactive approach to teaching. This change affects the understanding of how Jesus taught and the nature of His discipleship.","The didactic model has its use and place in the Kingdom of God, a good example is this book or any other Christian educational material. Jesus as a rabbi, skilled and trained in the rabbinical method, practiced the apprentice model as the primary model for His disciples.","The lecture-based model has its use and place in the kingdom of God; a good example is this book or any other Christian educational material. As a rabbi, Jesus was proficient in and trained in rabbinic methods, and He employed the apprenticeship model as the primary mode for His disciples."
"26","0.8778","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply rephrasing the description of the apprenticeship model without altering its doctrinal or logical implications.","Jesus describes the apprentice model in:","Jesus described the apprenticeship model this way:"
"35","0.9168","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that organisms, animals, and churches that cannot reproduce are considered unhealthy, maintaining the original's doctrinal and logical relationships.","Any organism that does not reproduce is barren, and its line is cut off. An animal that cannot reproduce is not healthy, a church that cannot reproduce is likewise unhealthy.","Any organism that cannot reproduce is sterile; its lineage is cut off. Animals that cannot reproduce are not healthy, and churches that cannot reproduce are likewise unhealthy."
"37","0.914","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about Jesus' example of discipleship and the importance of using that example as a foundation for personal discipleship. The wording is different, but the doctrinal meaning and intent remain consistent.","Jesus demonstrated the mature and complete example of discipleship in the Gospels with His chosen disciples. We should use these steps broadly as the foundation for our own walk in becoming and making disciples.","In the Gospels, Jesus, together with the disciples He chose, demonstrated a mature and complete example of discipleship. We should broadly base our own path of being and making disciples on these steps."
"39","0.902","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, discussing the progression of discipleship relationships through stages and the roles of both the disciple and disciple-maker without altering the intent or doctrinal content.","Every discipleship relationship goes through a progression of eight phases. The phases, or steps, are not purely isolated from each other, many times the relationship will flow between the phases. In each phase there is an emphasis for the disciple, and for the disciple-maker. We will study attributes of disciple-makers in depth later in this chapter.","Every discipleship relationship progresses through eight stages. These stages (or steps) are not entirely discrete, and relationships often flow between stages. In each stage, both the disciple and the disciple-maker have their respective emphases. We will explore the qualities of a disciple-maker in depth later in this chapter."
"40","0.9029","MEDIUM","no","paraphrase","The terms 'phases' and 'stages' are synonymous in this context, and both refer to the same concept of progression in discipleship without altering the original meaning.","The eight phases of discipleship are:","The eight stages of discipleship are:"
"43","0.8681","MEDIUM","yes","doctrinal","The original term 'Demonstrating' implies an active process of showing or proving something, while 'Demonstration' refers to the act itself. This shift alters the focus from the action to the event, potentially changing the understanding of the concept being discussed.","3.  Demonstrating","3.  Demonstration"
"48","0.9022","MEDIUM","no","paraphrase","The phrases 'Remain Connected' and 'Staying Connected' convey the same concept of maintaining a connection, with no significant change in meaning or intent.","8.  Remain Connected","8.  Staying Connected"
"55","0.856","MEDIUM","yes","doctrinal","The term 'Demonstrating' implies an active process of showing or proving something, while 'Demonstration' refers to the act itself, which may not convey the same active engagement or intent in a doctrinal context.","### Demonstrating","### Demonstration"
"70","0.7644","LOW","no","paraphrase","The phrases 'Remain Connected' and 'Staying Connected' convey the same concept of maintaining a connection, with no significant change in meaning or intent.","### Remain Connected","### Staying Connected"
