# Drift report generated 2026-01-30T00:06:08.064466
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter3_chapter_3_sin_and_redemption.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/farsi/pipeline2/backtranslation/chapters/chapter3_chapter_3_sin_and_redemption.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9333","HIGH","Scripture tells us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God’s standard, or ‘miss the mark,’ a term from archery describing an archer’s failure to hit the target.","The Bible tells many stories about sin—its causes, its consequences, and how God responds to it. To sin means to fall short of God’s standard, or “to miss the mark,” an archery term that describes the archer’s failure to hit the target."
"2","0.9191","MEDIUM","Both Old and New Testaments use various terms for sin, each highlighting aspects like its type, severity, intent, victim, nature, and required punishment. There are several broad categorizations that the scriptures use to describe sin:","Both the Old and New Testaments use various words for sin, each highlighting aspects such as kind, severity, intent, victim, nature, and the appropriate punishment. The Bible uses several broad categories to describe sin:"
"3","0.936","HIGH","- Sin against God, sin against man, sin against self","- Sin against God, sin against others, sin against oneself"
"4","0.9174","MEDIUM","- Intentional sin, unintentional sin","- Deliberate sin, unintentional sin"
"5","0.8351","LOW","- Sin of a single moment, sin habitually committed","- Momentary sin, habitual sin"
"6","0.8389","LOW","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sin that requires severe punishment such as death, sin that requires financial restitution"
"7","0.9586","HIGH","In our modern criminal justice systems, we have similar distinctions: degrees of crime, premeditated or crimes of passion, crimes requiring financial restitution, or incarceration, or even capital punishment. An act might be both a crime and a sin, but crime is man's categorization, sin is God’s.","In modern criminal justice systems, we have similar distinctions: degrees of offense, crimes that are premeditated or crimes of passion, offenses that call for financial restitution, imprisonment, or even execution. An act may be both a crime and a sin, but crime is a human classification and sin is a divine classification."
"8","0.9855","HIGH","The various Greek and Hebrew words for sin have a high level of overlap. All sin is broadly described under the umbrella term ‘missing the mark’, ***Hamartia*** in Greek, and ***Chata’*** in Hebrew. This umbrella term is used for the most severe sins, adultery, murder, but also less severe sins, like showing partiality to wealthy people in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>).","The various Greek and Hebrew words for sin have significant overlap. All sins are broadly described under the umbrella term “missing the mark”; in Greek, ***Hamartia***, and in Hebrew, ***Chata’***. This umbrella term is used for the gravest sins, adultery and murder, but also for lesser sins, such as showing favoritism to the wealthy in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>)."
"9","0.9532","HIGH","Here are some words the Scriptures use for sin. They help us understand how serious sin is-and how deeply we need God's grace.","Here are some of the words the Bible uses for sin. These help us grasp how serious sin is—and how deeply we need God’s grace."
"10","1.0","HIGH","[See Table 2](../tables/table2.md)","[See Table 2](../tables/table2.md)"
"11","0.9887","HIGH","## Sin has Consequences","## Sin Has Consequences"
"12","0.9705","HIGH","Every sin brings consequences-sometimes immediate, sometimes delayed, but always real.","Every sin carries consequences—sometimes immediate, sometimes delayed, but always real."
"13","0.8653","MEDIUM","Let's consider Cain’s murder of his brother Able in Genesis 4.","Let’s look at the murder of Abel by Cain in Genesis 4."
"14","1.0","HIGH","<span class=""x-scripture"" data-book=""GEN"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""1-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""GEN"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""1-16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
