# Drift report generated 2026-01-30T14:04:13.880042
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter5_chapter_5_repentance_from_dead_works.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/russian/pipeline2/backtranslation/chapters/chapter5_chapter_5_repentance_from_dead_works.md
"id","similarity","translation_quality","source","back_translation"
"1","0.979","HIGH","Oftentimes in Christianity we think about repentance as fundamental only to the beginning of our faith in Jesus. The heart of repentance goes much deeper than turning away from sin unto salvation. Repentance from dead works means living with our hearts turned away from the things that harm us or stunt our growth-and turned toward the things of God.","Often in Christianity we view repentance as something fundamental only to the beginning of our faith in Jesus. The essence of repentance goes much deeper than simply turning from sin to salvation. Repentance from dead works means living with a heart turned away from what harms us or hinders our growth - and turned toward what is from God."
"2","0.9547","HIGH","The author of Hebrews sets ‘repentance from dead works’ as the first item in the list of the foundational doctrines after the foundational principles of the Messiah (Chapter 4).","The author of the Epistle to the Hebrews puts ‘repentance from dead works’ first in the list of foundational teachings after the foundational principles of the Messiah (Chapter 4)."
"3","1.0","HIGH","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""HEB"" data-chapter=""6"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"4","1.0","HIGH","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>","> **<u>Hebrews 6:1</u>** (NKJV)\\n>\\n> Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,\\n>"
"5","1.0","HIGH","</span>","</span>"
"6","0.8722","MEDIUM","Let's take an in-depth look at the Greek for this phrase:","Let’s take a closer look at the Greek words of this phrase:"
"7","1.0","HIGH","[See Table 4](../tables/table4.md)","[See Table 4](../tables/table4.md)"
"8","0.8914","MEDIUM","### Dead Works","### Dead works"
"9","0.9347","HIGH","Every person who has ever been employed knows what work is. Work is the set of tasks that you undertake to receive a paycheck so you can earn a living (employment). Employment is an agreement to trade your talents and efforts for something of value that will help sustain you. You work because you get something out of it.","Anyone who has ever had a job knows what work is. Work — is a set of tasks that you perform to get a paycheck and make a living (employment). Employment — is an agreement to exchange your talents and efforts for something of value that helps you support yourself. You work because you get something from it."
"10","0.9701","HIGH","Our work is important, it can bring a sense of purpose, often a sense of identity. It's very common to be asked ‘What do you do for a living?’ and the response begins with a statement of identity ‘I am’. While work can be enjoyable and purposeful, it is also very likely to be physically or mentally tough, difficult, challenging, and stressful. If your job is none of these things, you might find it too menial and boring.","Our work is important; it can bring a sense of purpose, often a sense of identity. You often hear the question ‘What do you do for a living?’ and the answer begins with an identity statement ‘I am’. Although work can be enjoyable and meaningful, it is also very often physically or mentally hard, difficult, demanding, and stressful. If your job is none of these, you might consider it too easy and boring."
"11","0.9565","HIGH","If you work a 40-hour a week job, and sleep 8 hours per night, you spend 36% of your waking hours working, and this excludes the time you spend getting ready to work, commuting to work, taking care of a household, and all the other necessary tasks you need to do to keep the your life on track.","If you work 40 hours a week, and sleep 8 hours a day, you spend 36% of your waking time at work, and that does not include the time you spend getting ready for work, getting to it, keeping house, and doing all the other necessary tasks to keep your life on the right track."
"12","0.9424","HIGH","Why do we do all this work? It varies, but definitionally because we get something of value from it.","Why do we do all this work? The reasons vary, but by definition, because we get something valuable from it."
"13","0.9474","HIGH","Would you continue to work at a job if they stopped paying you? For most of us the easy and painfully obvious answer is a resounding, NO!","Would you keep working at a job if they stopped paying you? For most of us, the easy and painfully obvious answer — a loud, NO!"
"14","0.9811","HIGH","Would you continue to work at a job if it was killing you? I suppose it depends on how quickly.","Would you keep working at a job if it were killing you? I suppose that depends on how quickly."
"15","0.9631","HIGH","The context of ***nekros*** joined with ***erga*** is labor or work that is dead, has no vitality, cannot reproduce! The author of Hebrews is warning us of labor that is dead.","The context of ***nekros*** in combination with ***erga*** — is labor or work that is dead, has no life force, cannot reproduce! The author of the Epistle to the Hebrews warns us about labor that is dead."
"16","0.956","HIGH","In the study of biology, there are several criteria that are used to determine if an organism is alive (this is a partial list used for our purpose):","In biology there are several criteria that are used to determine whether an organism is alive (this is a partial list for our purposes):"
"17","0.9662","HIGH","1.  **Metabolism**: Living things convert energy through metabolic processes to grow, develop, and sustain themselves.","1.  **Metabolism**: living beings convert energy through metabolic processes in order to grow, develop, and sustain themselves."
"18","0.9543","HIGH","2.  **Growth and Development**: Life involves growth and progression over time, with a specific life cycle and developmental changes.","2.  **Growth and development**: life includes growth and changes over time, with a defined life cycle and developmental stages."
"19","0.9337","HIGH","3.  **Reproduction**: Living things have the capacity to reproduce, creating offspring or new entities.","3.  **Reproduction**: living beings are capable of reproduction, creating offspring or new entities."
"20","0.9773","HIGH","4.  **Response to Stimuli**: Life responds to external stimuli (like light, heat, or sound) and can adjust to changes in the environment.","4.  **Response to stimuli**: Life responds to external stimuli (for example, light, heat, or sound) and can adapt to changes in the environment."
"21","0.9916","HIGH","5.  **Homeostasis**: Living organisms maintain internal stability, such as temperature regulation or pH balance.","5.  **Homeostasis**: Living organisms maintain internal stability, for example, regulating temperature or pH balance."
"22","0.9673","HIGH","6.  **Adaptation**: Over time, living things can adapt to their environments through genetic changes, allowing survival in various conditions.","6.  **Adaptation**: Over time, living beings can adapt to their environment through genetic changes, which allows them to survive in various conditions."
"23","0.876","MEDIUM","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:","If we apply this standard of «life» to our deeds with a little creativity, then dead works will be those that:"
