# Drift report generated 2026-02-01T01:32:56.990260
# Source file: /Users/andrew/repo/principles-of-faith/english/chapters/chapter14_back_5_hearing_the_voice_of_god.md
# Back translation: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/backtranslation/chapters/chapter14_back_5_hearing_the_voice_of_god.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9623","HIGH","The following guest appendix by Rev. Larry Low ([<u>www.LarryLow.com</u>](http://www.larrylow.com)) complements our exploration of the Holy Spirit’s role, offering practical insights on hearing God’s voice. The following guest contribution is used with permission.","The following contributed appendix by Pastor Larry Low ([<u>www.LarryLow.com</u>](http://www.larrylow.com)) complements our exploration of the role of the Holy Spirit and provides practical insights into hearing the voice of God. The following guest contribution is used with permission."
"2","0.9773","HIGH","During prayer one morning, I asked **God** the following question: “What is the most important thing I could teach your people for the times that are heading our way?” And He answered me very quickly, and I sensed it was very urgent when He said: “**Teach them to hear My voice.**”","During prayer one morning, I asked **God** the following question: “What is the most important thing I can teach Your people to prepare them for the age that is coming upon us?” The Lord answered very quickly, and I sensed a great urgency in His words. “**Teach them to hear My voice.**”"
"3","0.9497","HIGH","When the Lord gives me a direction like that, I always pick up a pad and pencil and begin to write what little I know, or what I think I know, and the Scriptures that support it. I love doing Word studies on topics the Lord is leading me to teach. I love the anointing for preaching, but I really love to teach the Word. It is an adventure finding things that have always been there but have been overlooked.","When the Lord gives such instruction, I always take a notepad and pencil and begin to write what little I know, or think I know, along with the Scripture passages that support it. I love to search the Word regarding the subjects the Lord is leading me to teach. I also love the anointing for preaching, but I truly love teaching the Word. It is an adventure to discover things that have been there all along yet overlooked."
"4","0.9402","HIGH","David must have longed to uncover God’s Truths, for He prayed in verse 18 of Psalm 119: “Open my eyes that I may see Wondrous things from Your law.”","David must also have longed to unveil God’s truth, for he prayed this in Psalm 119:18: “Open my eyes, that I may see wondrous things from Your law.”"
"5","0.947","HIGH","That’s what I want to see-Wondrous things from His Word.","That is what I want to see - wondrous things from the Word."
"6","0.9438","HIGH","As I was studying and preparing to teach the second message on hearing and discerning God’s voice, He spoke to my heart the following:","As I was studying and preparing the second message on discerning the voice of God, the Lord spoke to my heart as follows:"
"7","1.0","HIGH","“*Teach them to hear My voice,  \\nTeach them to honor and obey.*","“*Teach them to hear My voice,  \\nTeach them to honor and obey.*"
"8","0.9856","HIGH","*Yes, Teach them to hear My voice and I will always lead them away:  \\nAway from troubles that would destroy them,*","*Yes, teach them to hear My voice, and I will always lead them away:  \\naway from troubles that would destroy them,*"
"9","0.9343","HIGH","*Away from the trials that they are in,  \\nAway to a place of peace, love, and joy that few have ever been in.*","*away from the trials they now face,  \\nto a place of peace and love and joy that very few have ever entered.*"
"10","0.8596","MEDIUM","*Away to a place of refreshing,  \\nto a place of Divine ecstasy.*","*to a place of renewal,  \\nto a place of divine ecstasy.*"
"11","0.9712","HIGH","*Oh yes, teach them to hear My voice son  \\nand these people will forever be free*.”","*Oh yes, son, teach them to hear My voice,  \\nand these people will be free forever*.”"
"12","1.0","HIGH","05/27/00 9:10 A.M.","05/27/00 9:10 A.M."
"13","0.9398","HIGH","The following eleven points should help you understand how the Lord will communicate with you:","The following 11 points should help you understand how the Lord may speak to you:"
"14","0.9149","MEDIUM","1.  <u>Hearing God’s voice is NOT an audible sound but a KNOWING in your heart.</u>","1.  <u>Hearing God’s voice is not an audible sound, but a conviction in the heart.</u>"
"15","0.8855","MEDIUM","There was one time when His Word came so clear and bold that it could have been audible. I answered Him by speaking out, it was so real. However, there was no one there but the Lord and I, so I can’t really say for sure if He spoke to me like we speak to each other.","There was a time when the Word came so clearly and powerfully that it seemed like an audible voice. It was so real that I responded out loud. However, since there was no one there but the Lord and me, I cannot say for certain whether it was actually spoken with a voice as we speak to one another."
"16","0.9253","HIGH","There was the time when Jesus was being baptized in the river Jordan and the Father spoke: “This is My Son, in whom I am well pleased,” but even some of those there said it sounded like thunder, so I guess He could have spoken audibly to me, but for now, I want you to understand that when I say God spoke to me, it is a KNOWING in my heart more than a sound in my ear.","When Jesus was baptized in the Jordan, the Father said: “This is My beloved Son; in Him I am well pleased,” yet some of those who were there said it sounded like thunder. So, while I think it is possible that the Lord spoke to me in an audible voice, for now, when I say “God spoke to me,” please understand that it is a conviction in the heart rather than a sound heard with the ears."
"17","0.8161","LOW","2.  <u>The KNOWING is NOT built by logic within your mind; however, it is a complete thought or understanding.</u>","2.  <u>That conviction is not built by the logic in your mind; rather, it is a complete thought, or understanding.</u>"
"18","0.9318","HIGH","I have never had the Lord speak anything to me that confused me. I have never had Him speak anything to me that left me wondering ‘why.’ It is always a KNOWING with complete UNDERSTANDING. God is not the author of confusion (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""33"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 14:33</span>).","The Lord has never spoken anything to me that brought confusion. He has never spoken anything that made me tilt my head and ask, “Why?” It is always a conviction accompanied by complete understanding. God is not a God of confusion (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""33"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 14:33</span>)."
"19","0.9174","MEDIUM","3.  <u>When He speaks, He speaks in complete thoughts.</u>","3.  <u>When the Lord speaks, He speaks in complete thoughts.</u>"
"20","0.9382","HIGH","He never leaves us to fill in the blanks. In the twinkling of an eye, God can fill your heart with enough information to keep you preaching a lifetime. One touch from God can fill you with fire that will keep you burning eternally. He is a complete communicator.","He never makes us fill in the blanks ourselves. In the blink of an eye, God is able to fill your heart with enough information to keep preaching to you for a lifetime. With a single touch from God, you are filled with a fire that will burn forever. He is a perfect communicator."
