# Drift report generated 2026-01-30T01:22:28.200788
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/spanish/pipeline2/backtranslation/chapters/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9878","HIGH","Building on our study of Jesus as the Messiah, in this chapter we continue in looking at the life, person, and work of Jesus. We’ll see that Jesus is the Mediator of a new and better covenant-and that He perfectly fills the roles of Prophet, Priest, and King. It is in this New Covenant that we as believers have good standing with God and transition from a works-based covenant to a trust-based (faith-based) covenant. Finally, we will read and study the *Apostles Creed* as a way to round-out our study on Jesus.","Building on our study of Jesus as the Messiah, in this chapter we continue observing the life, person, and work of Jesus. We will see that Jesus is the Mediator of a new and better covenant, and that He perfectly fulfills the offices of Prophet, Priest, and King. It is in this New Covenant that we, as believers, have good standing before God and move from a works-based covenant to a trust-based (faith-based) covenant. Finally, we will read and study the *Apostles' Creed* as a way to complete our study on Jesus."
"2","0.9999","HIGH","## Mediator of the New Covenant","## Mediator of the New Covenant"
"3","0.9875","HIGH","The concept of a mediator involves a go-between who bridges the gap between two parties, facilitating a relationship or agreement. In the Exodus story, Moses is the initial mediator of the covenant God established with His people. Moses received the law, offered the sacrifice (priest), called God’s people to obedience (prophet), and judged them (judge / king). In the remainder of the Old Testament after Moses, the mediating role was fulfilled through the role of the Prophet, the Levitical Priesthood, and the Judges and later Kings of the nation.","The concept of a mediator implies an intermediary who bridges the gap between two parties, facilitating a relationship or agreement. In the story of the Exodus, Moses is the initial mediator of the covenant that God established with His people. Moses received the law, offered the sacrifice (priest), called God’s people to obedience (prophet), and judged them (judge/king). In the rest of the Old Testament after Moses, the mediating function was fulfilled through the role of the Prophet, the Levitical Priesthood, and the Judges and then the Kings of the nation."
"4","0.8289","LOW","Old Testament Roles of Mediators:","Mediator functions in the Old Testament:"
"5","0.9884","HIGH","1.  **Prophet:** Prophets were God’s messengers, sent to speak His heart to the people and call them back when they wandered. Moses, for example, served as a prophet who mediated the Old Covenant by receiving the Law from God and teaching it to Israel. Prophets also foretold the coming of the Messiah and the ultimate redemption of humanity. Other prominent examples of prophet include: Isaiah, Jeremiah, Elijah, Elisha, Samuel.","1.  **Prophet:** The prophets were God’s messengers, sent to speak His heart to the people and call them back when they strayed. Moses, for example, served as a prophet who mediated the Old Covenant by receiving God’s Law and teaching it to Israel. The prophets also announced the coming of the Messiah and the final redemption of humanity. Other prominent examples of prophets include: Isaiah, Jeremiah, Elijah, Elisha, Samuel."
"6","0.9922","HIGH","2.  **Levitical Priesthood:** Priests acted as mediators by offering sacrifices for the atonement of sins and interceding for the people before God. The High Priest, especially, played a vital role on the Day of Atonement, entering the Holy of Holies to sprinkle blood on the mercy seat, symbolizing reconciliation with God. The priest's ministry is to intercede for the people.","2.  **Levitical Priesthood:** The priests acted as mediators by offering sacrifices for the atonement of sins and interceding for the people before God. The High Priest, especially, played a vital role on the Day of Atonement, entering the Most Holy Place to sprinkle blood on the mercy seat, symbolizing reconciliation with God. The ministry of the priest is to intercede for the people."
"7","0.9874","HIGH","3.  **Judge/King:** Judges, and later Kings, were charged with ruling over God’s people, enforcing His laws, judging between the people, delivering them from their enemies, and leading them in righteousness. The book of Judges tells the stories of these leaders-people like Deborah, Samson, and Gideon-whom God raised up to rescue and guide Israel. Israel later had a line of kings, many wicked, some good (see 1st and 2nd Kings, 1st and 2nd Samuel, and 1<sup>st</sup> and 2<sup>nd</sup> Chronicles). Some prominent examples are Saul, David, and Solomon.","3.  **Judge/King:** The judges, and later the kings, were charged with governing God’s people, enforcing His laws, judging among the people, delivering them from their enemies, and guiding them in righteousness. The book of Judges recounts the stories of these leaders—people like Deborah, Samson, and Gideon—whom God raised up to rescue and guide Israel. Israel later had a line of kings, many evil, some good (see 1 and 2 Kings, 1 and 2 Samuel, and 1<sup>st</sup> and 2<sup>nd</sup> Chronicles). Some prominent examples are Saul, David, and Solomon."
"8","0.9469","HIGH","Worth noting is that all the Old Covenant mediators were fully man and not divine. As men they were able to sin, and many times were given to sin. Some of the mediators were sinful and drove people away from God and towards profane worship: false prophets, lying and corrupt priests, and wicked kings.","It should be noted that all the mediators of the Old Covenant were fully human and not divine. As men they could sin, and many times were given to sin. Some of the mediators were sinful and led the people away from God and toward profane worship: false prophets, lying and corrupt priests, and wicked kings."
"9","1.0","HIGH","### Christ as the Mediator of the New Covenant","### Christ as the Mediator of the New Covenant"
"10","0.9467","HIGH","Jesus’ death, resurrection and ascension fulfil the Old Covenant, and establish the New Covenant.","The death, resurrection, and ascension of Jesus fulfill the Old Covenant and establish the New Covenant."
