# Drift report generated 2026-01-30T14:53:43.426948
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter14_back_5_hearing_the_voice_of_god.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/backtranslation/chapters/chapter14_back_5_hearing_the_voice_of_god.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9179","MEDIUM","The following guest appendix by Rev. Larry Low ([<u>www.LarryLow.com</u>](http://www.larrylow.com)) complements our exploration of the Holy Spirit’s role, offering practical insights on hearing God’s voice. The following guest contribution is used with permission.","The following guest appendix written by Pastor Larry Low（[<u>www.LarryLow.com</u>](http://www.larrylow.com)），supplements our exploration of the role of the Holy Spirit，providing practical insights on how to listen to God's voice。The following guest contribution is used by permission。"
"2","0.9592","HIGH","During prayer one morning, I asked **God** the following question: “What is the most important thing I could teach your people for the times that are heading our way?” And He answered me very quickly, and I sensed it was very urgent when He said: “**Teach them to hear My voice.**”","One morning while praying, I asked **God** this question：“In the days that are coming upon us, what is the most important thing I can teach Your people？”He answered me quickly, and I felt it was very urgent, because He said：“**Teach them to hear My voice.**”"
"3","0.9137","MEDIUM","When the Lord gives me a direction like that, I always pick up a pad and pencil and begin to write what little I know, or what I think I know, and the Scriptures that support it. I love doing Word studies on topics the Lord is leading me to teach. I love the anointing for preaching, but I really love to teach the Word. It is an adventure finding things that have always been there but have been overlooked.","When the Lord gives me such direction, I always pick up pen and paper and begin to write down the little I know, or think I know, and the Scriptures that support it。我 like to do word studies in Scripture on the subjects the Lord leads me to teach。I love the anointing to preach, but I love teaching God’s Word even more。Seeking those things that have always been there yet have been overlooked is an adventure。"
"4","0.9585","HIGH","David must have longed to uncover God’s Truths, for He prayed in verse 18 of Psalm 119: “Open my eyes that I may see Wondrous things from Your law.”","David must have longed to uncover God’s truth, for he prayed in Psalm 119:18：“Open my eyes, that I may see wondrous things from Your law.”"
"5","0.8627","MEDIUM","That’s what I want to see-Wondrous things from His Word.","That is what I want to see-the wonders in His Word。"
"6","0.9137","MEDIUM","As I was studying and preparing to teach the second message on hearing and discerning God’s voice, He spoke to my heart the following:","As I was studying and preparing to teach the second message on hearing and discerning God’s voice, He said this in my heart："
"7","0.9543","HIGH","“*Teach them to hear My voice,  \\nTeach them to honor and obey.*","“*Teach them to hear My voice，  \\nteach them to honor and obey.*”"
"8","0.9035","MEDIUM","*Yes, Teach them to hear My voice and I will always lead them away:  \\nAway from troubles that would destroy them,*","*Yes, teach them to hear My voice, and I will often lead them away:  \\naway from the troubles that will destroy them，*"
"9","0.876","MEDIUM","*Away from the trials that they are in,  \\nAway to a place of peace, love, and joy that few have ever been in.*","*away from the trials they are in，  \\nto a place of peace、 love and joy，few have ever entered。*"
"10","0.7065","CRITICAL","*Away to a place of refreshing,  \\nto a place of Divine ecstasy.*","*to a place of renewal，  \\na place of holy joy。*"
"11","0.9256","HIGH","*Oh yes, teach them to hear My voice son  \\nand these people will forever be free*.”","*Oh, yes, son, teach them to hear My voice  \\nand these people shall be free forever*。”"
"12","0.9412","HIGH","05/27/00 9:10 A.M.","05/27/00 9:10 AM"
"13","0.9439","HIGH","The following eleven points should help you understand how the Lord will communicate with you:","The following eleven points should help you understand how the Lord will communicate with you："
"14","0.9075","MEDIUM","1.  <u>Hearing God’s voice is NOT an audible sound but a KNOWING in your heart.</u>","1.  <u>Hearing God’s voice is not an audible sound outside of you, but a certainty in your heart。</u>"
"15","0.8577","MEDIUM","There was one time when His Word came so clear and bold that it could have been audible. I answered Him by speaking out, it was so real. However, there was no one there but the Lord and I, so I can’t really say for sure if He spoke to me like we speak to each other.","There was a time when His word came so clear and powerful, it was almost like an audible voice。I even answered Him out loud because it was so real。然而，there was no one there but the Lord and me, so I could not be sure whether He had spoken to me the way we speak to each other。"
"16","0.8741","MEDIUM","There was the time when Jesus was being baptized in the river Jordan and the Father spoke: “This is My Son, in whom I am well pleased,” but even some of those there said it sounded like thunder, so I guess He could have spoken audibly to me, but for now, I want you to understand that when I say God spoke to me, it is a KNOWING in my heart more than a sound in my ear.","When Jesus was baptized in the Jordan, the Father said：“This is My beloved Son, in whom I am well pleased”，yet among those present some even said the sound was like thunder。所以 I suppose He may also have spoken to me in an audible way；but at this moment, I want you to understand that when I say God spoke to me, it was less a voice my ears heard than a certainty in my heart。"
"17","0.8022","LOW","2.  <u>The KNOWING is NOT built by logic within your mind; however, it is a complete thought or understanding.</u>","2.  <u>This certainty is not constructed by logical reasoning in your mind；however, it is a complete thought or understanding。</u>"
"18","0.8913","MEDIUM","I have never had the Lord speak anything to me that confused me. I have never had Him speak anything to me that left me wondering ‘why.’ It is always a KNOWING with complete UNDERSTANDING. God is not the author of confusion (<span class=""x-scripture"" data-book=""1CO"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""33"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 14:33</span>).","The Lord has never said anything to me that left me confused。He has also never said anything to me that left me with a ‘Why.’ question。It is always a certainty that comes with complete understanding。For God is not a God of confusion（<span class=""x-scripture"" data-book=""1CO"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""33"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Corinthians 14:33</span>）。"
"19","0.9157","MEDIUM","3.  <u>When He speaks, He speaks in complete thoughts.</u>","3.  <u>When He speaks, what He gives is a complete thought。</u>"
"20","0.9318","HIGH","He never leaves us to fill in the blanks. In the twinkling of an eye, God can fill your heart with enough information to keep you preaching a lifetime. One touch from God can fill you with fire that will keep you burning eternally. He is a complete communicator.","He never lets us fill in the gaps ourselves. In an instant, God can fill your heart with enough information for you to preach for a lifetime. One touch from God can fill you with fire so that you burn forever. He is the perfect Communicator."
"21","0.9762","HIGH","4.  <u>When God speaks to us, He NEVER DRIVES. He leads.</u>","4.  <u>When God speaks to us, He never drives; He leads.</u>"
"22","0.9851","HIGH","He is not a task master; He is a Shepherd. Herdsmen drive, but Shepherds lead. Jesus is the Great Shepherd of the sheep, and we are the sheep of His pasture.","He is not a taskmaster; He is a shepherd. Herdsmen drive; shepherds lead. Jesus is the great Shepherd of the flock, and we are the sheep of His pasture."
"23","0.9298","HIGH","5.  <u>When He speaks to His children, He NEVER CONVICTS; He CONVINCES.</u>","5.  <u>When He speaks to His children, He never condemns; He convicts.</u>"
