# Drift explanation generated 2026-01-30T14:20:05.150955
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/arabic/pipeline2/analysis/chapters/drift_report_chapter4_chapter_4_jesus_the_messiah_vs_chapter4_chapter_4_jesus_the_messiah.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"44","0.9162","MEDIUM","no","paraphrase","The terms 'proclaimed' and 'declared' are synonymous in this context, conveying the same intent and meaning without altering the doctrinal or logical implications.","Jesus proclaimed:","Jesus declared:"
"46","0.8361","LOW","yes","doctrinal","The term 'Deliverance' in the original emphasizes a broader concept of being freed from bondage, while 'Salvation' is more specifically associated with spiritual rescue and eternal life, indicating a shift in doctrinal focus.","- Deliverance - forgiveness, pardon of sin, freedom.","- Salvation - forgiveness, pardon of sin, freedom."
"48","0.9041","MEDIUM","no","paraphrase","The back-translation maintains the same meaning as the original, with only a minor difference in capitalization. There are no changes in doctrinal meaning, logical relationship, or intent.","The people He came to were:","The people he came to were:"
"54","0.868","MEDIUM","no","paraphrase","The phrases 'recovering sight' and 'restoring sight' convey the same concept of regaining vision without altering the underlying meaning or intent.","- Recovering sight","- Restoring sight"
"55","0.5332","CRITICAL","yes","doctrinal","The original phrase 'Set in a state of liberty' implies a condition or state of being that encompasses freedom, while 'Setting them free' suggests an active process of liberation. This changes the focus from a state of existence to an action, altering the doctrinal meaning related to freedom.","- Set in a state of liberty","- Setting them free"
"60","0.8869","MEDIUM","no","paraphrase","The terms 'necessary' and 'essential' are synonymous in this context, conveying the same idea about the importance of Jesus' work without altering the doctrinal meaning or intent.","### The Necessary Work of Jesus","### The Essential Work of Jesus"
"61","0.9158","MEDIUM","no","paraphrase","Both paragraphs convey the same theological concept that the Messiah's mission involved proclamation, healing, and the ultimate act of atonement through Jesus' sacrifice on the cross, with no significant changes in meaning.","To fully reconcile humanity to God, the Messiah's mission required not only proclamation and healing but also the ultimate act of atonement. Jesus had to become the perfect and complete sacrifice, through His death on the cross.","In order to fully reconcile humanity with God, the mission of Christ required not only preaching and healing, but also the final work of atonement. Jesus had to become the perfect, complete sacrifice, through His death on the cross."
"70","0.8623","MEDIUM","no","paraphrase","Both paragraphs convey the idea of safety and protection from danger, with no significant changes in meaning or intent.","- Implies being kept safe, protected, or preserved from danger.","- Connotes remaining safe, protection, or being kept from danger."
"79","0.701","CRITICAL","no","paraphrase","Both phrases refer to the same theological concept of spiritual rebirth in Christianity, with no significant change in meaning.","### Born Again","### The New Birth"
"81","0.901","MEDIUM","no","paraphrase","The back-translation maintains the core message of the original verse, emphasizing the transformation that occurs in Christ without altering its doctrinal meaning or intent.","> **<u>2 Corinthians 5:17</u>** (NKJV)\\\\n>\\\\n> Therefore, if anyone is in Christ, he is a new creation; old things have passed away; behold, all things have become new.\\\\n>","> **<u>2 Corinthians 5:17</u>** (NKJV)\\\\n>\\\\n> Therefore، if anyone is in Christ he is a new creation؛ the old things have passed away؛ behold all has become new.\\\\n>"
"85","0.909","MEDIUM","no","paraphrase","The back-translated paragraph retains the same doctrinal meaning and logical relationships as the original, with only minor changes in punctuation and wording that do not affect the overall intent or message.","> **<u>Romans 10:9-10</u>** (NKJV)\\\\n>\\\\n> that if you confess with your mouth the Lord Jesus and believe in your heart that God has raised Him from the dead, you will be saved.\\\\n>\\\\n> For with the heart one believes unto righteousness, and with the mouth confession is made unto salvation.\\\\n>","> **<u>Romans 10:9-10</u>** (NKJV)\\\\n>\\\\n> that if you confess with your mouth the Lord Jesus and believe in your heart that God raised Him from the dead، you will be saved.\\\\n>\\\\n> For with the heart one believes unto righteousness، and with the mouth confession is made unto salvation.\\\\n>"
"88","0.8682","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, with only minor variations in wording that do not affect the overall message about spiritual rebirth through faith in Jesus.","When we put our trust in Jesus and receive him, we become born again, not of flesh, but of the spirit. We become alive spiritually! Just as in physical birth, many things accompany spiritual birth:","When we place our trust in Jesus and accept Him، we become born again، not of the flesh، but of the Spirit. We become spiritually alive! And as in physical birth، many things accompany spiritual birth:"
"93","0.9132","MEDIUM","no","paraphrase","The back-translated phrase 'Questions for personal reflection' retains the same conceptual meaning as 'Personal Reflection Questions,' simply rephrasing it without altering its intent or logical relationship.","## Personal Reflection Questions","## Questions for personal reflection"
