# Drift explanation generated 2025-12-30T02:28:29.584946
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/urdu/pipeline2/analysis/chapters/drift_report_chapter5_chapter_5_repentance_from_dead_works_vs_chapter5_chapter_5_repentance_from_dead_works.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"9","0.8948","MEDIUM","no","paraphrase","The back-translated paragraph conveys the same concepts and ideas as the original, using slightly different wording but maintaining the overall meaning regarding work and employment.","Every person who has ever been employed knows what work is. Work is the set of tasks that you undertake to receive a paycheck so you can earn a living (employment). Employment is an agreement to trade your talents and efforts for something of value that will help sustain you. You work because you get something out of it.","Everyone who has ever held a job knows what work is. Work is the responsibilities you perform in order to receive wages so that you can earn a living (employment). Employment is a contract in which you give your skills and efforts in exchange for some valuable compensation that helps you make a living. You work because you get something out of it."
"18","0.8686","MEDIUM","yes","doctrinal","The original paragraph emphasizes 'development' and a 'specific life cycle,' suggesting a more structured view of life processes, while the back-translated version uses 'evolution' and 'biological cycle,' which implies a broader, possibly more scientific perspective that may not align with the original intent.","2.  **Growth and Development**: Life involves growth and progression over time, with a specific life cycle and developmental changes.","2.  **Growth and evolution**: Life includes growth and advancement over time, with a defined biological cycle and evolutionary changes."
"23","0.9055","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of applying a standard of 'life' to works, with the terms 'standard' and 'criterion' being interchangeable. The essence of the message remains unchanged, focusing on the distinction between 'dead works' and meaningful actions.","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:","If, with a little creative freedom, we apply this criterion of ‘life’ to our actions, then dead works are those that:"
"27","0.9162","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of lacking internal stability and self-control, with slight variations in wording ('dis-regulated' vs. 'disordered' and 'are not self-controlled' vs. 'lack self-control'), but the core meaning remains unchanged.","4.  Do not maintain internal stability, become dis-regulated, are not self-controlled.","4.  Do not maintain internal stability, become disordered, lack self-control."
"35","0.8642","MEDIUM","no","paraphrase","The back-translation maintains the original meaning and intent, discussing the concept of 'dead works' and the negative consequences of certain behaviors without altering the doctrinal implications.","Dead works are any works that in review and consideration are not bringing the abundant life that Jesus promised. Having an extra marital affair is very strong poison, it's likely to have a full and negative effect quite soon. Being a needlessly stubborn and resentful person will slowly poison a person until they’ve driven everyone away from them.","All actions which, after reflection, prove that they are not bringing the abundant life promised by Jesus are dead works. Having an illicit relationship outside of marriage is a very powerful poison; it is likely to very quickly have thorough and negative effects. Being needlessly stubborn and vindictive gradually poisons a person until he drives everyone away from himself."
"40","0.9157","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same core message and intent as the original, emphasizing the need for repentance and the dangers of certain life choices without altering the doctrinal or logical relationships.","We must repent! We must turn away from the things of this life that are poisoning us and leading to both our natural and spiritual death.","We should repent! We should turn away from those things in this life that are poisoning us and leading us toward both our physical and spiritual death."
"63","0.8661","MEDIUM","no","paraphrase","The back-translated paragraph retains the same wording and meaning as the original, indicating that there is no change in doctrinal meaning, logical relationship, or intent.","1.  Precontemplation: There is no intention to change.","1.  Precontemplation: There is no intention to change۔"
"64","0.8912","MEDIUM","no","paraphrase","The back-translation retains the same wording and meaning as the original paragraph, indicating an intention to change in the near future without any alteration in conceptual or theological implications.","2.  Contemplation: There is an intention to change in the near future.","2.  Contemplation: There is an intention to change in the near future۔"
"65","0.883","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same meaning as the original, simply using 'toward' instead of 'to' without altering the overall intent or context of the statement.","3.  Preparation: Some steps have been taken to change.","3.  Preparation: Some steps have been taken toward change۔"
"66","0.83","LOW","yes","doctrinal","The original specifies that the behavior has been changed for a 'short time,' implying a temporary and brief alteration, while the back-translation uses 'a period of time,' which is more vague and could suggest a longer duration. This change affects the understanding of the temporary nature of the action.","4.  Action: The behavior has been changed for a short time.","4.  Action: The behavior has been changed for a period of time۔"
"67","0.8528","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that the behavior has changed and is being maintained, with slight variations in wording but no significant change in meaning.","5.  Maintenance: The behavior has been changed and continues to be maintained.","5.  Maintenance: The behavior has changed and is being consistently maintained۔"
"68","0.9072","MEDIUM","no","paraphrase","The back-translated paragraph retains the same wording and meaning as the original, indicating no changes in doctrinal meaning, logical relationship, or intent.","6.  Termination: There is no desire to return to the previous behavior.","6.  Termination: There is no desire to return to the previous behavior۔"
"69","0.8436","LOW","no","paraphrase","Both paragraphs convey the same idea that there is no fixed duration for the stages of progression, and that individuals may either struggle to progress or move quickly through the stages. The wording is different, but the core message remains unchanged.","There is no set length of time for how long any stage may take. Some people with respect to certain issues in their lives never meaningfully progress through the stages. In other instances, we can progress from stage 1 to 6 very expediently.","There is no fixed limit for the duration of each stage۔ Some people, with respect to certain problems in their lives, never meaningfully move beyond these stages۔ In other cases، we can move very quickly from stage 1 to 6۔"
"71","0.807","LOW","yes","intentional","The original paragraph emphasizes the father's sudden conviction after yelling, suggesting a moment of realization, while the back-translated version focuses on remorse, which implies guilt rather than a broader sense of conviction. This shifts the intent from a realization of wrongdoing to a feeling of guilt.","**Scenario:**, a father experiencing a sudden conviction after yelling at his child.","**Scenario:**، After yelling at his child, a father suddenly feels a sense of remorse۔"
"72","0.9066","MEDIUM","no","paraphrase","The back-translation maintains the original meaning and intent, with only slight variations in word choice, such as 'firm' to 'strict' and 'dad' to 'father', which do not alter the overall message.","1.  **Precontemplation**: He sees himself as a *firm* but *loving* parent. He believes raising his voice is necessary. He’s not considering changing. In fact, he might even justify it- “That’s how my dad raised me.”","1.  **Precontemplation**: He considers himself a *strict* but *loving* father۔ He believes that raising his voice is necessary۔ He is not considering change۔ Rather, he might even justify it - “My father raised me the same way۔”"
"73","0.9075","MEDIUM","yes","mixed","The back-translation alters the emotional intensity by changing 'snaps' to 'restraint snaps' and 'shifts' to 'changes,' which may imply a less profound transformation. Additionally, the phrasing 'more harshly than ever before' adds emphasis that slightly shifts the focus from the act of yelling to the degree of harshness.","2.  **Contemplation**: One day, after a long day at work, he snaps and yells at his young daughter harshly, louder and angrier than ever before. She flinches. Her lip trembles. She quietly walks away. In that moment… something **shifts**.","2.  **Contemplation**: One day، after a long day at work، his restraint snaps and he yells at his young daughter more harshly than ever before، louder and with more anger۔ She is frightened۔ Her lips tremble۔ She quietly walks away from there۔ In that moment… something **changes**۔"
"74","0.9121","MEDIUM","yes","doctrinal","The back-translation alters the emotional impact by changing 'hurt' to 'sad' and modifies the self-reflection from 'That’s not who I want to be' to 'I don’t want to become this kind of person,' which shifts the focus from a current identity crisis to a future concern about becoming a certain type of person.","3.  **Preparation**: He sits alone in the kitchen, stunned. The image of her hurt face plays over and over in his mind. His stomach turns. He says to himself, *“That’s not who I want to be.”* He knows he needs to do something different-*now*.","3.  **Preparation**: He sits alone in the kitchen stunned۔ The image of her sad face keeps playing in his mind again and again۔ He feels nauseated۔ He says to himself، *“I don’t want to become this kind of person.”* He knows he has to do something different -*now*۔"
"75","0.9014","MEDIUM","no","paraphrase","The back-translation maintains the original intent and meaning, with only minor changes in wording and phrasing. The core message of apology and desire for change remains intact.","4.  **Action**: He walks into her room, kneels down, apologizes sincerely, and says, *“Daddy was wrong. You didn’t deserve that.”* She hugs him. Motivated to cement the change he prays and talks to a friend for support.","4.  **Action**: He goes to her room، kneels، apologizes from the heart، and says، *“Papa was wrong۔ You did not deserve this treatment۔”* She hugs him۔ With a desire to solidify the change he prays and talks to a friend for support۔"
"86","0.8945","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using different wording without altering the intent or doctrinal implications.","As we really embrace this transformation we can pray as King David:","When we truly embrace this change, we can pray like King David:"
"98","0.8939","MEDIUM","no","paraphrase","Both paragraphs convey the same concept of suffering as the endurance of various forms of pain, with no significant changes in meaning or emphasis.","Suffering is the endurance of pain-physical, emotional, mental, or spiritual-especially when prolonged or intense.","To suffer is to endure pain—physical, emotional, mental, or spiritual—especially when it is prolonged or severe."
"99","0.7437","CRITICAL","no","paraphrase","Both paragraphs convey the same core idea that grief or mourning is a complex emotional reaction to significant personal loss, particularly in relational or existential contexts, without altering the original meaning.","Grief is a multifaceted emotional response to significant personal loss, especially relational or existential.","Mourning is a multidimensional emotional response to a significant personal deprivation or loss, especially of a relational or existential nature."
"100","0.8963","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different words but conveying the same ideas about sorrow, suffering, and God's role in human experiences.","Sorrow, suffering, and grief are closely related ideas. In the human condition we will experience all three, we can learn and grow through all three, but God will not bring about death and destruction in our lives to teach us.","Grief, pain, and sorrow are closely related ideas۔ In the human condition we will experience all three، we can learn and grow through all three، but God will not bring death and destruction into our lives to teach us۔"
