# Drift report generated 2025-10-08T07:14:02.108256
# Source file: source/AUTOGEN/chapters/chapter13_chapter_13_spiritual_authority.md
# Back translation: backtranslation/chapter13_chapter_13_spiritual_authority.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9274","HIGH","Jesus is the ultimate and complete source of spiritual authority. As the triumphant Christ He has final authority over all things in heaven and the earth.","Jesus is the supreme and perfect source of spiritual authority. As the victorious Christ, He has ultimate authority over all things in heaven and on earth."
"2","1.0","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""Matthew"" data-chapter=""28"" data-verses=""18-20"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""Matthew"" data-chapter=""28"" data-verses=""18-20"" data-lang=""en"" data-version=""NKJV"">"
"3","0.9984","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV) ***18** And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.* ***19** Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,* ***20** teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.*","> **<u>Matthew 28:18-20</u>** (NKJV) ***18** And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.* ***19** Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,* ***20** teaching them to observe all things that I have commanded you; and behold, I am with you always, even to the end of the age."" Amen.*"
"4","1.0","HIGH","</span>","</span>"
"5","0.9831","HIGH","In this chapter we will study the authority and power of Christ, which authorities and powers He has delegated to us (His church), and how to operate in the authority of the name of Jesus. We will also study angelic and demonic beings and examine their authority, power, and natures.","In this chapter we will study the authority and power of Christ, which authority and power He has entrusted to us (His church), and how to operate in the authority of the name of Jesus. We will also study angelic and demonic beings and examine their authority, powers, and nature."
"6","0.9972","HIGH","Authority means having the right to act. Power is the ability to carry it out. Both are essential in the spiritual life. Authority is different from power. Let’s look at the following table which compares authority & power and consider a few examples.","Authority means having the right to act. Power is the ability to carry it out. Both are essential in the spiritual life. Authority is different from power. Let us look at the following table that compares authority & power and consider a few examples."
"7","1.0","HIGH","[See Table 7](../tables/table7.md)","[See Table 7](../tables/table7.md)"
"8","1.0","HIGH","Here are a few examples to help understand the difference between power and authority.","Here are a few examples to help understand the difference between power and authority."
"9","0.907","MEDIUM","Example 1: At work, an employee may have the talents and skills to conduct a sale of the company's assets (power). This power is lawful if they also have the associated permission (authority) from the company’s owners. Without this authority, selling the company's assets is theft.","Example 1: At work, an employee may have the talents and skills to sell the company's assets (power). This power is legitimate if he also has the relevant authorization (authority) from the owners of the company. Without this authority, selling the company's assets is theft."
"10","0.9467","HIGH","Example 2: A police officer is given special training in weapons and hand-to-hand combat to learn how to apprehend and physically compel a criminal (power). Police officers have been given the job responsibility backed up by laws (authority) to enforce criminal statutes.","Example 2: A police officer is given special training in weapons and hand-to-hand combat to learn how to arrest and physically subdue a criminal (power). Police officers are entrusted with a work mandate backed by law (authority) to enforce criminal laws."
"11","0.9289","HIGH","## What is Jesus’ Authority?","## What is the authority of Jesus?"
"12","0.965","HIGH","As Jesus said in Matthew, ‘All authority’ has been given. Let's look at precisely what that authority entails:","As Jesus said in Matthew, ‘All authority’ has been given. Let us look precisely at what that authority includes:"
"13","1.0","HIGH","- Over Heaven and Earth","- Over Heaven and Earth"
"14","1.0","HIGH","- Over life and death","- Over life and death"
"15","1.0","HIGH","- Over sin and forgiveness","- Over sin and forgiveness"
"16","0.9545","HIGH","- Over demons and spiritual forces","- Over demons and spiritual powers"
"17","0.9998","HIGH","- Over sickness and disease","- Over sickness and disease"
"18","0.9258","HIGH","- To judge humanity","- To judge mankind"
"19","1.0","HIGH","- Over the Church","- Over the Church"
"20","0.7786","LOW","- Over creation and nature","- On creation and nature"
"21","0.776","LOW","- Over death, Hell, and the grave","- On death, Hades, and the grave"
"22","1.0","HIGH","- To empower believers","- To empower believers"
"23","1.0","HIGH","### Authority Over Heaven and Earth","### Authority Over Heaven and Earth"
"24","1.0","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""Matthew"" data-chapter=""28"" data-verses=""18"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""Matthew"" data-chapter=""28"" data-verses=""18"" data-lang=""en"" data-version=""NKJV"">"
