# Drift explanation generated 2025-12-30T02:38:12.407814
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/urdu/pipeline2/analysis/chapters/drift_report_chapter7_chapter_7_jesus_the_foundation_of_our_faith_vs_chapter7_chapter_7_jesus_the_foundation_of_our_faith.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"4","0.8836","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing 'Old Testament Roles of Mediators' to 'Mediatorial roles in the Old Testament' without altering the doctrinal or intentional content.","Old Testament Roles of Mediators:","Mediatorial roles in the Old Testament:"
"8","0.8914","MEDIUM","no","paraphrase","Both paragraphs convey the same doctrinal meaning regarding the nature of Old Covenant mediators as fully human and capable of sin, along with the consequences of their actions leading people away from God. The differences in wording do not alter the original intent or logical relationships.","Worth noting is that all the Old Covenant mediators were fully man and not divine. As men they were able to sin, and many times were given to sin. Some of the mediators were sinful and drove people away from God and towards profane worship: false prophets, lying and corrupt priests, and wicked kings.","It is noteworthy that all the mediators of the Old Testament were entirely human and not divine. Being human, they could sin, and often fell prey to sin. Some mediators were sinful and led the people away from God into impure worship: false prophets, false and corrupt priests, and wicked kings."
"14","0.8836","MEDIUM","no","paraphrase","The back-translated paragraph retains the same doctrinal meaning as the original, as it conveys the same identification of Jesus as the Mediator of the New Covenant without any alterations in intent or logical relationships.","Jesus is explicitly identified as the Mediator of the New Covenant in","Jesus is explicitly identified as the Mediator of the New Covenant"
"26","0.8904","MEDIUM","no","paraphrase","Both paragraphs convey the same essential information about the creed's origins, its minor variations over time, and its acceptance among Christian denominations, with no significant changes in meaning.","The first recognizable versions of the creed were written in the fourth century A.D. The creed has changed slightly over the centuries, and has slight variations based on the denomination. Not every Christian denomination uses the creed, but in large part it is widely accepted in some form across the whole of Christianity.","The earliest recognizable forms of the creed were written in the fourth century A.D. Over the centuries this creed underwent minor changes, and some partial differences are found on a denominational basis. Not every Christian denomination uses this creed, but to a large extent it is widely accepted in some form throughout Christianity۔"
"27","0.9148","MEDIUM","no","paraphrase","Both paragraphs convey the same core ideas about the Apostles' Creed as a foundational teaching tool in Christianity and the process of catechism in denominations, with no significant changes in meaning or intent.","The Apostles Creed has been used as a teaching and catechism tool for centuries and communicates the most fundamental truths of the Christian faith, the base beliefs that must be acknowledged and held to be a Christian. Some denominations have a formal catechism process which is how a new believer joins that specific denomination and becomes indoctrinated into their beliefs.","For centuries the Apostles’ Creed has been used as a tool for instruction and Christian teaching (catechism) and sets forth the most basic truths of the Christian faith—the foundational doctrines that must be acknowledged and held in order to be Christian. In some denominations there is a formal process of catechism through which a new believer is received into that particular denomination and trained in their beliefs۔"
"28","0.8477","LOW","no","paraphrase","Both paragraphs convey the same core message that understanding doctrines is not a prerequisite for salvation, which is based on faith. They emphasize the importance of growing in understanding of fundamental truths as one continues in faith.","A person does not need to fully understand these beliefs to come to God and receive salvation, salvation is by faith, not by a doctrinal test! However, in continuing in that faith we all should come to understand these fundamental truths.","It is not necessary for a person to fully understand these doctrines in order to come to God and be saved؛ salvation is by faith, not by a doctrinal exam! However, as we continue in this faith, we should all come to understand these foundational truths۔"
"31","0.8931","MEDIUM","no","paraphrase","The back-translation maintains the original's doctrinal meaning and intent, conveying the same ideas about the Apostles' Creed and its relation to the Godhead without introducing any significant changes.","The fundamental truths in the Apostles Creed are numerous and quite deep, a full explanation would certainly take many whole volumes to explain. While this chapter is about Jesus, many of the topics cross over into the other members of the Godhead. This will be an abbreviated explanation of the creed, focusing only on the most central themes. Several of these topics are studied in greater depth across the chapters of this book.","The foundational truths in the Apostles’ Creed are many and exceedingly deep؛ a complete exposition would certainly require several volumes. Although this chapter is about Jesus, many topics extend to the other Persons of the Godhead. This will be a brief explanation of the creed, focusing only on the central themes. Many of these topics are explored in greater depth in various chapters of this book۔"
"35","0.9192","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, with only minor variations in wording that do not alter the overall message about Jesus Christ's divine nature and authority.","Jesus Christ is the unique Son of God, eternally begotten, not created, and sharing in the divine nature (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1-2</span>, 14). Jesus is the ‘Word’ since the beginning, and He became flesh and lived with us. As ""Christ,"" He is the anointed Messiah, fulfilling the Old Testament promises of a Savior. The title ""Lord"" acknowledges His authority over all creation and His rightful position as ruler and King (<span class=""x-scripture"" data-book=""PHP"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""10-11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Philippians 2:10-11</span>). He is not only Lord, but the Lord who saves (<span class=""x-scripture"" data-book=""ACT"" data-chapter=""16"" data-lang=""en"" data-type=""ref"" data-verses=""31"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Acts 16:31</span>).","Jesus Christ is God’s only Son, eternally begotten, not created, and partaking in the divine nature (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""1-2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 1:1-2</span>, 14)۔ Jesus is the ‘Word’ from the beginning, and He became flesh and dwelt among us. As the “Christ” He is the anointed Messiah, fulfilling the Old Testament promises about the Savior. The title “Lord” acknowledges His authority over all creation and His rightful place as Ruler and King (<span class=""x-scripture"" data-book=""PHP"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""10-11"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Philippians 2:10-11</span>)۔ He is not only Lord but the saving Lord (<span class=""x-scripture"" data-book=""ACT"" data-chapter=""16"" data-lang=""en"" data-type=""ref"" data-verses=""31"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Acts 16:31</span>)۔"
"36","0.8416","LOW","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, using different wording but conveying the same theological concepts regarding the relationship between Jesus and the Father.","Jesus is not **just** sent from God; He **is** part of God. Jesus abides in the Father and the Father abides in Jesus. The Gospel of John repeatedly establishes that Jesus and the Father are one (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""ref"" data-verses=""30"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 10:30</span>), that Jesus did not act on His own accord (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 5:19</span>; <span class=""x-scripture"" data-book=""JHN"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""49-50"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 12:49-50</span>), and that everything He did was to glorify His Father (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""17"" data-lang=""en"" data-type=""ref"" data-verses=""4"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 17:4</span>; <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:13</span>), and was done by the authority and power of His Father (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:10</span>; <span class=""x-scripture"" data-book=""JHN"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""28-29"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 8:28-29</span>).","Jesus was not merely sent by God؛ He is of God. Jesus abides in the Father and the Father abides in Jesus. The Gospel of John repeatedly proves that Jesus and the Father are one (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""ref"" data-verses=""30"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 10:30</span>), that Jesus did nothing of Himself (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 5:19</span>; <span class=""x-scripture"" data-book=""JHN"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""49-50"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 12:49-50</span>), and that whatever He did was for His Father’s glory (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""17"" data-lang=""en"" data-type=""ref"" data-verses=""4"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 17:4</span>; <span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:13</span>), and that all of it was done by His Father’s authority and power (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 14:10</span>; <span class=""x-scripture"" data-book=""JHN"" data-chapter=""8"" data-lang=""en"" data-type=""ref"" data-verses=""28-29"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 8:28-29</span>)۔"
"71","0.903","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, with slight variations in wording ('foundational' vs. 'foundation' and 'witness' vs. 'testimony'), but these do not alter the overall intent or doctrinal significance.","6.  If someone asked you to explain why Jesus is foundational to your faith, what would you say? How can this understanding strengthen your personal witness?","6.  If someone asked you why Jesus is the foundation of your faith, what would you say? How can this understanding strengthen your personal testimony?"
