# Drift explanation generated 2025-10-08T09:10:38.762426
# Source drift file: analysis/drift_report_chapter4_chapter_4_jesus_the_messiah_vs_chapter4_chapter_4_jesus_the_messiah_20251008-071414.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.911","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, using different wording but conveying the same concepts regarding sin, its costs, and the sacrificial system established in the Old Testament.","Building on our study of sin, we concluded that sin exacts a serious price, against those whom sin is committed and must be restored, and for those who commit sin and must make restitution. The price of sin must be paid. In the Old Testament God established a series of sacrifices performed by priests, individuals, and communities to deal with, resolve, and adjudicate sin.","Building on our lesson about sin, we concluded that sin brings a great cost, to those against whom the sin is committed and must be restored to, and to those who commit the sin and must make restitution. The cost of sin must be paid. In the Old Testament God established a series of sacrifices performed by priests, individuals, and the community to address, resolve, and adjudicate matters of sin."
"28","0.8582","MEDIUM","no","paraphrase","The terms 'diverse' and 'various' convey similar meanings, indicating a range of Messianic beliefs without altering the doctrinal or theological implications.","### Diverse Messianic Beliefs","### Various Messianic Beliefs"
"46","0.8304","LOW","no","paraphrase","Both paragraphs convey similar concepts of forgiveness, pardon of sin, and freedom, with only a slight variation in terminology ('Deliverance' vs. 'Redemption') that does not alter the overall meaning.","- Deliverance - forgiveness, pardon of sin, freedom.","- Redemption - pardon, forgiveness of sins, freedom."
"49","0.8766","MEDIUM","no","paraphrase","Both paragraphs convey the same emotional and spiritual state of being heartbroken, with only slight variations in wording that do not alter the overall meaning.","- Brokenhearted - shattered emotionally and spiritually.","- The brokenhearted - broken emotionally and spiritually."
"50","0.9088","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, referring to blindness in both spiritual and physical contexts without altering the intent or doctrinal implications.","- Blind - spiritually, and sometimes physically.","- The blind - spiritually, and sometimes physically."
"51","0.8166","LOW","no","paraphrase","Both paragraphs convey the same concept of poverty, both materially and spiritually, without altering the original meaning or intent.","- Poor - destitute, in poverty (spiritual and or physical).","- The poor - those without, in poverty (spiritually and/or physically)."
"52","0.9113","MEDIUM","no","paraphrase","Both paragraphs convey the same essential meaning regarding captives being individuals held against their will, with slight variations in wording but no significant change in conceptual or theological implications.","- Captives - meaning ‘taken with a spear’ representing those held in bondage against their own will.","- The captives - meaning ‘those captured by a spear’ representing those who are put in bondage against their will."
"54","0.868","MEDIUM","no","paraphrase","The phrases 'recovering sight' and 'restoring sight' convey the same concept of bringing back the ability to see, without altering the underlying meaning or intent.","- Recovering sight","- Restoring sight"
"55","0.6416","CRITICAL","yes","doctrinal","The original phrase 'set in a state of liberty' implies a broader theological or philosophical context of freedom, while 'being set free' suggests a more immediate and personal act of liberation, potentially altering the understanding of the concept of liberty.","- Set in a state of liberty","- Being set free"
"56","0.9176","MEDIUM","no","paraphrase","The back-translation adds specificity by including 'wounds' but does not change the overall meaning or intent of the original phrase, which conveys the concepts of binding, healing, and restoring.","- Binding up, healing, restoring","- Binding up wounds, healing, restoring"
"66","0.8879","MEDIUM","yes","doctrinal","The term 'Deliverance' in the original suggests a broader sense of rescue from various forms of bondage, while 'Redemption' typically emphasizes the theological concept of being saved from sin through a payment or sacrifice, which can alter the doctrinal implications.","**Salvation or Deliverance:**","**Salvation or Redemption:**"
"70","0.8949","MEDIUM","no","paraphrase","The back-translation maintains the same meaning as the original, simply rephrasing it without altering the doctrinal, logical, or intentional aspects.","- Implies being kept safe, protected, or preserved from danger.","- Means being kept safe, protected, or preserved from danger."
"72","0.7944","LOW","yes","doctrinal","The original emphasizes restoration to a state of completeness or soundness, while the back-translation introduces the concept of 'life,' which alters the doctrinal focus from mere completeness to a more dynamic state of being.","- Includes the restoration to a state of completeness or soundness.","- Encompasses being restored to a state of completeness or life."
"79","0.8941","MEDIUM","no","paraphrase","The phrase 'Born Again' and 'Being Born Again' convey the same theological concept of spiritual rebirth without altering the original intent or doctrinal meaning.","### Born Again","### Being Born Again"
