# Drift report generated 2025-12-30T02:27:19.462766
# Source file: /Users/andrew/repo/principles-of-faith/english/chapters/chapter9_chapter_9_the_church_our_role_in_it.md
# Back translation: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/urdu/pipeline2/backtranslation/chapters/chapter9_chapter_9_the_church_our_role_in_it.md
"id","similarity","translation_quality","source","back_translation"
"1","0.931","HIGH","The church is how God shows Himself on earth-through His people, doing His work. We are called to be His body, we are His hands and feet to accomplish His work and purpose. Without our efforts the harvest will remain in the field and will go un-reaped.","The Church is the means through which God reveals Himself on earth—through His people, who do His work. We are called to be His body; we are His hands and feet to accomplish His work and purpose. Without our efforts, the harvest will remain in the field and will not be reaped."
"2","1.0","HIGH","## Who is the Church?","## Who is the Church?"
"3","0.99","HIGH","The church, ***Ekklesia** (eh-klee-SEE-ah - **G1577**),* is derived from two Greek words:","The Church, ***Ekklesia** (eh-klee-SEE-ah - **G1577**),* is derived from two Greek words:"
"4","0.9885","HIGH","- **""Ek""**: ""Out of.""","- **""Ek""**: ""out of."""
"5","0.9657","HIGH","- **""Kaleo""**: ""To call.""","- **""Kaleo""**: ""to call."""
"6","0.9691","HIGH","Together, **Ekklesia** literally means ""called out"" or ""called out assembly."" In ancient Greek city-states, it referred to a gathering of citizens summoned for a specific purpose, such as legislative or judicial meetings. It was a secular term denoting an assembly of people.","Taken together, **Ekklesia** literally means ""the called-out"" or ""the called assembly."" In ancient Greek city-states it was used for the assembly of citizens who were summoned for a specific purpose, such as legislation or judicial sessions. It was a non-religious term that denoted an association of people."
"7","0.8224","LOW","In the New Testament, it is used primarily to refer to the community of believers in Jesus Christ. It can denote:","In the New Testament it is primarily used for the assembly of those who believe in Jesus Christ. It can carry the following meanings:"
"8","0.9424","HIGH","- **The Local Church**: A specific gathering of believers in a particular location (e.g., the church at Corinth, Philippi, etc.).","- **Local church**: A particular gathering of believers in a certain place (e.g., the church of Corinth, Philippi, etc.)."
"9","1.0","HIGH","<span class=""x-scripture"" data-book=""1CO"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""1CO"" data-chapter=""1"" data-lang=""en"" data-type=""quote"" data-verses=""2"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"10","0.9855","HIGH","> **<u>1 Corinthians 1:2</u>** (NKJV)\\n>\\n> To the church of God which is at Corinth, to those who are sanctified in Christ Jesus, called to be saints, with all who in every place call on the name of Jesus Christ our Lord, both theirs and ours:\\n>","> **<u>1 Corinthians 1:2</u>** (NKJV)\\n>\\n> To the church of God which is in Corinth, to those who have been sanctified in Christ Jesus, called to be saints, and together with all who in every place call on the name of our and their Lord Jesus Christ:\\n>"
"11","1.0","HIGH","</span>","</span>"
"12","0.9895","HIGH","- **The Universal Church**: The collective body of all believers across time and space.","- **Universal Church**: The collective body of all believers across time and space."
"13","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""16"" data-lang=""en"" data-type=""fragment"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""16"" data-lang=""en"" data-type=""fragment"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"14","1.0","HIGH","> **<u>Matthew 16:18</u>** (NKJV)\\n>\\n> And I also say to you that you are Peter, and on this rock I will build My church, and the gates of Hades shall not prevail against it.\\n>","> **<u>Matthew 16:18</u>** (NKJV)\\n>\\n> And I also say to you that you are Peter, and on this rock I will build My church, and the gates of Hades shall not prevail against it.\\n>"
"15","1.0","HIGH","</span>","</span>"
"16","0.927","HIGH","The church is the people, not the building or location they meet. **Called-Out Ones**: Reflects the idea that Christians are called out of the world and set apart for God's purposes (e.g., <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>) for a specific mission and purpose (the great commission). The church is technically any two or more believers meeting together (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>). Typically, the church is organized into regular meetings, with perhaps a set location and time, but wherever two or more people meet in Jesus’ name, that's where the church is!","The Church is people, not the building or place where they meet. ""The called-out people"": reflects the concept that Christians are called out of the world and set apart for God's purposes (e.g., <span class=""x-scripture"" data-book=""1PE"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">1 Peter 2:9</span>) for a specific mission and purpose (the Great Commission). The church is technically also called the gathering together of two or more believers (<span class=""x-scripture"" data-book=""MAT"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 18:20</span>). Generally the church is based on regular gatherings, possibly with a set place and time; but wherever two or more people gather in Jesus’ name, there is the church!"
"17","0.9269","HIGH","The church was established by Jesus and increased in the 1st century A.D. by the work of the disciples who followed him. The church we have and experience today in all its local bodies across the Earth is a direct result of the original work of Christ and His apostles. As believers we are to be committed to a local church for fellowship, provision, equipping for ministry, and to do good works!","The Church was established by Jesus, and was grown in the first century A.D. through the ministry of the disciples who followed Him. The church that we have today throughout the world with all its local congregations, and which we experience, is a direct result of the early work of Christ and His apostles. As believers we should be connected with a local church for fellowship, provision, preparation for service, and to do good works!"
"18","0.9473","HIGH","To help us understand what the church is, the Scriptures gives us powerful pictures that show what it’s meant to be.","To help us understand what the church is, the Scriptures give us powerful images that show what it should be."
"19","1.0","HIGH","## Understanding the Church","## Understanding the Church"
"20","0.8868","MEDIUM","There are several core metaphorical images used to depict attributes of the church:","Several foundational metaphorical images are used to describe the characteristics of the Church:"
"21","0.8814","MEDIUM","1.  The Body","1.  Body"
"22","0.8864","MEDIUM","2.  The Bride","2.  Bride"
"23","0.908","MEDIUM","3.  The Temple","3.  Temple"
"24","0.9225","HIGH","4.  The Family","4.  Family"
"25","0.8957","MEDIUM","5.  The Flock","5.  Flock"
"26","0.9762","HIGH","6.  The Vine and Branches","6.  The Vine and the Branches"
"27","0.8212","LOW","Each analogy highlights a unique aspect of the church, yet together, they reveal the church's identity as a unified and diverse community under Christ's leadership.","Each metaphor highlights a unique aspect of the Church، however together they reveal the Church’s identity as a united and diverse community under the leadership of Christ۔"
"28","0.8577","MEDIUM","### The Body","### Body"
