# Drift explanation generated 2026-01-30T14:26:19.632702
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/arabic/pipeline2/analysis/chapters/drift_report_chapter13_chapter_13_spiritual_authority_vs_chapter13_chapter_13_spiritual_authority.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"13","0.9093","MEDIUM","no","paraphrase","The back-translation retains the same conceptual meaning as the original, with no significant changes in doctrinal, logical, or intentional aspects.","- Over Heaven and Earth","- over heaven and earth"
"16","0.9149","MEDIUM","no","paraphrase","The terms 'forces' and 'powers' are often used interchangeably in theological contexts, and both phrases convey the same concept of authority over malevolent spiritual entities.","- Over demons and spiritual forces","- over demons and spiritual powers"
"17","0.8949","MEDIUM","no","paraphrase","The back-translation uses 'ailments' instead of 'disease,' but both terms convey similar concepts related to health issues. Thus, the overall meaning remains consistent.","- Over sickness and disease","- over sickness and ailments"
"48","0.902","MEDIUM","no","paraphrase","The back-translation uses 'all people' instead of 'all humanity,' but the core meaning remains unchanged, as both phrases convey the same concept of universal authority to judge.","### Authority to Judge All Humanity","### Authority to judge all people"
"82","0.9177","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, with only minor variations in wording and punctuation that do not affect the overall message.","> **<u>John 5:19</u>** (NKJV)\\\\n>\\\\n> Then Jesus answered and said to them, ""Most assuredly, I say to you, the Son can do nothing of Himself, but what He sees the Father do; for whatever He does, the Son also does in like manner.\\\\n>","> **<u>John 5:19</u>** (NKJV)\\\\n>\\\\n> Then Jesus answered and said to them, ""Truly truly I say to you: the Son can do nothing of Himself، except what He sees the Father do؛ for whatever He does, the Son also does likewise.\\\\n>"
"96","0.8988","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning, logical relationships, and intent as the original text. The differences are primarily in wording and punctuation, with no significant changes to the overall message.","> **<u>John 14:12-14</u>** (NKJV)\\\\n>\\\\n> ""Most assuredly, I say to you, he who believes in Me, the works that I do he will do also; and greater works than these he will do, because I go to My Father.\\\\n>\\\\n> And whatever you ask in My name, that I will do, that the Father may be glorified in the Son.\\\\n>\\\\n> If you ask anything in My name, I will do it.\\\\n>","> **<u>John 14:12-14</u>** (NKJV)\\\\n>\\\\n> ""Truly truly I say to you: he who believes in Me، the works that I do he will do also؛ and greater than these he will do، because I am going to My Father.\\\\n>\\\\n> And whatever you ask in My name, that I will do، that the Father may be glorified in the Son.\\\\n>\\\\n> If you ask anything in My name, I will do it.\\\\n>"
"114","0.9141","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, simply rephrasing the concepts without altering their significance.","The authority we’ve received from Christ is put into operation through our expression. Many times, this expression is verbalized in prayer, or in speaking, but in many cases is also expressed through the laying on of hands.","The authority that we have received from Christ is activated through our expression of it. This expression is often by words in prayer or by speaking، and in many cases it is also expressed by the laying on of hands."
"162","0.8462","LOW","yes","doctrinal","The original phrase 'afflicts and harms' suggests a broader range of suffering, while 'torments and harms' implies a more intense and focused form of suffering. This change in wording may affect the interpretation of the nature of the suffering being described.","- Afflicts and Harms *(<span class=""x-scripture"" data-book=""JOB"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Job 1:12</span>; <span class=""x-scripture"" data-book=""LUK"" data-chapter=""13"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 13:16</span>)*","- He torments and harms *(<span class=""x-scripture"" data-book=""JOB"" data-chapter=""1"" data-lang=""en"" data-type=""ref"" data-verses=""12"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Job 1:12</span>; <span class=""x-scripture"" data-book=""LUK"" data-chapter=""13"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 13:16</span>)*"
"178","0.8774","MEDIUM","yes","doctrinal","The original paragraph commands entities to leave, implying a departure, while the back-translated version commands them to come out, suggesting emergence or revelation. This change alters the doctrinal implications of the command being issued.","We speak to them in the name of Jesus and command them to leave.","We address them in the name of Jesus and command them to come out."
"179","0.9001","MEDIUM","no","paraphrase","The back-translation maintains the same core message as the original, simply using different wording. Both emphasize the importance of caution or warnings regarding demonic matters in scripture.","There are two major cautions in the scriptures when dealing with the demonic:","There are two basic warnings in Scripture when dealing with demonic matters:"
