# Drift explanation generated 2026-01-30T16:32:49.532779
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/punjabi/pipeline2/analysis/chapters/drift_report_chapter12_chapter_12_discipleship_vs_chapter12_chapter_12_discipleship.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"2","0.8928","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply rephrasing 'defined this mission in' to 'defined this mission as follows' without altering the core message.","Discipleship is the primary command in the Great Commission. Jesus defined this mission in:","Discipleship is the primary command in the Great Commission. Jesus defined this mission as follows:"
"18","0.7928","LOW","yes","doctrinal","The term 'Apprentice Model' suggests a focus on hands-on learning and mentorship, while 'Discipleship Model' implies a spiritual or religious context, potentially altering the doctrinal implications of the teaching approach.","### Didactic Model vs Apprentice Model","### Didactic Model versus Discipleship Model"
"22","0.9141","MEDIUM","yes","doctrinal","The back-translation changes 'apprentice' to 'discipleship,' which may imply a more religious or spiritual connotation, altering the conceptual framework of the models being compared.","The advantage of the didactic model is that it can scale more efficiently than the apprentice model. Massively open online courses (MOOCs) can have thousands of students at the same time, whereas even a very skilled master can only have perhaps a few dozen apprentices concurrently.","The advantage of the didactic model is that it can be scaled more efficiently than the discipleship model. Massively open online courses (MOOCs) can accommodate thousands of students at the same time, whereas even a very skilled master may be able to have only a few dozen disciples at once."
"24","0.8047","LOW","yes","doctrinal","The original paragraph uses the term 'apprentice model,' while the back-translated paragraph uses 'discipleship model,' which may imply a different context or framework. Additionally, the original emphasizes the complete transformation of the student into a master, while the back-translation suggests a slightly less personal relationship with the term 'replicate' instead of 'reproduce.'","In the apprentice model the master shares more than knowledge, he imparts wisdom. The result of the apprentice model is that the student has become like the master so completely that the student can reproduce the work of the master and take on apprentices of his own.","In the discipleship model, the master not only shares knowledge, he also imparts wisdom. The outcome of the discipleship model is that the student becomes like the master to the extent that the student can replicate the master’s work and train disciples of their own."
"26","0.7676","LOW","yes","doctrinal","The term 'apprentice model' suggests a focus on learning and skill acquisition, while 'discipleship model' emphasizes a spiritual and relational aspect of following Jesus, indicating a shift in doctrinal emphasis.","Jesus describes the apprentice model in:","Jesus describes the discipleship model here:"
"30","0.9052","MEDIUM","yes","doctrinal","The original uses 'apprentice model,' suggesting a learning process, while the back-translation uses 'discipleship model,' which carries a more specific theological connotation related to following a teacher in a religious context, potentially altering the doctrinal implications.","In the didactic model the student becomes a carrier of the knowledge, in the apprentice model, the student becomes like the teacher. Let’s study the key words from that passage of Luke.","In the didactic model, the student becomes a carrier of knowledge; in the discipleship model, the student becomes like the teacher. Let us examine the key words of that passage in Luke."
"32","0.9114","MEDIUM","yes","doctrinal","The original paragraph refers specifically to an 'apprentice model' in the context of discipleship, while the back-translated paragraph refers to a 'discipleship model' in 'disciple-making.' This change may imply a shift in focus from a learning relationship to a broader process, potentially altering the theological implications of the model discussed.","To summarize, the purpose and goal of the apprentice model used in discipleship is twofold:","In summary, the purpose and goal of the discipleship model used in disciple-making is twofold:"
"38","0.906","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual framework and theological meaning as the original, simply using slightly different wording without altering the roles or relationships described.","The apprentice model has two roles: master and student. Every master has been a student, and hopefully every student will become a master. I will use the terms *disciple* to refer to the student and *disciple-maker* to refer to the master/teacher.","In the discipleship model there are two roles: master and student. Every master was once a student, and hopefully every student will one day become a master. I will use the term *disciple* for the student and *disciple-maker* for the master/teacher."
"39","0.9164","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same meaning as the original, with slight variations in wording but no changes in doctrinal, logical, or intentional aspects.","Every discipleship relationship goes through a progression of eight phases. The phases, or steps, are not purely isolated from each other, many times the relationship will flow between the phases. In each phase there is an emphasis for the disciple, and for the disciple-maker. We will study attributes of disciple-makers in depth later in this chapter.","Every discipleship relationship passes through the progression of eight stages. These stages, or steps, are not completely distinct from each other; often the relationship flows between these stages. In each stage there is a particular emphasis for the disciple and for the disciple-maker. We will study the qualities of disciple-makers in detail later in this chapter."
"40","0.9028","MEDIUM","no","paraphrase","The terms 'phases' and 'stages' are synonymous in this context, and both convey the same concept of progression in discipleship without altering the doctrinal meaning or intent.","The eight phases of discipleship are:","The eight stages of discipleship are:"
"43","0.8681","MEDIUM","yes","doctrinal","The original term 'Demonstrating' implies an active process of showing or proving something, while 'Demonstration' suggests a more static presentation or example. This shift alters the emphasis from an ongoing action to a completed act, potentially affecting the interpretation of the concept being discussed.","3.  Demonstrating","3.  Demonstration"
"44","0.8671","MEDIUM","yes","doctrinal","The term 'Trying' suggests an ongoing effort or struggle, while 'Attempt' may imply a more definitive action with a potential for failure. This subtle shift can affect the interpretation of the nature of participation in a doctrinal context.","4.  Participation/Trying","4.  Participation/Attempt"
"48","0.9021","MEDIUM","no","paraphrase","The phrases 'Remain Connected' and 'Staying Connected' convey the same concept of maintaining a connection, with no significant change in meaning or intent.","8.  Remain Connected","8.  Staying Connected"
"55","0.856","MEDIUM","yes","doctrinal","The original term 'Demonstrating' implies an active process of showing or proving something, while 'Demonstration' suggests a more passive presentation or display. This shift alters the emphasis from an active engagement to a mere act of showing, impacting the doctrinal interpretation of the concept.","### Demonstrating","### Demonstration"
"58","0.8425","LOW","yes","doctrinal","The term 'Participation' implies a deeper engagement or involvement, often in a communal or relational context, while 'Attempt' suggests a more superficial effort or trial without the same connotation of belonging or connection.","### Participation/Trying","### Participation/Attempt"
"70","0.7797","LOW","no","paraphrase","The phrases 'Remain Connected' and 'Stay Connected' convey the same idea of maintaining a relationship or connection, with no significant change in meaning.","### Remain Connected","### Stay Connected"
"83","0.8173","LOW","no","paraphrase","The back-translation 'Led by the Spirit' conveys the same concept as 'Spirit-Led,' maintaining the original intent and meaning without any doctrinal or logical changes.","#### Spirit-Led","#### Led by the Spirit"
"87","0.8198","LOW","no","paraphrase","The terms 'persistent' and 'persevering' convey similar concepts of determination and endurance, maintaining the original intent and meaning without significant alteration.","#### Patient and Persistent","#### Patient and Persevering"
"92","0.8905","MEDIUM","no","paraphrase","The terms 'Biblical Study' and 'Bible Study' convey the same concept of studying the Bible, with no significant change in doctrinal meaning, logical relationship, or intent.","### Biblical Study","### Bible Study"
"98","0.8356","LOW","yes","doctrinal","The term 'community' in the original suggests a broader, more inclusive concept of social connection, while 'fellowship' in the back-translation implies a more specific, often religious or spiritual connection among individuals, potentially altering the intended scope of the discussion.","### Small Groups and Community","### Small Groups and Fellowship"
"101","0.9157","MEDIUM","no","paraphrase","The terms 'mentorship' and 'mentoring' are synonymous and convey the same concept of guidance and support, thus maintaining the original meaning without any significant changes.","### Mentorship","### Mentoring"
