# Drift explanation generated 2026-01-30T16:32:04.219849
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/punjabi/pipeline2/analysis/chapters/drift_report_chapter13_chapter_13_spiritual_authority_vs_chapter13_chapter_13_spiritual_authority.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"12","0.9159","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply using slightly different wording without altering the core message.","As Jesus said in Matthew, ‘All authority’ has been given. Let's look at precisely what that authority entails:","As Jesus said in Matthew, “All authority” has been given. Let us see what this authority actually includes:"
"16","0.8523","MEDIUM","yes","doctrinal","The original phrase 'demons and spiritual forces' implies a specific focus on malevolent entities, while the back-translation 'evil spirits and spiritual powers' introduces a broader interpretation that could encompass both malevolent and neutral spiritual entities, potentially altering the intended theological emphasis.","- Over demons and spiritual forces","- Over evil spirits and spiritual powers"
"115","0.8752","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing it without altering any doctrinal, logical, or intentional aspects.","## Laying on of Hands","## The practice of laying on of hands"
"125","0.9191","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of providing additional guidelines for the practice of laying on of hands, with no significant change in meaning or intent.","A few more guidelines for laying on of hands:","Some additional guidelines regarding the laying on of hands:"
"153","0.6464","CRITICAL","yes","doctrinal","The term 'demons' typically refers to specific malevolent entities in various religious contexts, while 'evil spirits' is a broader term that may not carry the same doctrinal weight or specificity, potentially altering the theological implications.","### Demons","### Evil spirits"
"154","0.8968","MEDIUM","no","paraphrase","Both paragraphs convey the same essential message about the importance of studying both angels and demons in understanding the spiritual realm, emphasizing their roles in spiritual warfare and the assurance believers have through Jesus Christ.","Just as the study of angels is necessary to understand the spiritual world, so too is the study of demons. Scripture clearly describes their activity, influence, and defeat through Jesus Christ. Recognizing their role in spiritual warfare helps believers stand firm in faith without fear.","Just as studying angels is essential to understanding the spiritual realm, so too is the study of evil spirits necessary. Scripture clearly describes their activity, influence, and defeat through Jesus Christ. Recognizing their role in spiritual warfare helps believers stand firm in faith without fear."
"155","0.7752","LOW","yes","doctrinal","The term 'demons' in the original suggests a specific classification of malevolent beings within certain theological frameworks, while 'evil spirits' is a broader term that may encompass various interpretations and lacks the same doctrinal specificity.","#### Origin and Nature of Demons","#### Origin and nature of evil spirits"
"156","0.8645","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, with only slight variations in wording, such as 'evil spirits' instead of 'demons' and 'high-ranking angel' instead of 'exalted angel'.","Demons are fallen angels who followed Satan’s rebellion against God. *(<span class=""x-scripture"" data-book=""REV"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""7-9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 12:7-9</span>; <span class=""x-scripture"" data-book=""MAT"" data-chapter=""25"" data-lang=""en"" data-type=""ref"" data-verses=""41"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 25:41</span>).* Satan, formerly known as Lucifer (“light bearer”), an exalted angel, sought to exalt himself above God and was cast out of heaven along with other rebellious angels. *(<span class=""x-scripture"" data-book=""ISA"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""12-15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 14:12-15</span>; <span class=""x-scripture"" data-book=""EZK"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""12-17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ezekiel 28:12-17</span>).*","Evil spirits are the fallen angels who followed Satan's rebellion against God. *(<span class=""x-scripture"" data-book=""REV"" data-chapter=""12"" data-lang=""en"" data-type=""ref"" data-verses=""7-9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 12:7-9</span>; <span class=""x-scripture"" data-book=""MAT"" data-chapter=""25"" data-lang=""en"" data-type=""ref"" data-verses=""41"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Matthew 25:41</span>).* Satan, formerly known as Lucifer (“light-bearer”), a high-ranking angel, sought to exalt himself above God and was cast out of heaven along with other rebellious angels. *(<span class=""x-scripture"" data-book=""ISA"" data-chapter=""14"" data-lang=""en"" data-type=""ref"" data-verses=""12-15"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 14:12-15</span>; <span class=""x-scripture"" data-book=""EZK"" data-chapter=""28"" data-lang=""en"" data-type=""ref"" data-verses=""12-17"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Ezekiel 28:12-17</span>).*"
"157","0.8613","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, with only minor changes in wording that do not affect the overall message about demons and their characteristics.","Demons are spirits without physical bodies but can oppress and torment humans and animals. *(<span class=""x-scripture"" data-book=""MRK"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""11-13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Mark 5:11-13</span>).* They seek to deceive, tempt, oppress, and destroy. *(<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 10:10</span>; <span class=""x-scripture"" data-book=""2CO"" data-chapter=""11"" data-lang=""en"" data-type=""ref"" data-verses=""14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Corinthians 11:14</span>). Unlike God,* they have limits, and are not omnipresent (everywhere), omniscient (all knowing), omnipotent (all powerful)*.* Their ultimate defeat is certain, and they will face eternal punishment. *(<span class=""x-scripture"" data-book=""REV"" data-chapter=""20"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 20:10</span>)*","Evil spirits are spirits who do not have physical bodies but can torment and harass humans and animals. *(<span class=""x-scripture"" data-book=""MRK"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""11-13"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Mark 5:11-13</span>).* They seek to deceive, tempt, oppress, and destroy. *(<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 10:10</span>; <span class=""x-scripture"" data-book=""2CO"" data-chapter=""11"" data-lang=""en"" data-type=""ref"" data-verses=""14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">2 Corinthians 11:14</span>). Unlike God,* they have limits, and they are not omnipresent (everywhere), omniscient (all-knowing), or omnipotent (all-powerful)*.* Their ultimate defeat is certain, and they will face eternal punishment. *(<span class=""x-scripture"" data-book=""REV"" data-chapter=""20"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 20:10</span>)*"
"158","0.8232","LOW","no","paraphrase","Both paragraphs convey the same idea about the depiction of the devil's work in scripture, with no significant changes in doctrinal meaning, logical relationship, or intent.","The scriptures describe the work and activity of the devil as:","Scripture depicts Satan's works and activities as follows:"
