# Drift report generated 2026-02-01T01:32:41.480754
# Source file: /Users/andrew/repo/principles-of-faith/english/chapters/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md
# Back translation: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/backtranslation/chapters/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md
"id","similarity","translation_quality","source","back_translation"
"1","0.8955","MEDIUM","In the previous two chapters we have discussed several important topics. We explored the role and ministry of the Holy Spirit, as well as the role and ministry of the church.","In the past two chapters, we have addressed several important themes. We have explored the role and work of the Holy Spirit, as well as the role and work of the Church."
"2","0.946","HIGH","We have a part to play in the church, and while we know that we need training, we also need purification. To really be prepared for God’s purposes we must be sanctified.","While we know we have a part to play in the Church and need training, we also need cleansing. To truly prepare for God's purpose, we must be sanctified."
"3","0.9628","HIGH","The definition of **sanctification** is to purify something for a special purpose. This is closely related to the term **consecration** which means to set something aside for a special purpose.","The definition of **sanctification** is to cleanse something for a special purpose. It is closely related to the term **consecration**, which means setting something apart for a special purpose."
"4","0.9757","HIGH","Imagine a master sculptor preparing to work with a large block of marble. The master imagines what this raw and unshaped marble can be transformed into through his careful craftsmanship. He has a very specific design in mind, he orders his assistants to set this block of marble aside for a special design (**consecration**). As he refines and works the marble, adding texture, depth, and shape, he purifies it (**sanctifies**) for that special design. The act of dedicating the marble for his special project was quick, whereas the process of shaping the marble into its final design takes considerable patience.","Imagine a master sculptor preparing to work on a large block of marble. The master envisions how this rough, shapeless marble can be transformed by his painstaking craftsmanship. He has a very specific design and instructs his assistants to set this block of marble apart for a special creation (**consecration**). As he refines the marble, giving it texture, depth, and form, he purifies it for that special design (**sanctification**). The act of dedicating the marble to a special project is momentary, but the process of shaping the marble into the final design requires considerable patience."
"5","0.9249","HIGH","We were set aside, consecrated to God at salvation. Through the act of purifying our souls by the help of the Spirit we become transformed. This process of purification is what sanctifies us.","At salvation, we were set apart and consecrated to God. Through the work of cleansing our souls with the help of the Spirit, we are transformed. This process of cleansing is what sanctifies us."
"6","0.9652","HIGH","When we received Jesus through salvation, we were born-again. We were justified, our sins forgiven. Our spirit was regenerated, we became alive in Christ. We were adopted into the family of God and became the literal temple of the Holy Spirit. Such a marvelous transformation that the scriptures say, “*there is joy before the angels of God over one sinner who repents.” (*<span class=""x-scripture"" data-book=""LUK"" data-chapter=""15"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 15:10</span>).","When we received Jesus through salvation, we were born anew. We were justified, and our sins were forgiven. Our spirit was reborn and became alive in Christ. We were adopted into God's family and literally became the temple of the Holy Spirit. Concerning such a remarkable change, the Bible says, ""*There is joy in the presence of the angels of God over one sinner who repents.*"" (*<span class=""x-scripture"" data-book=""LUK"" data-chapter=""15"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 15:10</span>)."
"7","0.9571","HIGH","Receiving Jesus by salvation (**justification**) saves our spirit, cleanses us, and makes us presentable to God, able to receive His Holy Spirit. However, despite such a great salvation **our souls** (our mind, will, and emotions) still **need work**!","Receiving Jesus by salvation (**justification**) saves our spirit, cleanses us, enables us to stand before God, and allows us to receive God's Holy Spirit. Yet despite such a great salvation, our soul (mind, will, and emotions) still needs to be dealt with!"
"8","0.9769","HIGH","Was the work of salvation incomplete? No! The work of salvation is effective but must be continued in the life of the believer by the renewal brought on by the Holy Spirit. This process of renewal and transformation is the work of **sanctification.**","Was the work of salvation incomplete? No! The work of salvation is effective, but it must be continued throughout the believer's life by renewal brought about by the Holy Spirit. This process of renewal and transformation is the work of **sanctification**."
"9","0.897","MEDIUM","We know there is continued work to be done after conversion because our painful memories didn’t resolve, many of our beliefs stayed the same, and many of our habits or rituals didn’t vanish. Furthermore, conversion did not separate our minds from their fleshly (carnal) nature.","We see that dealings must continue even after conversion because our painful memories have not been resolved, many beliefs remain, and many habits and rituals have not disappeared. Moreover, conversion did not sever our mind from its carnal (of the flesh) nature."
"10","0.9713","HIGH","The word ‘carnal’ comes from the Latin root meaning ‘flesh’ or ‘meat.’ The carnal nature is inside of each of us from birth, like an animal’s instincts, it exists to help us survive. The way the carnal nature works is by being self-focused, self-oriented, self-centered. Children are natural examples of a fleshly nature. Despite their innocence, their nature is focused primarily on their wants, desires, needs; and ‘watch out!’ if you don’t meet its every expectation.","The word ""carnal"" (fleshly) derives from a Latin root meaning ""flesh"" or ""body."" The carnal nature is within each of us from birth and, like animal instinct, exists to help us survive. The way the fleshly nature operates is self-directed, self-centered, and self-serving. A child is a natural example of the carnal nature. Despite that innocence, this nature is primarily oriented toward its own wants, desires, and needs, and—watch out!—if each and every one of those expectations is not met."
"11","0.9021","MEDIUM","Part of growing up is maturing past our childish ways, but when pressed we very easily resort to a pattern of thinking and living oriented around the self. As James says:","Part of becoming an adult is maturing out of childish ways, but when pressed, we can very easily revert to patterns of self-centered thinking and living. As James says."
"12","0.9997","HIGH","<span class=""x-scripture"" data-book=""JAS"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JAS"" data-chapter=""4"" data-lang=""en"" data-type=""quote"" data-verses=""1"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"13","1.0","HIGH","> **<u>James 4:1</u>** (NKJV)\\n>\\n> Where do wars and fights come from among you? Do they not come from your desires for pleasure that war in your members?\\n>","> **<u>James 4:1</u>** (NKJV)\\n>\\n> Where do wars and fights come from among you? Do they not come from your desires for pleasure that war in your members?\\n>"
"14","1.0","HIGH","</span>","</span>"
"15","0.9691","HIGH","Paul explains this carnal nature in more detail in his epistle to the Romans (chapters 6 - 8). He says this carnal nature keeps him doing what he hates and causes him to do evil. He describes this internal conflict as a war between his man-made nature and his God-made spirit.","Paul further explains this carnal nature in the Epistle to the Romans (chapters 6–8). He says that this fleshly nature makes him do what he hates and do evil. He describes this inner conflict as a battle between a human-derived nature and the spirit created by God."
"16","0.9385","HIGH","This conflict between flesh and spirit exists in each of us, and it’s our job to do something about it. If we do not confront our carnal nature, our souls will remain entangled in patterns of spiritual decay, even though our spirits have been redeemed.","This conflict between flesh and spirit exists within each of us, and it is our responsibility to deal with it. If we do not confront the nature of the flesh, even though our spirit has been redeemed, our soul will remain entangled in patterns of spiritual ruin."
"17","1.0","HIGH","<span class=""x-scripture"" data-book=""ROM"" data-chapter=""8"" data-lang=""en"" data-type=""quote"" data-verses=""6-8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""ROM"" data-chapter=""8"" data-lang=""en"" data-type=""quote"" data-verses=""6-8"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"18","1.0","HIGH","> **<u>Romans 8:6-8</u>** (NKJV)\\n>\\n> For to be carnally minded is death, but to be spiritually minded is life and peace.\\n>\\n> Because the carnal mind is enmity against God; for it is not subject to the law of God, nor indeed can be.\\n>\\n> So then, those who are in the flesh cannot please God.\\n>","> **<u>Romans 8:6-8</u>** (NKJV)\\n>\\n> For to be carnally minded is death, but to be spiritually minded is life and peace.\\n>\\n> Because the carnal mind is enmity against God; for it is not subject to the law of God, nor indeed can be.\\n>\\n> So then, those who are in the flesh cannot please God.\\n>"
"19","1.0","HIGH","</span>","</span>"
"20","0.957","HIGH","These words of Paul are both a warning and a promise to us. Even though we’ve been born again, we still have a fleshly mind that needs to be brought into submission to the knowledge of Christ. As we do so, we walk in God’s life and peace.","These words of Paul are both a warning and a promise to us. Even if we have been born anew, we still have a carnal mindset that must be brought into obedience to the knowledge of Christ. As we do so, we walk in God’s life and peace."
"21","0.9349","HIGH","Take courage, there is hope for us! We must walk after the Spirit and be led by the Spirit of God. In doing so, we will not walk after the flesh.","Take courage; we have hope! We must walk according to the Spirit and be led by the Spirit of God. If we do so, we will not walk according to the flesh."
