# Drift explanation generated 2026-01-30T14:20:35.376534
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/arabic/pipeline2/analysis/chapters/drift_report_chapter11_chapter_11_baptisms_water_and_spirit_vs_chapter11_chapter_11_baptisms_water_and_spirit.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.917","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that modern understanding of baptism is limited to water baptism and Holy Spirit baptism, while also noting the separation from Jewish roots. The wording is different, but the core meaning remains unchanged.","Baptism in our modern age, separated from the Jewish roots, is typically only thought of in terms of water baptism, and the Holy Spirit baptism (Pentecost).","Baptism in our modern age, detached from its Jewish roots, is often understood as only water baptism, and the baptism of the Holy Spirit (Pentecost)."
"4","0.8724","MEDIUM","yes","doctrinal","The original paragraph refers to baptisms as a foundational doctrine, implying a strong theological significance, while the back-translation describes them as elementary teachings, which may suggest a lesser importance in the context of doctrinal hierarchy.","Baptisms is one of the foundational doctrines mentioned in Hebrews:","Baptisms are among the elementary teachings mentioned in Hebrews:"
"13","0.8638","MEDIUM","no","paraphrase","Both phrases refer to the same event involving John, with no significant change in meaning. The back-translation simply rephrases the original title without altering its doctrinal or intentional implications.","## John’s Baptism","## The Baptism of John"
"17","0.8093","LOW","no","paraphrase","Both phrases refer to the same event in Christian theology, with no change in doctrinal meaning, logical relationship, or intent. The difference lies only in the wording.","## Christ’s Baptism","## The Baptism of Christ"
"27","0.8838","MEDIUM","no","paraphrase","The phrases 'Holy Spirit Baptism' and 'Baptism of the Holy Spirit' convey the same theological concept, referring to the act of being baptized by the Holy Spirit, without any change in doctrinal meaning or intent.","## Holy Spirit Baptism","## Baptism of the Holy Spirit"
"30","0.8337","LOW","no","paraphrase","Both paragraphs convey the same idea that John the Baptist spoke about baptism in the Holy Spirit, maintaining the original intent and doctrinal meaning without significant alteration.","The baptism in the Holy Spirit was foretold by John the Baptist, who declared,","John the Baptist prophesied about baptism in the Holy Spirit, saying,"
"36","0.8596","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual distinction between the 'Spirit within' and the 'Spirit upon' as presented in the original, without altering the doctrinal meaning or intent.","### Spirit Within vs Spirit Upon","### The Spirit within versus the Spirit upon"
"38","0.8236","LOW","no","paraphrase","The phrase 'Scriptural Basis' and 'The biblical basis' convey the same concept, referring to the foundation of beliefs derived from the Bible, without altering any doctrinal, logical, or intentional meaning.","Scriptural Basis:","The biblical basis:"
"44","0.8735","MEDIUM","no","paraphrase","The terms 'Scriptural Basis' and 'Biblical basis' convey the same concept, referring to the foundational texts of Christianity, without altering the doctrinal meaning or intent.","Scriptural Basis:","Biblical basis:"
"78","0.9039","MEDIUM","no","paraphrase","The back-translated title omits the definite article 'The,' but this does not alter the overall meaning or intent regarding the gifts attributed to the Holy Spirit.","## The Gifts of the Holy Spirit","## Gifts of the Holy Spirit"
"106","0.8932","MEDIUM","no","paraphrase","Both paragraphs convey the same concept of explaining the gifts associated with the Holy Spirit, with no significant change in meaning or intent.","### Explaining the 9 Holy Spirit Manifestation Gifts","### Explanation of the nine gifts of the manifestation of the Holy Spirit"
