# Drift report generated 2026-02-01T01:33:08.604071
# Source file: /Users/andrew/repo/principles-of-faith/english/chapters/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md
# Back translation: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/backtranslation/chapters/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9435","HIGH","Building on our study of Jesus as the Messiah, in this chapter we continue in looking at the life, person, and work of Jesus. We’ll see that Jesus is the Mediator of a new and better covenant-and that He perfectly fills the roles of Prophet, Priest, and King. It is in this New Covenant that we as believers have good standing with God and transition from a works-based covenant to a trust-based (faith-based) covenant. Finally, we will read and study the *Apostles Creed* as a way to round-out our study on Jesus.","Building on our study of Jesus as the Messiah, this chapter continues to turn our attention to Jesus’s life, character, and work。We will see that Jesus is the mediator of a new and better covenant and that he perfectly fulfills the roles of prophet, priest, and king。It is in this new covenant that we believers are placed in a sound standing before God and move from a works-based covenant to a trust（faith）-based covenant。Finally, to conclude our study about Jesus, we will read and study the *Apostles’ Creed*。"
"2","0.962","HIGH","## Mediator of the New Covenant","## The Mediator of the New Covenant"
"3","0.9366","HIGH","The concept of a mediator involves a go-between who bridges the gap between two parties, facilitating a relationship or agreement. In the Exodus story, Moses is the initial mediator of the covenant God established with His people. Moses received the law, offered the sacrifice (priest), called God’s people to obedience (prophet), and judged them (judge / king). In the remainder of the Old Testament after Moses, the mediating role was fulfilled through the role of the Prophet, the Levitical Priesthood, and the Judges and later Kings of the nation.","The concept of a mediator refers to one who stands between two parties to bridge the gap and facilitate a relationship or agreement。In the Exodus story, Moses is the first mediator of the covenant God made with his people。Moses received the Law, offered sacrifices（priest）, called God’s people to obedience（prophet）, and judged them（judge/king）。In the Old Testament after Moses, these mediatory roles were carried out through the prophets, the Levitical priesthood, and the judges, and later the kings。"
"4","0.8941","MEDIUM","Old Testament Roles of Mediators:","The roles of mediators in the Old Testament:"
"5","0.9554","HIGH","1.  **Prophet:** Prophets were God’s messengers, sent to speak His heart to the people and call them back when they wandered. Moses, for example, served as a prophet who mediated the Old Covenant by receiving the Law from God and teaching it to Israel. Prophets also foretold the coming of the Messiah and the ultimate redemption of humanity. Other prominent examples of prophet include: Isaiah, Jeremiah, Elijah, Elisha, Samuel.","1.  **Prophet:** Prophets were God’s messengers, sent to speak God’s heart to the people and to call them back when they strayed。For example, Moses served as the prophet who mediated the old covenant by receiving the Law from God and teaching it to Israel。The prophets also foretold the coming of the Messiah and the ultimate redemption of humanity。Other notable prophets include Isaiah, Jeremiah, Elijah, Elisha, and Samuel。"
"6","0.9435","HIGH","2.  **Levitical Priesthood:** Priests acted as mediators by offering sacrifices for the atonement of sins and interceding for the people before God. The High Priest, especially, played a vital role on the Day of Atonement, entering the Holy of Holies to sprinkle blood on the mercy seat, symbolizing reconciliation with God. The priest's ministry is to intercede for the people.","2.  **Levitical priesthood:** The priests acted as mediators by offering sacrifices for the atonement of sin and interceding before God on behalf of the people。In particular, the high priest performed the crucial duty on the Day of Atonement of entering the Most Holy Place and sprinkling blood on the mercy seat, symbolizing reconciliation with God。The duty of the priests is to intercede for the people。"
"7","0.9118","MEDIUM","3.  **Judge/King:** Judges, and later Kings, were charged with ruling over God’s people, enforcing His laws, judging between the people, delivering them from their enemies, and leading them in righteousness. The book of Judges tells the stories of these leaders-people like Deborah, Samson, and Gideon-whom God raised up to rescue and guide Israel. Israel later had a line of kings, many wicked, some good (see 1st and 2nd Kings, 1st and 2nd Samuel, and 1<sup>st</sup> and 2<sup>nd</sup> Chronicles). Some prominent examples are Saul, David, and Solomon.","3.  **Judges/Kings:** The judges, and later the kings, bore the responsibility of governing God’s people, enforcing God’s Law, judging among the people, delivering them from enemies, and leading them in righteousness。The book of Judges relates the stories of these leaders, such as Deborah, Samson, and Gideon, whom God raised up to save and guide Israel。Israel then had a line of kings, many bad and some good（see 1<sup>st</sup> and 2<sup>nd</sup> Kings、1<sup>st</sup> and 2<sup>nd</sup> Samuel、1<sup>st</sup> and 2<sup>nd</sup> Chronicles）。Notable examples include Saul, David, and Solomon。"
"8","0.8449","LOW","Worth noting is that all the Old Covenant mediators were fully man and not divine. As men they were able to sin, and many times were given to sin. Some of the mediators were sinful and drove people away from God and towards profane worship: false prophets, lying and corrupt priests, and wicked kings.","It is noteworthy that all the mediators of the old covenant were fully human and not God。Being human, they were capable of sin and often fell into it。Some were sinful, and as false prophets, priests full of falsehood and corruption, and wicked kings, they led people away from God into impious worship。"
"9","1.0","HIGH","### Christ as the Mediator of the New Covenant","### Christ as the Mediator of the New Covenant"
"10","0.8941","MEDIUM","Jesus’ death, resurrection and ascension fulfil the Old Covenant, and establish the New Covenant.","Jesus’s death, resurrection, and ascension fulfill the old covenant and establish the new covenant。"
