# Drift explanation generated 2026-01-30T16:02:58.830415
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/nepali/pipeline2/analysis/chapters/drift_report_chapter1_chapter_1_sound_doctrine_matters_vs_chapter1_chapter_1_sound_doctrine_matters.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"1","0.801","LOW","no","paraphrase","Both paragraphs convey the same core idea about doctrine as fundamental truths rooted in Scripture and lived out by God's people, with no significant changes in meaning or intent.","Doctrine simply means the core truths we believe and teach-truths passed on by faithful people of God, rooted in Scripture, and lived out in our daily walk.","The simple meaning of doctrine is the fundamental truths we believe and teach—truths that God’s faithful people have handed down, are rooted in Scripture, and are lived out in our daily conduct."
"20","0.8904","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the importance of personal spiritual growth and the responsibility to guide others in faith. The differences in wording do not alter the underlying meaning or intent.","Jesus’ charge extends beyond us. It’s great that we become whole, healthy, disciplined, submitted to God, but we must teach, train, equip, lead, and disciple others into the faith as well!","Jesus’ command extends beyond us. It is best for us to be whole, healthy, disciplined, and under God’s authority, but we must also teach, train, equip, lead, and make disciples of others in the faith!"
"28","0.9131","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply rephrasing it without altering the core message.","Disciples, having been taught discipline, can carry out the master’s commandments. Every person in the New Testament church is called to:","Disciples who have been taught discipline can fulfill the Master’s command. Every person in the New Testament church is called to this:"
"32","0.8657","MEDIUM","no","paraphrase","The back-translated paragraph conveys the same reassurance and collaborative sentiment as the original, with only slight variations in wording. Both express the idea that support is available and that the task does not need to be faced alone.","Don’t worry, we do not have to go this alone.","Do not worry, we do not have to do this work alone."
"41","0.8937","MEDIUM","no","paraphrase","The back-translation maintains the original meaning and intent, conveying that God has given gifts to the church for the purpose of maturity without altering the doctrinal or logical relationships.","God has given the church these special gifts to bring us to maturity, so we can and are:","God has given these special gifts to the church to bring us to maturity, so that we may be able to be and do the following:"
"43","0.8613","MEDIUM","no","paraphrase","The phrases 'Unified in the faith' and 'United in faith' convey the same core concept of collective belief, with no significant change in doctrinal meaning or intent.","- Unified in the faith","- United in faith"
"44","0.9085","MEDIUM","no","paraphrase","The phrases 'full of' and 'filled with' convey the same concept of possessing knowledge of God, indicating no significant change in meaning.","- Full of the knowledge of God","- Filled with the knowledge of God"
"48","0.9171","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and logical relationship as the original, simply rephrasing it without altering the intent or core message.","Children are an important part of the family of God, but children are inherently:","Children are an important part of God’s family, but children are by nature:"
"50","0.8944","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply substituting 'discern' with 'distinguish' and 'actors' with 'people' without altering the overall intent or implications.","- Naive - unable to discern between good and bad actors.","- Naive - unable to distinguish between good and bad people."
"51","0.8877","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of being focused on the present moment, with no significant changes in meaning or intent.","- Self-centered - concerned with the temporal and the now.","- Self-centered - concerned only with the moment and the present."
"53","0.7815","LOW","yes","doctrinal","The original paragraph emphasizes 'sound doctrine' as a specific theological concept, while the back-translation uses 'sound teaching,' which may imply a broader or less specific interpretation. Additionally, 'wickedness' and 'evil' may carry different connotations in a doctrinal context.","### Sound doctrine Provides a Defense Against the Wickedness of the World","### Sound teaching provides protection against the evil of the world"
"55","0.8785","MEDIUM","no","paraphrase","Both paragraphs convey the same essential message that Paul is giving a charge to Timothy, his spiritual son in the Lord, without altering the doctrinal meaning or intent.","Paul charged his spiritual son in the Lord Timothy saying:","Paul gave this charge to his spiritual son Timothy in the Lord:"
