# Drift report generated 2026-01-30T14:54:49.647465
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/backtranslation/chapters/chapter7_chapter_7_jesus_the_foundation_of_our_faith.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9778","HIGH","Building on our study of Jesus as the Messiah, in this chapter we continue in looking at the life, person, and work of Jesus. We’ll see that Jesus is the Mediator of a new and better covenant-and that He perfectly fills the roles of Prophet, Priest, and King. It is in this New Covenant that we as believers have good standing with God and transition from a works-based covenant to a trust-based (faith-based) covenant. Finally, we will read and study the *Apostles Creed* as a way to round-out our study on Jesus.","Building on our study of Jesus as the Messiah, in this chapter we will continue to examine Jesus’ life, person, and work. We will see that Jesus is the mediator of a new and better covenant - and that He perfectly assumes the offices of prophet, priest, and king. It is within this new covenant that we, as believers, have a right standing before God and move from a works-based covenant to a trust (faith)-based covenant. Finally, we will read and study the *Apostles’ Creed* to complete our study of Jesus."
"2","0.962","HIGH","## Mediator of the New Covenant","## The Mediator of the New Covenant"
"3","0.971","HIGH","The concept of a mediator involves a go-between who bridges the gap between two parties, facilitating a relationship or agreement. In the Exodus story, Moses is the initial mediator of the covenant God established with His people. Moses received the law, offered the sacrifice (priest), called God’s people to obedience (prophet), and judged them (judge / king). In the remainder of the Old Testament after Moses, the mediating role was fulfilled through the role of the Prophet, the Levitical Priesthood, and the Judges and later Kings of the nation.","The concept of “mediator” refers to one who stands between two parties as a bridge, facilitating relationship or agreement. In the story of Exodus, Moses was the initial mediator of the covenant God made with His people. Moses received the Law, offered sacrifices (priest), called God’s people to obedience (prophet), and judged them (judge/king). After Moses, throughout the rest of the Old Testament this mediatorial role was carried by the prophets, the Levitical priesthood, and the nation’s judges and later its kings."
"4","0.7823","LOW","Old Testament Roles of Mediators:","The mediatorial offices in the Old Testament:"
"5","0.9626","HIGH","1.  **Prophet:** Prophets were God’s messengers, sent to speak His heart to the people and call them back when they wandered. Moses, for example, served as a prophet who mediated the Old Covenant by receiving the Law from God and teaching it to Israel. Prophets also foretold the coming of the Messiah and the ultimate redemption of humanity. Other prominent examples of prophet include: Isaiah, Jeremiah, Elijah, Elisha, Samuel.","1.  **Prophets:** Prophets are God’s messengers, sent to speak His will to the people and to call them back when they stray. For example, Moses, as a prophet, mediated under the old covenant by receiving the Law from God and teaching Israel. The prophets also foretold the coming of the Messiah and humanity’s ultimate redemption. Other notable examples include: Isaiah, Jeremiah, Elijah, Elisha, Samuel."
"6","0.97","HIGH","2.  **Levitical Priesthood:** Priests acted as mediators by offering sacrifices for the atonement of sins and interceding for the people before God. The High Priest, especially, played a vital role on the Day of Atonement, entering the Holy of Holies to sprinkle blood on the mercy seat, symbolizing reconciliation with God. The priest's ministry is to intercede for the people.","2.  **The Levitical priesthood:** Priests served as mediators by offering atoning sacrifices and interceding before God on behalf of the people. Especially the high priest, who entered the Most Holy Place on the Day of Atonement and sprinkled blood on the mercy seat, symbolizing reconciliation with God. The ministry of the priests was to intercede for the people."
"7","0.9312","HIGH","3.  **Judge/King:** Judges, and later Kings, were charged with ruling over God’s people, enforcing His laws, judging between the people, delivering them from their enemies, and leading them in righteousness. The book of Judges tells the stories of these leaders-people like Deborah, Samson, and Gideon-whom God raised up to rescue and guide Israel. Israel later had a line of kings, many wicked, some good (see 1st and 2nd Kings, 1st and 2nd Samuel, and 1<sup>st</sup> and 2<sup>nd</sup> Chronicles). Some prominent examples are Saul, David, and Solomon.","3.  **Judges/Kings:** The judges, and later the kings, were entrusted with governing God’s people, enforcing His Law, administering justice among the people, delivering them from enemies, and leading them in righteousness. 《Judges》 tells how these leaders—such as Deborah, Samson, and Gideon—were raised up by God to save and guide Israel. Israel later had a series of kings, most evil and a few good（see 1 and 2 Kings, 1 and 2 Samuel, as well as 1<sup>st</sup> and 2<sup>nd</sup> Chronicles）. Some notable examples are Saul, David, and Solomon."
"8","0.8925","MEDIUM","Worth noting is that all the Old Covenant mediators were fully man and not divine. As men they were able to sin, and many times were given to sin. Some of the mediators were sinful and drove people away from God and towards profane worship: false prophets, lying and corrupt priests, and wicked kings.","It is worth noting that all the mediators in the Old Testament were entirely human rather than divine. As humans, they could sin, and often fell into sin. Some mediators were themselves wicked, turning people away from God toward profane worship: false prophets, lying and corrupt priests, and evil kings."
"9","1.0","HIGH","### Christ as the Mediator of the New Covenant","### Christ as the Mediator of the New Covenant"
"10","0.9486","HIGH","Jesus’ death, resurrection and ascension fulfil the Old Covenant, and establish the New Covenant.","Jesus’ death, resurrection, and ascension fulfilled the old covenant and established the new covenant."
