# Drift report generated 2026-01-30T14:04:02.448339
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter4_chapter_4_jesus_the_messiah.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/russian/pipeline2/backtranslation/chapters/chapter4_chapter_4_jesus_the_messiah.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9844","HIGH","Building on our study of sin, we concluded that sin exacts a serious price, against those whom sin is committed and must be restored, and for those who commit sin and must make restitution. The price of sin must be paid. In the Old Testament God established a series of sacrifices performed by priests, individuals, and communities to deal with, resolve, and adjudicate sin.","Building on our study of sin, we have concluded that sin exacts a serious price: from those against whom it is committed and who require restoration, and from those who commit the sin and must make restitution. The price for sin must be paid. In the Old Testament God established a set of sacrifices, carried out by priests, individuals, and communities, to deal with sin, resolve it, and adjudicate it justly."
"2","0.9483","HIGH","Even with all the sacrifices for sin, they still weren’t enough-not because God failed, but because people continued to choose sin. While animal sacrifice could provide limited atonement, no amount of animal sacrifice was able to change the sinful nature of men.","Even with all the sin offerings, they still were not enough—not because God failed, but because people continued to choose sin. Although animal sacrifice could provide limited atonement, no amount of animal offerings could change the sinful nature of people."
"3","0.9794","HIGH","God had a wonderful plan, the <u>Messiah</u> (in Hebrew ***Mashiach,*** pronounced *Mah-shee-ahkh -* **H4899**) also known as the <u>Christ</u> (in Greek ***Christos,*** pronounced *Khris-tos* - **G5547**) meaning “Anointed one""; someone consecrated for a special role (e.g., king, priest, or deliverer).","God had a beautiful plan—the <u>Messiah</u> (in Hebrew ***Mashiach,*** pronounced *Ma-shi-akh -* **H4899**), also known as the <u>Christ</u> (in Greek ***Christos,*** pronounced *Khris-tos* - **G5547**), which means “the Anointed One”; a person consecrated for a special role (for example, a king, a priest, or a deliverer)."
"4","0.9551","HIGH","To understand who Jesus is, it helps to look at what people in His time were hoping the Messiah would be. These expectations shaped how they viewed Jesus and, in many cases, why they struggled to recognize Him as the fulfillment of God’s plan.","To understand who Jesus is, it is helpful to look at how the people of His time expected the Messiah. These expectations shaped how they perceived Jesus and, in many cases, why it was difficult for them to recognize in Him the fulfillment of God’s purpose."
"5","1.0","HIGH","## Historical Context","## Historical Context"
"6","0.9747","HIGH","The Jewish people had long awaited a coming Messiah. Jewish beliefs about the Messiah during the time just before Jesus were shaped by Old Testament prophecies, the interpretations of which were diverse and not universally agreed upon. Most Jews expected the Messiah to be a political and military leader who would deliver Israel from foreign oppression (primarily Roman rule) and restore the Davidic kingdom. Here’s an overview of common Messianic expectations and how they aligned (or did not align) with biblical prophecy:","The Jewish people long awaited the coming of the Messiah. Jewish ideas about the Messiah in the period just before Jesus were formed on the basis of Old Testament prophecies, whose interpretations varied and had no universal consensus. Most Jews expected that the Messiah would be a political and military leader who would deliver Israel from foreign oppression (primarily Roman rule) and restore the Davidic kingdom. Here is an overview of common messianic expectations and how they did (or did not) align with biblical prophecy:"
"7","0.9929","HIGH","### Common Jewish Expectations of the Messiah Before Jesus","### Common Jewish Expectations of the Messiah before Jesus"
"8","0.8268","LOW","### **1. A Political and Military Deliverer**","### **1. A political and military liberator**"
"9","0.9732","HIGH","- **Belief:** The Messiah would be a king like David, leading Israel in a victorious revolt against foreign powers and restoring Israel's independence.","- **Belief:** The Messiah will be a king like David, leading Israel in a victorious uprising against foreign powers and restoring Israel’s independence."
"10","0.9856","HIGH","- **Scriptures Referenced:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>.","- **Scriptures cited:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>."
