# Drift explanation generated 2026-01-30T00:12:32.131001
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/farsi/pipeline2/analysis/chapters/drift_report_chapter8_chapter_8_holy_spirit_comforter_guide_and_power_vs_chapter8_chapter_8_holy_spirit_comforter_guide_and_power.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"22","0.9064","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, with slight variations in wording but no significant changes in conceptual or theological content.","The Holy Spirit is first and foremost, from and of God. The scriptures refer to the Spirit as the Spirit of God, or the Spirit of the Lord, or the Spirit of Christ, while these highlight different aspects, they are all one in the same. The Holy Spirit, being fully God, is also eternal and is holy (blameless, innocent, pure, not profane). Some translations refer to the Holy Spirit as the Holy Ghost.","The Holy Spirit, first and foremost, is from God and belongs to God. The Scriptures refer to the Spirit with titles such as the Spirit of God, or the Spirit of the Lord, or the Spirit of Christ; although these titles highlight different aspects, they are all one and the same. The Holy Spirit, being fully God, is also eternal and holy (without blemish, without sin, pure, not impure). In some translations the Holy Spirit is also called the “Holy Ghost.”"
"24","0.8546","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different words but conveying the same idea about the attributes of the Holy Spirit being essential to its definition.","There are several other core adjectives to describe the Holy Spirit. Each of these adjectives are used in conjunction with ‘the Spirit of’, meaning that these properties are vital to the definition of the Spirit. Example, the *Spirit of Truth* or the *Spirit of Life*.","There are several other fundamental attributes used to describe the Holy Spirit. Each of these attributes is used with “Spirit of ...,” meaning these qualities are vital in defining the Spirit. For example, “Spirit of Truth” or “Spirit of Life.”"
"25","0.9159","MEDIUM","no","paraphrase","The back-translation retains the same essential concept as the original, with no significant changes in meaning or intent.","The Spirit of:","Spirit of:"
"34","0.9193","MEDIUM","no","paraphrase","Both paragraphs convey the same concept of an advocate representing and assisting another person, specifically in a legal context, without any significant changes in meaning.","An advocate speaks on another's behalf, like a defense attorney. They intercede and help the person they are charged with.","An advocate speaks on behalf of another, like a defense attorney. He intercedes and helps the one for whom he is responsible."
"59","0.8884","MEDIUM","no","paraphrase","The terms 'exalt' and 'glorify' are synonymous in this context, both conveying the idea of elevating or honoring Jesus Christ. Therefore, the back-translation maintains the original intent and meaning.","- Does this exalt Jesus Christ?","- Does this glorify Jesus Christ?"
"60","0.7577","LOW","no","paraphrase","Both phrases inquire about the production of spiritually significant outcomes, with 'godly fruit' and 'divine fruit' conveying similar theological concepts without altering the original intent.","- Does this produce godly fruit?","- Does it bear divine fruit?"
"65","0.8792","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that Jesus has assigned a mission to His followers, known as the Great Commission. The change in wording does not alter the underlying meaning or intent.","Jesus gave us His mission, the Great Commission:","Jesus entrusted his mission to us, the Great Commission:"
"73","0.8942","MEDIUM","yes","doctrinal","The original emphasizes the Spirit's role in bringing conviction, suggesting a more active involvement, while the back-translation implies a more passive role of the Spirit in simply convicting regarding the truths. This subtle shift alters the understanding of the Spirit's agency in the process of conviction.","Diving deeper, the Spirit brings conviction of these three truths:","Looking more deeply, the Spirit convicts with respect to these three truths:"
"100","0.9043","MEDIUM","no","paraphrase","The terms 'Building' and 'Establishing' are synonymous in this context, and both phrases convey the same intent of forming a relationship with the Holy Spirit without altering the doctrinal or logical meaning.","## Building a Relationship with the Holy Spirit","## Establishing a Relationship with the Holy Spirit"
"107","0.9047","MEDIUM","yes","doctrinal","The original phrase 'call out' implies a direct vocal or gestural communication, while the back-translated phrase 'call on' suggests a different action, potentially altering the intended meaning of the communication method.","I use the phrase ‘call out’ to mean literally, with your mouth, or however you speak (with your hands if you cannot speak aloud with your mouth). Why speak? A few reasons:","I use the phrase ‘call on’ in its literal sense: with your mouth, or however you speak (with your hands if you cannot speak aloud with your mouth). Why speak? A few reasons:"
"110","0.9033","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that speaking is a purposeful action aimed at initiating a conversation with the listener. The terms 'intentional' and 'deliberate' are synonymous in this context, and the overall meaning remains unchanged.","3.  Speaking is an intentional act, and indicates to the party you are talking to, that you’d like to engage them in a conversation.","3.  Speaking is a deliberate act and shows the one you are talking to that you are willing to engage them in conversation."
"114","0.7621","LOW","no","paraphrase","Both phrases inquire about the next steps or actions to be taken, maintaining the same intent and logical relationship without altering the underlying meaning.","#### Then what?","#### So what next?"
"118","0.8467","LOW","yes","doctrinal","The original uses 'knowing' which implies a deeper, more personal understanding, while 'awareness' in the back-translation suggests a more superficial recognition. This shift alters the depth of the relationship between the person and God.","- A knowing - the person talking to God gets an immediate understanding that helps them.","- An awareness - the person who is talking with God immediately receives an impression that helps them."
"119","0.8821","MEDIUM","no","paraphrase","Both paragraphs convey the same concept of receiving a mental image from God, whether termed as a picture, vision, or dream, and encourage exploration of the feelings and events associated with that image. The wording is slightly altered, but the overall meaning remains consistent.","- A picture - also known in the scriptures as a vision or a dream (a vision is when you are awake, a dream is when you are asleep), God will give you a picture in your mind. Perhaps it’s a memory, or place you’ve been or know? Explore the picture, what do you see? What do you feel as a result? What’s happening?","- An image - which in the Scriptures is also known as a vision or a dream (a vision is when you are awake, a dream is when you are asleep), God places an image in your mind. It might be a memory, or a place you have been or know. Examine the image: what do you see? As a result, how do you feel? What is happening?"
