# Drift explanation generated 2026-01-30T15:56:54.002676
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/bengali/pipeline2/analysis/chapters/drift_report_chapter9_chapter_9_the_church_our_role_in_it_vs_chapter9_chapter_9_the_church_our_role_in_it.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"4","0.9198","MEDIUM","no","paraphrase","The back-translation retains the same meaning as the original, with no changes in doctrinal, logical, or intentional aspects. Both versions convey the same concept of 'out of.'","- **""Ek""**: ""Out of.""","- **""Ek""**: ""out of।"""
"5","0.908","MEDIUM","no","paraphrase","The back-translation retains the same meaning as the original, simply reproducing the definition of 'Kaleo' without any alteration in doctrinal, logical, or intentional aspects.","- **""Kaleo""**: ""To call.""","- **""Kaleo""**: ""to call।"""
"18","0.8975","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that Scripture provides imagery to help understand the nature of the church, with no significant changes in meaning or intent.","To help us understand what the church is, the Scriptures gives us powerful pictures that show what it’s meant to be.","To explain what the church is, Scripture gives us powerful images that show what it is meant to be."
"20","0.8902","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of using metaphorical images to describe the church's attributes, with only slight variations in wording and emphasis. The core meaning remains intact.","There are several core metaphorical images used to depict attributes of the church:","A few key metaphorical images are used to describe the characteristics of the Church:"
"21","0.8814","MEDIUM","yes","doctrinal","The original term 'The Body' suggests a specific theological or doctrinal context, possibly referring to the body of Christ or a collective entity, while the back-translated term 'Body' lacks this specificity and may not convey the same depth of meaning.","1.  The Body","1.  Body"
"22","0.8863","MEDIUM","yes","intentional","The back-translation omits the definite article 'The,' which may change the emphasis or significance of the term 'Bride' in a theological context, potentially altering the intended meaning or focus of the original text.","2.  The Bride","2.  Bride"
"23","0.908","MEDIUM","yes","doctrinal","The original term 'The Temple' implies a specific and significant religious structure, while the back-translation 'Temple' lacks the definitive article, potentially altering its perceived importance and context within a doctrinal framework.","3.  The Temple","3.  Temple"
"25","0.8957","MEDIUM","yes","doctrinal","The original title 'The Flock' suggests a specific and potentially theological context, implying a community or group with shared beliefs. The back-translated title 'Flock' lacks the definite article, which may alter the emphasis and specificity of the concept, leading to a more general interpretation.","5.  The Flock","5.  Flock"
"27","0.8756","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and logical relationships as the original, simply using different wording without altering the intent or core message.","Each analogy highlights a unique aspect of the church, yet together, they reveal the church's identity as a unified and diverse community under Christ's leadership.","Each metaphor highlights a unique aspect of the Church; yet together they reveal the Church's identity as a united and diverse community under the leadership of Christ."
"28","0.8578","MEDIUM","no","paraphrase","The back-translation simplifies the title by removing the article 'The,' but it retains the core concept of 'Body' without altering its doctrinal or intentional meaning.","### The Body","### Body"
"30","0.7539","LOW","yes","intentional","The back-translation simplifies the title from 'The Bride' to 'Bride', which may alter the intended emphasis or significance of the original, potentially losing the specific context or thematic depth associated with 'The Bride'.","### The Bride","### Bride"
"32","0.8023","LOW","yes","doctrinal","The original paragraph refers specifically to 'The Temple,' which may imply a particular religious or sacred context, while the back-translated version simply states 'Temple,' potentially losing the specific doctrinal significance associated with 'The Temple.'","### The Temple","### Temple"
"34","0.8426","LOW","yes","intentional","The original title 'The Family' suggests a specific focus on the concept of family as a unit, while the back-translated title 'Family' is more general and lacks the same emphasis, potentially altering the intent of the discussion.","### The Family","### Family"
"36","0.9111","MEDIUM","yes","doctrinal","The original title 'The Flock' suggests a specific theological or communal context, while the back-translated title 'Flock' is more general and lacks the same doctrinal implications.","### The Flock","### Flock"
"40","0.8843","MEDIUM","no","paraphrase","The back-translated title 'The Role of the Church' is a slight variation of the original 'Roles of the Church,' but both convey the same conceptual focus on the functions and significance of the Church without altering the underlying meaning.","## Roles of the Church","## The Role of the Church"
