# Drift report generated 2026-01-30T14:02:09.732762
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/russian/pipeline2/backtranslation/chapters/chapter10_chapter_10_sanctified_prepared_for_god_s_purpose.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9925","HIGH","In the previous two chapters we have discussed several important topics. We explored the role and ministry of the Holy Spirit, as well as the role and ministry of the church.","In the previous two chapters we discussed several important topics. We explored the role and ministry of the Holy Spirit, as well as the role and ministry of the church."
"2","0.9293","HIGH","We have a part to play in the church, and while we know that we need training, we also need purification. To really be prepared for God’s purposes we must be sanctified.","We have our own role in the church, and, although we know that we need training, we also need cleansing. To truly be prepared for God's purposes, we must be sanctified."
"3","0.8989","MEDIUM","The definition of **sanctification** is to purify something for a special purpose. This is closely related to the term **consecration** which means to set something aside for a special purpose.","The definition of **sanctification** — to cleanse something for a special purpose. This is closely related to the term **dedication**, which means to set something apart for a special purpose."
"4","0.9461","HIGH","Imagine a master sculptor preparing to work with a large block of marble. The master imagines what this raw and unshaped marble can be transformed into through his careful craftsmanship. He has a very specific design in mind, he orders his assistants to set this block of marble aside for a special design (**consecration**). As he refines and works the marble, adding texture, depth, and shape, he purifies it (**sanctifies**) for that special design. The act of dedicating the marble for his special project was quick, whereas the process of shaping the marble into its final design takes considerable patience.","Imagine a master sculptor preparing to work with a large block of marble. The master envisions what this raw and rough marble can be turned into through his careful craftsmanship. He has a very specific design in mind, he orders his assistants to set aside this marble block for a special design (**dedication**). As he refines and works the marble, giving it texture, depth, and shape, he cleanses it (**sanctifies**) for this special design. The act of dedicating the marble to his special project was quick, whereas the process of bringing the marble to its final appearance requires considerable patience."
"5","0.9215","HIGH","We were set aside, consecrated to God at salvation. Through the act of purifying our souls by the help of the Spirit we become transformed. This process of purification is what sanctifies us.","We were set apart, dedicated to God at salvation. Through the cleansing of our souls by the Spirit we are transformed. This process of cleansing is what sanctifies us."
"6","0.9729","HIGH","When we received Jesus through salvation, we were born-again. We were justified, our sins forgiven. Our spirit was regenerated, we became alive in Christ. We were adopted into the family of God and became the literal temple of the Holy Spirit. Such a marvelous transformation that the scriptures say, “*there is joy before the angels of God over one sinner who repents.” (*<span class=""x-scripture"" data-book=""LUK"" data-chapter=""15"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 15:10</span>).","When we accepted Jesus through salvation, we were born again. We were justified, our sins forgiven. Our spirit was reborn, we came alive in Christ. We were adopted into the family of God and became the literal temple of the Holy Spirit. Such an amazing transformation, that Scripture says: “*joy before the angels of God over one sinner who repents.” (*<span class=""x-scripture"" data-book=""LUK"" data-chapter=""15"" data-lang=""en"" data-type=""ref"" data-verses=""10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Luke 15:10</span>)."
"7","0.9463","HIGH","Receiving Jesus by salvation (**justification**) saves our spirit, cleanses us, and makes us presentable to God, able to receive His Holy Spirit. However, despite such a great salvation **our souls** (our mind, will, and emotions) still **need work**!","Acceptance of Jesus through salvation (**justification**) saves our spirit, cleanses us and makes us acceptable to God, able to receive His Holy Spirit. However, despite such great salvation, **our souls** (our mind, will, and emotions) still **need work**!"
"8","0.9739","HIGH","Was the work of salvation incomplete? No! The work of salvation is effective but must be continued in the life of the believer by the renewal brought on by the Holy Spirit. This process of renewal and transformation is the work of **sanctification.**","Was the work of salvation unfinished? No! The work of salvation is effective, but must continue in the life of the believer through the renewal accomplished by the Holy Spirit. This process of renewal and transformation is the work of **sanctification.**"
"9","0.9664","HIGH","We know there is continued work to be done after conversion because our painful memories didn’t resolve, many of our beliefs stayed the same, and many of our habits or rituals didn’t vanish. Furthermore, conversion did not separate our minds from their fleshly (carnal) nature.","We know that after conversion there remains work, because our painful memories have not been resolved, many of our beliefs remained the same, and many of our habits or rituals have not disappeared. Moreover, conversion did not separate our mind from its fleshly (carnal) nature."
"10","0.96","HIGH","The word ‘carnal’ comes from the Latin root meaning ‘flesh’ or ‘meat.’ The carnal nature is inside of each of us from birth, like an animal’s instincts, it exists to help us survive. The way the carnal nature works is by being self-focused, self-oriented, self-centered. Children are natural examples of a fleshly nature. Despite their innocence, their nature is focused primarily on their wants, desires, needs; and ‘watch out!’ if you don’t meet its every expectation.","The word «carnal» comes from a Latin root meaning “flesh” or “meat”. The fleshly nature is present in each of us from birth; like an animal's instincts, it exists to help us survive. This fleshly nature operates, being self-focused, self-oriented, egocentric. Children are natural examples of the fleshly nature. Despite their innocence, their nature is primarily focused on their own desires, drives, needs; and «watch out!», if you do not satisfy its every expectation."
