# Drift report generated 2026-01-30T14:16:10.684572
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter0_6_preface.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/arabic/pipeline2/backtranslation/chapters/chapter0_6_preface.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9493","HIGH","## Building a Foundation that Lasts","## Building a Lasting Foundation"
"2","0.9766","HIGH","I have always had a fascination with questions. Why is *something* true? What made it that way? How do we know? How are we sure? If *something* is true, what else is true? What is false? This fascination goes beyond a desire to be correct on a surface level, but to know deeply and precisely, and to be able to clearly articulate the new gained understanding.","I have always had a fascination with questions. Why is *something* true? What made it so? How do we know? How can we be confident? If *something* is true, what else is true? What is false? This fascination goes beyond merely wanting to be right at a superficial level, to knowing deeply and precisely, and to being able to clearly articulate the newly gained understanding."
"3","0.883","MEDIUM","While communication is common, effective and precise communication is challenging. To effectively communicate a message the author and originator must have an idea. However, the idea alone like water on a hard surface-its edges and boundaries are poorly defined, fluid, and easily moved around.","Although communication is common, effective and accurate communication is difficult. And for content to be conveyed effectively, the writer and the creator must have an idea. Yet an idea by itself is like water on a hard surface-its edges and boundaries are not well defined, fluid, and easily moved."
"4","0.9746","HIGH","We use words, terms, and phrases to transform the raw idea from vaguely shaped to precisely shaped. Words give our idea a boundary, they help us distinguish and separate between what the idea is, and what it is not. Now our shaped idea must be transmitted and received through some medium. Whether in long form text, like this book, or short form text, like a social media post, or in oral form, like a conversation or a video recording, the medium transmits the now well-formed idea to the recipient.","We use words, terms, and phrases to transform the raw idea from a vague form into a precise form. Words give our idea a boundary, and help us distinguish and separate between what the idea is and what it is not. Now our formulated idea must be transmitted and delivered through some medium. Whether in a long text, like this book, or a short text, like a social media post, or in a spoken form, like a conversation or a video recording, the medium carries the well-formulated idea to the recipient."
"5","0.9468","HIGH","So far, we’ve only discussed the originator and author of the idea. For an idea to be useful, the recipient must receive, decode, and understand the message accurately. The transmitted and received messages should align closely.","Up to this point, we have only discussed the originator of the idea and its author. For the idea to be useful, the recipient must receive the message, decode it, and understand it accurately. The sent message and the received message must match to a large degree."
"6","0.9697","HIGH","Every great human work is the by-product of effective communication. One man’s labor can only accomplish so much. To really build or perform something great, many men (speaking here generically of mankind) must labor together in a shared purpose, with a shared idea. Barring naturally occurring disasters (like a volcanic eruption) we also know that the greatest calamities to ever occur usually did so in significant part because of missing, broken or distorted communication. Truly life and death are in the power of the tongue (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 18:21</span>).","Every great human work is a byproduct of effective communication. The work of a single man can accomplish only a limited amount. And to build or perform something truly great, many must work together (I speak here generally of humankind) toward a common end, and with a common idea. With the exception of natural disasters (such as a volcanic eruption) we also know that the greatest catastrophes that have ever occurred happened in large part because of communication that was missing, broken, or distorted. Truly, death and life are in the power of the tongue (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""18"" data-lang=""en"" data-type=""ref"" data-verses=""21"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 18:21</span>)."
"7","0.9922","HIGH","What we believe and how we communicate it has the power to build a person, a family, a community, a nation, or has the power to equally destroy them. What we believe is the foundation for our actions and is the blueprint for what we will do, who we will be, how we will exist. Because belief is expressed through action and communication, it defines the role we play in existence. Our beliefs shape not just our lives, but to a degree the lives of everyone around us.","What we believe and how we communicate it has the power to build a person, a family, a community, or a nation, or has the same power to destroy them. What we believe is the foundation of our actions and the blueprint for what we will do, who we will be, and how we will exist. And since belief is expressed through action and communication, it determines the role we play in existence. Our beliefs not only shape our lives, but to some extent the lives of everyone around us."
"8","0.9292","HIGH","We must establish our beliefs accurately and learn to share them effectively. Jesus said as much when he said to His disciples:","We must firmly establish our beliefs and learn to share them effectively. Jesus said this when He told His disciples:"
"9","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""fragment"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""fragment"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"10","0.9987","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and behold, I am with you always, to the end of the age."" Amen.\\n>"
