# Drift explanation generated 2026-02-01T01:38:35.504886
# Source drift file: /Users/andrew/repo/kli-translation-pipeline_principles-of-faith/japenese/pipeline2/analysis/chapters/drift_report_chapter8_chapter_8_holy_spirit_comforter_guide_and_power_vs_chapter8_chapter_8_holy_spirit_comforter_guide_and_power.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"20","0.872","MEDIUM","no","paraphrase","Both paragraphs convey the same core message regarding the role of the Holy Spirit in empowering the disciples to fulfill their mission. The back-translation maintains the original intent and doctrinal significance without introducing any substantial changes in meaning.","The disciples were to wait for the promise of the Spirit poured out, and that this was to empower them to be witnesses to the ends of the earth. The Holy Spirit is integral to God’s plan for humanity, and is essential to us as believers, for completing our mission, and to the world.","The disciples had to wait for the promise of the Holy Spirit to be poured out, by which they were to receive power to be witnesses to the ends of the earth。 The Holy Spirit is essential to God’s plan for humanity, and for us believers, in order to fulfill our mission, and also for the world, an indispensable presenceです。"
"21","0.8856","MEDIUM","yes","intentional","The original title 'Getting to Know the Holy Spirit' implies a process of relationship-building and discovery, while the back-translated title 'Knowing the Holy Spirit' suggests a more static state of understanding, potentially altering the intent of the original message.","## Getting to Know the Holy Spirit","## Knowing the Holy Spirit"
"22","0.8172","LOW","no","paraphrase","The back-translated paragraph retains the same doctrinal meaning and logical relationships as the original, presenting the same concepts about the Holy Spirit without introducing any significant changes.","The Holy Spirit is first and foremost, from and of God. The scriptures refer to the Spirit as the Spirit of God, or the Spirit of the Lord, or the Spirit of Christ, while these highlight different aspects, they are all one in the same. The Holy Spirit, being fully God, is also eternal and is holy (blameless, innocent, pure, not profane). Some translations refer to the Holy Spirit as the Holy Ghost.","Above all, the Holy Spirit is the one who comes from God and belongs to God。 The Bible calls the Holy Spirit the Spirit of God, the Spirit of the Lord, or the Spirit of Christ。 These emphasize different aspects, but they all refer to the same person。 The Holy Spirit is fully God, and also eternal, holy（blameless, innocent, pure, not profane）です。 In some translations, the Holy Spirit is called the Holy Ghost。"
"24","0.8432","LOW","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using different wording but conveying the same idea about the essential qualities of the Holy Spirit.","There are several other core adjectives to describe the Holy Spirit. Each of these adjectives are used in conjunction with ‘the Spirit of’, meaning that these properties are vital to the definition of the Spirit. Example, the *Spirit of Truth* or the *Spirit of Life*.","There are several other core descriptors that represent the Holy Spirit。 These descriptors are used in connection with the phrase “the Spirit of,” indicating that these qualities are essential to defining the Holy Spirit。 For example, the Spirit of truth and the Spirit of life。"
"34","0.9111","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that an advocate represents and assists another person, similar to a defense attorney. The phrasing is slightly different, but the overall meaning remains intact.","An advocate speaks on another's behalf, like a defense attorney. They intercede and help the person they are charged with.","An advocate speaks on behalf of another, like a defense attorney。 They intercede and assist the one entrusted to them。"
"35","0.9192","MEDIUM","no","paraphrase","The back-translated paragraph retains the original meaning and intent, emphasizing the supportive role of the helper without altering any doctrinal or logical relationships.","The helper helps. They help empower the work, but their job is primarily to aid the work. The helper is not solely responsible for performing the work, but they come alongside to help accomplish it.","A helper helps。 They empower and aid the work, but their duty is primarily to assist the work。 A helper is not responsible to carry out the work alone, but comes alongside to help accomplish it。"
"38","0.8852","MEDIUM","no","paraphrase","The back-translation maintains the same doctrinal meaning and intent as the original, simply using different wording without altering the core message about the Holy Spirit's role in uniting believers with Jesus.","### Inward-The Holy Spirit Unites Us With Jesus","### Inside - The Holy Spirit unites us to Jesus"
"50","0.9194","MEDIUM","yes","doctrinal","The back-translation uses 'exalts' instead of 'glorifies,' which may imply a different nuance in the level of honor attributed to Jesus. Additionally, 'what Jesus has prepared for us' suggests a more specific and intentional action compared to 'what Jesus has for us,' potentially altering the understanding of Jesus' offerings.","The Spirit testifies of Jesus (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""15"" data-lang=""en"" data-type=""ref"" data-verses=""26"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 15:26</span>), glorifies Jesus, and announces and declares what Jesus has for us (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""16"" data-lang=""en"" data-type=""ref"" data-verses=""14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 16:14</span>).","The Spirit bears witness about Jesus (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""15"" data-lang=""en"" data-type=""ref"" data-verses=""26"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 15:26</span>), exalts Jesus, and declares what Jesus has prepared for us (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""16"" data-lang=""en"" data-type=""ref"" data-verses=""14"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 16:14</span>)."
"60","0.8419","LOW","no","paraphrase","Both paragraphs inquire about the quality of the fruit produced, specifically whether it aligns with divine approval. The back-translation maintains the original intent and meaning without introducing significant changes.","- Does this produce godly fruit?","- Does this bear fruit that pleases God?"
"63","0.9045","MEDIUM","no","paraphrase","The back-translation maintains the original's meaning and intent, conveying the same ideas about wisdom, guidance, and the relationship between scripture and personal direction without introducing any significant changes.","This wisdom and understanding and direction are likely not word for word in the scriptures. As an example, the scriptures give great general direction on what to look for in a spouse, but don’t give specific prescriptions on the exact person. God does promise to direct our path, lead us into all truth, and we can take comfort knowing that this wisdom and leading from the Holy Spirit will never violate any teaching of scripture.","This wisdom, understanding, and guidance are not necessarily recorded verbatim in Scripture. For example, the Bible gives excellent general guidelines for what to look for in a spouse, but it does not give a specific prescription about a particular person. God has promised to direct our paths and to lead us into all truth. And we can take comfort in knowing that this wisdom and Spirit-led guidance will never contradict any teaching of Scripture."
