# Drift explanation generated 2026-01-30T14:08:13.253005
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/russian/pipeline2/analysis/chapters/drift_report_chapter8_chapter_8_holy_spirit_comforter_guide_and_power_vs_chapter8_chapter_8_holy_spirit_comforter_guide_and_power.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"25","0.7796","LOW","yes","doctrinal","The original phrase 'The Spirit of:' suggests a specific reference to a particular spirit or aspect of spirituality, while the back-translation 'Spirit:' is more general and lacks the specificity, potentially altering the intended doctrinal significance.","The Spirit of:","Spirit:"
"34","0.9172","MEDIUM","yes","doctrinal","The back-translated paragraph changes the subject from a general advocate to a specific 'he,' which introduces a gendered perspective and alters the inclusivity of the term. Additionally, the phrase 'for whom he is responsible' implies a different relationship than 'charged with,' potentially changing the nature of the advocate's role.","An advocate speaks on another's behalf, like a defense attorney. They intercede and help the person they are charged with.","An advocate speaks on behalf of another, like an attorney. He intercedes and helps the person for whom he is responsible."
"49","0.9196","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationships as the original, with slight variations in wording but no significant changes in intent or theological concepts.","The Holy Spirit is from God and is of God. As Jesus said He did nothing except the father show Him (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 5:19</span>), the Holy Spirit too does nothing unless it's directed from the father. Because the Holy Spirit is the helper, He does not work on His own accord, but works in perfect harmony with the father.","The Holy Spirit is from God and is God’s. As Jesus said that He does nothing unless the Father shows Him (<span class=""x-scripture"" data-book=""JHN"" data-chapter=""5"" data-lang=""en"" data-type=""ref"" data-verses=""19"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">John 5:19</span>), so the Holy Spirit does nothing unless it is directed by the Father. Since the Holy Spirit — the Comforter, He does not act on His own, but acts in perfect harmony with the Father."
"104","0.8807","MEDIUM","no","paraphrase","The back-translation maintains the same core message as the original, simply using different wording for 'quickest' and 'fastest' without altering the overall meaning.","The quickest and most reliable ways to build an effective relationship with the Holy Spirit is to","The fastest and most reliable ways to build an effective relationship with the Holy Spirit"
"107","0.8507","MEDIUM","yes","doctrinal","The original phrase 'call out' suggests a direct vocal expression, while the back-translated 'call upon' may imply a broader or more formal invocation, potentially altering the intended meaning of direct communication.","I use the phrase ‘call out’ to mean literally, with your mouth, or however you speak (with your hands if you cannot speak aloud with your mouth). Why speak? A few reasons:","I use the expression ‘call upon’ in the literal sense—with your mouth or in whatever way you speak (with your hands, if you cannot speak aloud with your mouth). Why speak? Several reasons:"
"110","0.8562","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that speaking is a deliberate action aimed at initiating a conversation with the listener. The terminology used is slightly different, but the overall meaning remains intact.","3.  Speaking is an intentional act, and indicates to the party you are talking to, that you’d like to engage them in a conversation.","3.  Speech is an intentional act and a sign to the one you are addressing that you wish to enter into conversation."
"114","0.7198","CRITICAL","no","paraphrase","Both phrases inquire about the next step or action to take, maintaining the same intent and logical relationship without altering the underlying meaning.","#### Then what?","#### What next?"
"118","0.8276","LOW","no","paraphrase","Both paragraphs convey the same concept of receiving an understanding from God, with only slight variations in wording. The essence of the message remains unchanged.","- A knowing - the person talking to God gets an immediate understanding that helps them.","- Insight - the person speaking with God receives an instantaneous understanding that helps them."
"119","0.8991","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, using synonymous terms and structure without altering the intent or doctrinal implications.","- A picture - also known in the scriptures as a vision or a dream (a vision is when you are awake, a dream is when you are asleep), God will give you a picture in your mind. Perhaps it’s a memory, or place you’ve been or know? Explore the picture, what do you see? What do you feel as a result? What’s happening?","- Image - also known in Scripture as a vision or a dream (a vision - when you are awake, a dream - when you are sleeping), God will give you an image in your mind. Perhaps it is a memory, or a place where you have been or that you know? Explore the image, what do you see? What do you feel as a result? What is happening?"
"122","0.918","MEDIUM","no","paraphrase","The back-translated paragraph maintains the original meaning and intent, emphasizing that God embodies perfect love and does not contradict Scripture, while providing a similar example regarding extramarital affairs.","Not sure! But that’s the fun in it. I can say that He is NOT the spirit of fear, but of perfect love and that it will never violate the teaching of the scriptures. E.g., God will never tell you to commit an extra-marital affair.","Not sure! But that's the interesting part. I can say that He is NOT a spirit of fear, but of perfect love, and He will never violate the teaching of Scripture. For example, God will never tell you to enter into an extramarital affair."
"123","0.8404","LOW","no","paraphrase","Both phrases convey a similar inquiry about the next steps or actions to take, maintaining the same intent and logical relationship.","Now what?","What now?"
