# Drift report generated 2026-01-30T16:23:16.579881
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter3_chapter_3_sin_and_redemption.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/punjabi/pipeline2/backtranslation/chapters/chapter3_chapter_3_sin_and_redemption.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9928","HIGH","Scripture tells us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God’s standard, or ‘miss the mark,’ a term from archery describing an archer’s failure to hit the target.","Scripture tells us many stories about sin—its causes, its consequences, and how God responds to it. To sin is to fall short of God’s standard, or ‘miss the mark,’ an archery term that refers to the archer’s failing to hit the target."
"2","0.9281","HIGH","Both Old and New Testaments use various terms for sin, each highlighting aspects like its type, severity, intent, victim, nature, and required punishment. There are several broad categorizations that the scriptures use to describe sin:","Both the Old and New Testaments use various words for sin, highlighting aspects such as its type, severity, intent, victim, nature, and required penalty. Scripture uses some broad classifications to describe sin:"
"3","0.9006","MEDIUM","- Sin against God, sin against man, sin against self","- Sins against God, sins against man, sins against oneself"
"4","0.9174","MEDIUM","- Intentional sin, unintentional sin","- Deliberate sin, unintentional sin"
"5","0.8353","LOW","- Sin of a single moment, sin habitually committed","- Momentary sin, habitual sin"
"6","0.7977","LOW","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sins requiring severe penalties such as death, sins requiring financial restitution"
"7","0.9647","HIGH","In our modern criminal justice systems, we have similar distinctions: degrees of crime, premeditated or crimes of passion, crimes requiring financial restitution, or incarceration, or even capital punishment. An act might be both a crime and a sin, but crime is man's categorization, sin is God’s.","Our modern criminal justice systems also have such distinctions: degrees of crime, crimes committed with premeditation or in passion, crimes that require financial restitution, or imprisonment, or even the death penalty. An act can be both a crime and a sin, but crime is a human classification, sin is God’s."
"8","0.9791","HIGH","The various Greek and Hebrew words for sin have a high level of overlap. All sin is broadly described under the umbrella term ‘missing the mark’, ***Hamartia*** in Greek, and ***Chata’*** in Hebrew. This umbrella term is used for the most severe sins, adultery, murder, but also less severe sins, like showing partiality to wealthy people in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>).","The Greek and Hebrew words for sin overlap considerably. All sin falls under the broad term ‘missing the mark,’ ***Hamartia*** in Greek and ***Chata’*** in Hebrew. This umbrella term is used for the most serious sins—adultery, murder—but also for less serious sins, such as showing favoritism to the rich in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>)."
"9","0.9758","HIGH","Here are some words the Scriptures use for sin. They help us understand how serious sin is-and how deeply we need God's grace.","Here are some of the words Scripture uses for sin. They help us understand how serious sin is—and how deeply we need God’s grace."
"10","1.0","HIGH","[See Table 2](../tables/table2.md)","[See Table 2](../tables/table2.md)"
