# Drift explanation generated 2026-01-30T16:00:07.444759
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/nepali/pipeline2/analysis/chapters/drift_report_chapter4_chapter_4_jesus_the_messiah_vs_chapter4_chapter_4_jesus_the_messiah.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"10","0.9081","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same references to the scriptures as the original, with only a slight change in wording from 'Referenced' to 'Cited', which does not alter the meaning or intent.","- **Scriptures Referenced:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>.","- **Cited Scriptures:** <span class=""x-scripture"" data-book=""ISA"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""6-7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Isaiah 9:6-7</span>, <span class=""x-scripture"" data-book=""JER"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""5-6"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Jeremiah 23:5-6</span>, <span class=""x-scripture"" data-book=""ZEC"" data-chapter=""9"" data-lang=""en"" data-type=""ref"" data-verses=""9-10"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Zechariah 9:9-10</span>।"
"21","0.9175","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, conveying that while many expected a prophetic figure, it was not viewed as central to the Messiah's role but rather as an additional aspect.","- **Expectation:** While many anticipated a prophetic figure, they often did not see this role as central to the Messiah but as an additional aspect.","- **Expectation:** Although many expected a prophetic figure, this role was often seen not as a central aspect of the Messiah but as an additional aspect।"
"26","0.8641","MEDIUM","no","paraphrase","Both paragraphs convey the same idea that justice is viewed primarily in political and social contexts rather than spiritual ones, with no significant change in meaning.","- **Interpretation:** Justice was expected to be primarily political and societal rather than spiritual.","- **Interpretation:** Justice was expected more in political and social terms than spiritual।"
"28","0.7909","LOW","no","paraphrase","Both paragraphs convey the idea of differing beliefs regarding the Messiah without altering the core concept or intent. The back-translation maintains the original's meaning while using different wording.","### Diverse Messianic Beliefs","### Various beliefs about the Messiah"
"36","0.836","LOW","yes","doctrinal","The original title emphasizes the act of anointing as a significant event in the context of Jesus' life and ministry, while the back-translated title simplifies it to a possessive form, potentially diminishing the theological significance of the act.","### The Anointing of Jesus","### Jesus’ anointing"
"43","0.8833","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and intent as the original, simply rephrasing it without altering the core message about Jesus being anointed by God and sent with a divine mission.","Jesus was anointed-set apart by God-and sent with a divine mission, full of purpose and power.","Jesus, the Anointed - set apart by God - was sent with a divine mission filled with purpose and power।"
"45","0.8687","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rearranging the terms without altering the doctrinal or intentional significance.","- The good news (gospel) of the Kingdom.","- The good news of the Kingdom (gospel)।"
"46","0.7025","CRITICAL","yes","doctrinal","The term 'Deliverance' in the original emphasizes forgiveness and freedom from sin, while 'Salvation' in the back-translation suggests a broader theological concept that includes remission of sins, potentially altering the focus of the meaning.","- Deliverance - forgiveness, pardon of sin, freedom.","- Salvation - forgiveness, remission of sins, freedom।"
"48","0.7809","LOW","no","paraphrase","Both phrases convey the same idea of the people to whom He came, with no significant change in meaning or intent.","The people He came to were:","Those among whom He came were:"
"49","0.9137","MEDIUM","no","paraphrase","The back-translated paragraph retains the same wording and meaning as the original, conveying the same emotional and spiritual state of being brokenhearted.","- Brokenhearted - shattered emotionally and spiritually.","- Brokenhearted - shattered emotionally and spiritually।"
"53","0.9056","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same conceptual meaning as the original, simply rephrasing it without altering the intent or doctrinal implications.","Jesus transformed these broken people by:","Jesus transformed these broken people in this way:"
"54","0.8368","LOW","no","paraphrase","Both phrases convey the same concept of regaining or restoring vision, with no significant change in meaning or intent.","- Recovering sight","- Restore sight"
"55","0.8964","MEDIUM","no","paraphrase","The phrases 'state of liberty' and 'state of freedom' convey the same fundamental concept of being free from restrictions, thus maintaining the original intent and meaning.","- Set in a state of liberty","- Set in a state of freedom"
