# Drift explanation generated 2025-10-08T09:15:44.006567
# Source drift file: analysis/drift_report_chapter0_3_table_of_contents_vs_chapter0_3_table_of_contents_20251008-071301.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"0","0.4112","CRITICAL","no","paraphrase","The back-translation 'Contents' is a direct equivalent of the original 'Yaliyomo,' with no change in doctrinal meaning, logical relationship, or intent.","# Yaliyomo","# Contents"
"1","0.8055","LOW","yes","doctrinal","The original term 'Ithaf' may carry specific theological significance that is lost in the back-translation to 'Dedication,' which is a more general term. This change alters the doctrinal meaning associated with the text.","[Ithaf [III](#dedication)](#dedication)","[Dedication [III](#dedication)](#dedication)"
"2","0.7695","LOW","no","paraphrase","The back-translated paragraph retains the same reference to acknowledgements as the original, with no significant change in meaning or intent.","[Shukurani [III](#acknowledgements)](#acknowledgements)","[Acknowledgements [III](#acknowledgements)](#acknowledgements)"
"3","0.6802","CRITICAL","no","paraphrase","The back-translated paragraph retains the same content and intent as the original, simply rephrasing 'Yaliyomo' to 'Table of Contents' without altering the meaning.","[Yaliyomo [IV](#table-of-contents)](#table-of-contents)","[Table of Contents [IV](#table-of-contents)](#table-of-contents)"
"4","0.7341","CRITICAL","no","paraphrase","The back-translated paragraph maintains the same meaning as the original, simply translating the phrase 'Orodha ya Majedwali' to 'List of Tables' without altering any doctrinal, logical, or intentional aspects.","[Orodha ya Majedwali [V](#list-of-tables)](#list-of-tables)","[List of Tables [V](#list-of-tables)](#list-of-tables)"
"5","0.7302","CRITICAL","no","paraphrase","The back-translated paragraph retains the same reference to the foreword section as the original, with no change in doctrinal meaning, logical relationship, or intent.","[Dibaji [VI](#foreword)](#foreword)","[Foreword [VI](#foreword)](#foreword)"
"6","0.6945","CRITICAL","no","paraphrase","The translation of 'Utangulizi' to 'Preface' maintains the same conceptual meaning, as both terms refer to an introductory section of a text.","[Utangulizi [1](#preface)](#preface)","[Preface [1](#preface)](#preface)"
"7","0.7364","CRITICAL","no","paraphrase","Both paragraphs convey the same concept regarding the importance of sound doctrine, with no significant changes in meaning or intent.","[Sura ya 1 - Mafundisho Sahihi ni Muhimu [10](#chapter-1---sound-doctrine-matters)](#chapter-1---sound-doctrine-matters)","[Chapter 1 - Sound Doctrine Matters [10](#chapter-1---sound-doctrine-matters)](#chapter-1---sound-doctrine-matters)"
"8","0.746","CRITICAL","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, referring to the same chapter and attributes of God without altering doctrinal or intentional aspects.","[Sura ya 2 - Mungu-Muumba wa Milele na Baba Mwenye Upendo [22](#chapter-2---godeternal-creator-and-loving-father)](#chapter-2---godeternal-creator-and-loving-father)","[Chapter 2 - God-Eternal Creator and Loving Father [22](#chapter-2---godeternal-creator-and-loving-father)](#chapter-2---godeternal-creator-and-loving-father)"
"9","0.7295","CRITICAL","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply changing the language from Swahili to English without altering the doctrinal content or intent.","[Sura ya 3 - Dhambi na Ukombozi [33](#chapter-3---sin-and-redemption)](#chapter-3---sin-and-redemption)","[Chapter 3 - Sin and Redemption [33](#chapter-3---sin-and-redemption)](#chapter-3---sin-and-redemption)"
"10","0.7916","LOW","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply rephrasing 'Sura ya 4' to 'Chapter 4' without altering any doctrinal or intentional aspects.","[Sura ya 4 - Yesu-Masihi [49](#chapter-4-jesusthe-messiah)](#chapter-4-jesusthe-messiah)","[Chapter 4 - Jesus-Messiah [49](#chapter-4-jesusthe-messiah)](#chapter-4-jesusthe-messiah)"
