# Drift explanation generated 2026-01-30T00:11:00.586627
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/farsi/pipeline2/analysis/chapters/drift_report_chapter9_chapter_9_the_church_our_role_in_it_vs_chapter9_chapter_9_the_church_our_role_in_it.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"17","0.9199","MEDIUM","no","paraphrase","The back-translated paragraph retains the same doctrinal meaning and intent as the original, with only slight variations in wording and phrasing that do not alter the overall message about the church's establishment and the importance of local church commitment.","The church was established by Jesus and increased in the 1st century A.D. by the work of the disciples who followed him. The church we have and experience today in all its local bodies across the Earth is a direct result of the original work of Christ and His apostles. As believers we are to be committed to a local church for fellowship, provision, equipping for ministry, and to do good works!","The church was built by Jesus and spread in the first century AD through the work of the disciples who followed him. The church we have and experience today, in all its local bodies across the earth, is the direct result of the initial work of Christ and his apostles. As believers, we should commit ourselves to a local church for fellowship, provision, equipping for service, and doing good works!"
"18","0.9129","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that Scripture provides insights into the nature of the church, using slightly different wording without altering the underlying meaning.","To help us understand what the church is, the Scriptures gives us powerful pictures that show what it’s meant to be.","To better understand what the church is, Scripture gives us powerful images that show what it is meant to be."
"20","0.9161","MEDIUM","no","paraphrase","Both paragraphs convey the same idea of using metaphorical images to describe the church's attributes, with no significant changes in meaning or intent.","There are several core metaphorical images used to depict attributes of the church:","Several primary metaphorical images are used to describe the characteristics of the church:"
"21","0.8815","MEDIUM","yes","doctrinal","The original term 'The Body' suggests a specific theological or conceptual significance, possibly referring to the body of Christ or a collective entity, while the back-translation 'Body' lacks this specificity and depth, altering its doctrinal meaning.","1.  The Body","1.  Body"
"22","0.8865","MEDIUM","yes","intentional","The original title 'The Bride' implies a specific context or subject matter, likely related to a narrative or thematic exploration, while the back-translated title 'Bride' is more general and lacks the same intentional framing.","2.  The Bride","2.  Bride"
"23","0.908","MEDIUM","yes","doctrinal","The back-translation omits the definite article 'The,' which may imply a specific temple in the original context, potentially altering the doctrinal significance associated with that particular temple.","3.  The Temple","3.  Temple"
"25","0.8957","MEDIUM","yes","doctrinal","The back-translation omits the definite article 'The,' which may imply a specific or unique concept in the original, potentially altering its doctrinal significance.","5.  The Flock","5.  Flock"
"27","0.8757","MEDIUM","no","paraphrase","The back-translated paragraph maintains the same doctrinal meaning and logical relationship as the original, simply using different wording without altering the intent or concepts presented.","Each analogy highlights a unique aspect of the church, yet together, they reveal the church's identity as a unified and diverse community under Christ's leadership.","Each of these metaphors highlights a unique aspect of the church, but together they reveal the church’s identity as a unified and diverse community under the leadership of Christ."
"28","0.8578","MEDIUM","no","paraphrase","The back-translation simplifies the title by removing the article 'The,' but it does not alter the overall meaning or intent of the original phrase.","### The Body","### Body"
"30","0.7539","LOW","yes","intentional","The back-translation simplifies the title from 'The Bride' to 'Bride', which may alter the intended emphasis or significance of the original, potentially losing the context or thematic depth associated with 'The Bride'.","### The Bride","### Bride"
