# Drift explanation generated 2026-01-30T02:21:36.888042
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/hindi/pipeline2/analysis/chapters/drift_report_chapter3_chapter_3_sin_and_redemption_vs_chapter3_chapter_3_sin_and_redemption.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"4","0.9174","MEDIUM","no","paraphrase","The terms 'intentional' and 'deliberate' are synonymous in this context, and both paragraphs convey the same concepts of sin, maintaining the original meaning without any doctrinal or logical changes.","- Intentional sin, unintentional sin","- Deliberate sin, unintentional sin"
"5","0.8352","LOW","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, simply using different wording to convey the idea of a sin that occurs momentarily versus one that is habitual.","- Sin of a single moment, sin habitually committed","- Momentary sin, habitual sin"
"6","0.7315","CRITICAL","no","paraphrase","The back-translation maintains the original meaning by conveying the same concepts of sin requiring severe punishment and financial restitution without altering the doctrinal implications or logical relationships.","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sin for which a severe penalty such as death is expected, sin for which financial restitution is expected"
"19","0.8944","MEDIUM","yes","doctrinal","The original paragraph emphasizes a direct warning from Jehovah regarding sin's imminent threat, while the back-translation introduces a metaphorical image of sin 'lying in wait at the door,' which alters the urgency and directness of the warning.","2.  He ignored the warning from Jehovah (God), that sin was waiting to devour him.","2.  He ignored the LORD's (God's) warning that sin was lying in wait at the door to devour him."
"24","0.918","MEDIUM","no","paraphrase","Both paragraphs convey the same emotional state regarding the sacrifice, with 'miserable' and 'extremely sad' expressing similar levels of distress.","- He felt miserable about the state of his sacrifice.","- He felt extremely sad about the state of his sacrifice."
"31","0.8772","MEDIUM","no","paraphrase","Both paragraphs convey the same idea about the consequences of Cain's sin affecting multiple parties, maintaining the original intent and meaning without significant alteration.","Pretty severe! Cain’s sin carried a hefty price for himself, for Able, for his parents, and for his own future family and lineage.","Quite harsh! The heavy price of Cain's sin had to be paid by him, by Abel, by his parents, and by his own future family and descendants."
"63","0.8123","LOW","no","paraphrase","Both paragraphs convey the same core idea that sin necessitates a sacrifice. The back-translation maintains the original intent and doctrinal meaning without introducing any significant changes.","## Sin Requires Sacrifice","## A sacrifice is required for sin"
"88","0.8863","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that the books of the Bible, specifically the Torah, address sin through specific laws and penalties. The terminology and phrasing differ slightly, but the overall meaning remains consistent.","The books of the Bible focus on the issue of sin differently. When Moses recorded the law in the Torah (the first five books of the Old Testament) he recorded specific punishments for specific sins/crimes. I use the word crime here interchangeably, because the books of the law were the legal system of the day for the Israelites.","The books of the Bible address the issue of sin in different ways. When Moses wrote the Torah (the first five books of the Old Testament), he prescribed specific penalties for particular sins/offenses. I use the word offense interchangeably here, because the books of the Law were also the Israelites’ legal code at that time."
"103","0.9132","MEDIUM","no","paraphrase","The back-translated phrase retains the same meaning as the original, simply rephrasing it without altering its intent or doctrinal content.","## Personal Reflection Questions","## Questions for personal reflection"
"106","0.92","MEDIUM","yes","doctrinal","The original paragraph refers specifically to 'God’s judgment,' which carries connotations of accountability and moral evaluation, while the back-translated version uses 'God’s justice,' which may imply a broader concept of fairness and righteousness without the same emphasis on personal judgment.","3.  What emotions arise when you consider God’s judgment? Does it lead you toward fear, hope, or repentance? Why?","3.  When you think about God’s justice, what emotions arise? Does it lead you toward fear, hope, or repentance? Why?"
