# Drift report generated 2026-01-30T14:16:47.820392
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter13_chapter_13_spiritual_authority.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/arabic/pipeline2/backtranslation/chapters/chapter13_chapter_13_spiritual_authority.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9531","HIGH","Jesus is the ultimate and complete source of spiritual authority. As the triumphant Christ He has final authority over all things in heaven and the earth.","Jesus is the supreme and complete source of spiritual authority. As the victorious Christ, He has the ultimate authority over all things in heaven and on earth."
"2","0.9989","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"3","0.9999","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>"
"4","1.0","HIGH","</span>","</span>"
"5","0.996","HIGH","In this chapter we will study the authority and power of Christ, which authorities and powers He has delegated to us (His church), and how to operate in the authority of the name of Jesus. We will also study angelic and demonic beings and examine their authority, power, and natures.","In this chapter we will study the authority and power of Christ, which authorities and powers He has delegated to us (His Church), and how we operate in the authority of the name of Jesus. We will also study angelic and demonic beings and examine their authority, power, and natures."
"6","0.9949","HIGH","Authority means having the right to act. Power is the ability to carry it out. Both are essential in the spiritual life. Authority is different from power. Let’s look at the following table which compares authority &amp; power and consider a few examples.","Authority means having the right to act. Power is the ability to carry it out. Both are essential in spiritual life. Authority is different from power. Let us look at the following table that compares authority &amp; power and consider some examples."
"7","1.0","HIGH","[See Table 7](../tables/table7.md)","[See Table 7](../tables/table7.md)"
"8","0.9858","HIGH","Here are a few examples to help understand the difference between power and authority.","Here are some examples to help understand the difference between power and authority."
"9","0.9429","HIGH","Example 1: At work, an employee may have the talents and skills to conduct a sale of the company's assets (power). This power is lawful if they also have the associated permission (authority) from the company’s owners. Without this authority, selling the company's assets is theft.","Example 1: At work, an employee may have the talents and skills to complete the sale of the company’s assets (power). This power is legitimate if he also has the associated permission (authority) from the company’s owners. Without this authority, selling the company’s assets is considered theft."
"10","0.9647","HIGH","Example 2: A police officer is given special training in weapons and hand-to-hand combat to learn how to apprehend and physically compel a criminal (power). Police officers have been given the job responsibility backed up by laws (authority) to enforce criminal statutes.","Example 2: A police officer is given special training in weapons and hand-to-hand combat to learn how to arrest a criminal and subdue him physically (power). Police officers are entrusted with a duty backed by laws (authority) to enforce criminal laws."
"11","0.9818","HIGH","## What is Jesus’ Authority?","## What is Jesus’ authority?"
"12","0.9548","HIGH","As Jesus said in Matthew, ‘All authority’ has been given. Let's look at precisely what that authority entails:","As Jesus said in Matthew, “all authority” has been given. Let us look closely at what that authority entails:"
"13","0.9093","MEDIUM","- Over Heaven and Earth","- over heaven and earth"
"14","0.9496","HIGH","- Over life and death","- over life and death"
"15","0.9562","HIGH","- Over sin and forgiveness","- over sin and forgiveness"
"16","0.9149","MEDIUM","- Over demons and spiritual forces","- over demons and spiritual powers"
"17","0.8949","MEDIUM","- Over sickness and disease","- over sickness and ailments"
"18","0.9507","HIGH","- To judge humanity","- to judge humanity"
"19","0.9568","HIGH","- Over the Church","- over the Church"
"20","1.0","HIGH","- Over creation and nature","- Over creation and nature"
"21","0.9886","HIGH","- Over death, Hell, and the grave","- Over death, hell, and the grave"
"22","1.0","HIGH","- To empower believers","- To empower believers"
"23","0.9675","HIGH","### Authority Over Heaven and Earth","### Authority over heaven and earth"
"24","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"25","0.999","HIGH","> **<u>Matthew 28:18</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>","> **<u>Matthew 28:18</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying: ""All authority has been given to Me in heaven and on earth.\\n>"
"26","1.0","HIGH","</span>","</span>"
"27","0.9383","HIGH","Christ’s authority extends to everything in creation, including the physical and spiritual realms. This authority establishes His sovereign rule as King of kings and Lord of lords (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:16</span>). It forms the foundation for the Great Commission, empowering believers to spread the Gospel.","Christ's authority extends to everything in creation، including the physical and spiritual realms. This authority establishes His sovereign rule as King of kings and Lord of lords (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:16</span>). And it forms the basis of the Great Commission، enabling believers to spread the gospel."
"28","0.9696","HIGH","### Authority Over Life and Death","### Authority over life and death"
"29","1.0","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""17-18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""17-18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"30","0.9878","HIGH","> **<u>John 10:17-18</u>** (NKJV)\\n>\\n> ""Therefore My Father loves Me, because I lay down My life that I may take it again.\\n>\\n> No one takes it from Me, but I lay it down of Myself. I have power to lay it down, and I have power to take it again. This command I have received from My Father.""\\n>","> **<u>John 10:17-18</u>** (NKJV)\\n>\\n> ""Therefore My Father loves Me, because I lay down My life that I may take it again.\\n>\\n> No one takes it from Me, but I lay it down of Myself. I have authority to lay it down, and I have authority to take it again. This command I have received from My Father.""\\n>"
"31","1.0","HIGH","</span>","</span>"
