# Drift report generated 2025-10-09T10:57:10.063457
# Source file: source/AUTOGEN/chapters/chapter5_chapter_5_repentance_from_dead_works.md
# Back translation: backtranslation/chapter5_chapter_5_repentance_from_dead_works.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9683","HIGH","Oftentimes in Christianity we think about repentance as fundamental only to the beginning of our faith in Jesus. The heart of repentance goes much deeper than turning away from sin unto salvation. Repentance from dead works means living with our hearts turned away from the things that harm us or stunt our growth-and turned toward the things of God.","Often in Christianity we think of repentance as something fundamental only at the beginning of our faith in Jesus. A repentant heart goes far beyond turning from sin to salvation. Repentance from dead works means living with our hearts turned away from things that harm us or hinder our growth-and directed toward the things of God."
"2","0.9713","HIGH","The author of Hebrews sets ‘repentance from dead works’ as the first item in the list of the foundational doctrines after the foundational principles of the Messiah (Chapter 4).","The author of Hebrews places ‘repentance from dead works’ as the first item in the list of foundational teachings after the elementary principles of the Messiah (Chapter 4)."
"3","1.0","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""Hebrews"" data-chapter=""6"" data-verses=""1"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""Hebrews"" data-chapter=""6"" data-verses=""1"" data-lang=""en"" data-version=""NKJV"">"
"4","1.0","HIGH","> **<u>Hebrews 6:1</u>** (NKJV) *Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,*","> **<u>Hebrews 6:1</u>** (NKJV) *Therefore, leaving the discussion of the elementary principles of Christ, let us go on to perfection, not laying again the foundation of repentance from dead works and of faith toward God,*"
"5","1.0","HIGH","</span>","</span>"
"6","0.8273","LOW","Let's take an in-depth look at the Greek for this phrase:","Let’s take a closer look at the Greek of this passage:"
"7","0.9996","HIGH","[See Table 4](../tables/table4.md)","[See Table 4](../tables/table4.md)"
"8","1.0","HIGH","### Dead Works","### Dead Works"
"9","0.9366","HIGH","Every person who has ever been employed knows what work is. Work is the set of tasks that you undertake to receive a paycheck so you can earn a living (employment). Employment is an agreement to trade your talents and efforts for something of value that will help sustain you. You work because you get something out of it.","Everyone who has ever been employed knows what work is. Work is a collection of responsibilities you carry out in order to receive payment of wages so that you can earn a living (employment). Employment is an agreement to exchange your talents and efforts for something of value that will help you sustain yourself. You work because you get something from it."
"10","0.9813","HIGH","Our work is important, it can bring a sense of purpose, often a sense of identity. It's very common to be asked ‘What do you do for a living?’ and the response begins with a statement of identity ‘I am’. While work can be enjoyable and purposeful, it is also very likely to be physically or mentally tough, difficult, challenging, and stressful. If your job is none of these things, you might find it too menial and boring.","Our work is important; it can bring a sense of purpose, and often a sense of identity. It is very common to be asked ‘What do you do for a living?’ and the answer begins with an identity statement ‘I am’. Although work can be enjoyable and purposeful, it is also very likely to be physically or mentally hard, burdensome, challenging, and stressful. If your job is not any of these things, you may find it to be too menial and boring."
"11","0.9805","HIGH","If you work a 40-hour a week job, and sleep 8 hours per night, you spend 36% of your waking hours working, and this excludes the time you spend getting ready to work, commuting to work, taking care of a household, and all the other necessary tasks you need to do to keep the your life on track.","If you work 40 hours a week, and sleep 8 hours per night, you spend 36% of your waking hours working, and this does not include the time you spend getting ready for work, commuting, maintaining a household, and all the other necessary tasks you must do to keep your life in order."
"12","0.9369","HIGH","Why do we do all this work? It varies, but definitionally because we get something of value from it.","Why do we do all this work? It varies, but fundamentally because we get something of value from it."
"13","0.9467","HIGH","Would you continue to work at a job if they stopped paying you? For most of us the easy and painfully obvious answer is a resounding, NO!","Would you continue working at that job if they stopped paying you? For most of us the simple and very clear answer is, NO!"
"14","0.9662","HIGH","Would you continue to work at a job if it was killing you? I suppose it depends on how quickly.","Would you continue working at that job if it was killing you? I suppose it depends on how fast."
"15","0.9356","HIGH","The context of ***nekros*** joined with ***erga*** is labor or work that is dead, has no vitality, cannot reproduce! The author of Hebrews is warning us of labor that is dead.","The context of ***nekros*** attached to ***erga*** is work or activity that is dead, lifeless, unable to bear fruit! The author of Hebrews gives us a warning about dead work."
"16","0.952","HIGH","In the study of biology, there are several criteria that are used to determine if an organism is alive (this is a partial list used for our purpose):","In biology, there are several criteria used to determine whether an organism is alive (this is a partial list for our purposes):"
"17","0.9526","HIGH","1.  **Metabolism**: Living things convert energy through metabolic processes to grow, develop, and sustain themselves.","1.  **Metabolism**: Living organisms convert energy through metabolic processes in order to grow, persist, and sustain themselves."
"18","0.9885","HIGH","2.  **Growth and Development**: Life involves growth and progression over time, with a specific life cycle and developmental changes.","2.  **Growth and Development**: Life involves growth and development over time, with a specific life cycle and developmental changes."
"19","0.9086","MEDIUM","3.  **Reproduction**: Living things have the capacity to reproduce, creating offspring or new entities.","3.  **Reproduction**: Living organisms have the ability to reproduce, bringing forth offspring or new organisms."
"20","0.9961","HIGH","4.  **Response to Stimuli**: Life responds to external stimuli (like light, heat, or sound) and can adjust to changes in the environment.","4.  **Response to Stimuli**: Life responds to external stimuli (such as light, heat, or sound) and can adjust to changes in the environment."
"21","0.9997","HIGH","5.  **Homeostasis**: Living organisms maintain internal stability, such as temperature regulation or pH balance.","5.  **Homeostasis**: Living organisms maintain internal stability, such as temperature regulation or pH balance."
"22","0.9662","HIGH","6.  **Adaptation**: Over time, living things can adapt to their environments through genetic changes, allowing survival in various conditions.","6.  **Adaptation**: Over time, living organisms can adapt to their environments through genetic changes, thus allowing survival in various conditions."
"23","1.0","HIGH","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:","If we apply this standard of ‘life’ to our works with a bit of creative license, then dead works are those that:"
"24","0.9651","HIGH","1.  Do not permit personal growth or development.","1.  Do not allow growth or personal development."
"25","0.8692","MEDIUM","2.  Do not reproduce, cannot produce a positive or desirable result.","2.  Do not reproduce, they cannot produce positive or desirable outcomes."
"26","0.9954","HIGH","3.  Do not respond to external stimuli, the light of God’s presence or the sound of His voice.","3.  Do not respond to external stimuli, the light of God’s presence, or the sound of His voice."
"27","0.926","HIGH","4.  Do not maintain internal stability, become dis-regulated, are not self-controlled.","4.  Do not maintain internal stability, they become uncontrolled, they lack self-control."
"28","0.8543","MEDIUM","5.  Do not adapt (are too rigid) and no longer help us survive.","5.  Do not change (are excessively rigid) and no longer help us to live."
"29","1.0","HIGH","Dead works are not God’s desire for us. God wants to bring us life!","Dead works are not God’s desire for us. God wants to bring us life!"
"30","1.0","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""John"" data-chapter=""10"" data-verses=""10"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""John"" data-chapter=""10"" data-verses=""10"" data-lang=""en"" data-version=""NKJV"">"
"31","0.9856","HIGH","> **<u>John 10:10</u>** (NKJV) *The thief does not come except to steal, and to kill, and to destroy. I have come that they may have life, and that they may have it more abundantly.*","> **<u>John 10:10</u>** (NKJV) *The thief does not come except to steal, and to kill, and to destroy. I have come that they may have life, and that they may have it in abundance.*"
"32","1.0","HIGH","</span>","</span>"
"33","0.7696","LOW","While dead versus alive is a binary. Dying is a gradient. Our dead works may not be completely dead across every single category, yet, but they will become so! Dead works are like poisons, some have greater effects.","Although the states of death and life are only two. There are degrees of death. Our dead works may not yet be completely dead in every aspect, yet, but they will be! Dead works are like poison; some have more severe effects."
"34","0.9666","HIGH","Poison hurts the body by preventing it from functioning normally. Some poisons have small effects, like a headache. Others affect how we think, see, or even if we can bear children (live fruitfully). Dead works are just like that. They may just be a headache, or they may cause death.","Poison harms the body by preventing it from functioning normally. Some poisons have minor effects, such as headaches. Others affect how we think, see, or even whether we can have children (living by bearing fruit). Dead works are just like that. They may be just a headache, or they may lead to death."
"35","0.97","HIGH","Dead works are any works that in review and consideration are not bringing the abundant life that Jesus promised. Having an extra marital affair is very strong poison, it's likely to have a full and negative effect quite soon. Being a needlessly stubborn and resentful person will slowly poison a person until they’ve driven everyone away from them.","Dead works are any works which, upon review and assessment, do not bring the abundant life that Jesus promised. Having an extramarital relationship is a very potent poison, it is highly likely to have full and negative effects soon. Being unreasonably stubborn and resentful will slowly poison a person until he has driven everyone away from himself."
"36","1.0","HIGH","To be delivered from dead works, we must repent!","To be delivered from dead works, we must repent!"
"37","1.0","HIGH","### Repentance","### Repentance"
"38","0.9577","HIGH","To ‘repent from dead works’ is to turn to God and leave behind anything that is hurting our walk with Him-starting with a change of heart and mind.","‘Repenting from dead works’ is turning to God and leaving behind anything that harms our walk with Him-starting with a change of heart and mind."
"39","0.9593","HIGH","Building on the analogy of poison for dead works, if you found out that your favorite snack was full of toxic heavy metals that would give you a fatal condition if consumed, what would you do? We would without hesitation put it away from us, and never enjoy it again. Realizing that to consume it means our untimely, and probably painful death.","Building on the poison analogy for dead works, if you discovered that your favorite snack was full of toxic heavy metals that would cause you a fatal condition if eaten, what would you do? We would put it away from us without hesitation, and we would never enjoy it again. Recognizing that eating it means our early death, and perhaps a painful one."
"40","0.9506","HIGH","We must repent! We must turn away from the things of this life that are poisoning us and leading to both our natural and spiritual death.","We must repent! We must turn and abandon the things of this life that poison us and lead us to our physical and spiritual death."
"41","0.9428","HIGH","To understand this fully we need to look a bit deeper into the Greek language.","To understand this fully we need to look more closely at the Greek language."
"42","0.941","HIGH","The term used in Hebrews is *repentance*. This is contrasted with the term *repent,* an example is found in","The word used in Hebrews is *repentance*. This is distinguished from the word *repent,* an example is found in"
"43","1.0","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""Matthew"" data-chapter=""4"" data-verses=""17"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""Matthew"" data-chapter=""4"" data-verses=""17"" data-lang=""en"" data-version=""NKJV"">"
"44","0.9947","HIGH","> **<u>Matthew 4:17</u>** (NKJV) - “*From that time Jesus began to preach, and to say, Repent: for the kingdom of heaven is at hand.”*","> **<u>Matthew 4:17</u>** (NKJV) - “*From that time Jesus began to preach, and to say, Repent: for the kingdom of heaven is at hand.*”"
"45","1.0","HIGH","</span>","</span>"
"46","0.9898","HIGH","Repent (***Metanoeō***, pronounced *meh-tah-NO-eh-oh* - **G3340**) is a verb, it's an action or occurrence, it means to change one’s mind or purpose; to turn away from sin and toward God.","Repent (***Metanoeō***, pronounced *meh-tah-NO-eh-oh* - **G3340**) is a verb, an action or event, meaning to change one’s mind or purpose; to turn from sin and toward God."
"47","0.9933","HIGH","Repentance (***Metanoia***, pronounced *meh-TAH-noi-ah* - **G3341**) is a noun, it's a state of having repented, it means to have a change of mind; the state of having turned away from sin and toward God.","Repentance (***Metanoia***, pronounced *meh-TAH-noi-ah* - **G3341**) is a noun, a state of having repented, meaning to have a change of mind; the state of having turned from sin and toward God."
"48","0.9645","HIGH","When God says in Hebrews ‘*repentance from dead works*’ He is saying to be in the state of having repented! We are to live in a continual state of having ‘turned away’ from dead works.","When God says in Hebrews ‘repentance from dead works’ He is speaking of the state of having repented! We should live in a continual state of having ‘turned’ from dead works."
"49","0.928","HIGH","How many times do we need to repent? Trick question! We need to continually change our minds until we are no longer doing dead works. To repent is **not asking for forgiveness, or apologizing**, although that might be involved. Repent is to turn away from the previous manner of thinking.","How often do we need to repent? A tricky question! We need to keep changing our thinking until we stop doing dead works. Repenting is **not asking forgiveness, or apologizing**, though that may be involved. Repenting is turning away from the former way of thinking."
"50","0.8204","LOW","## Changing Our Minds","## Changing Our Thinking"
"51","0.872","MEDIUM","How do we change our minds? Intentionally, through an experience with truth.","How do we change our thinking? Intentionally, through encounters with truth."
"52","1.0","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""John"" data-chapter=""8"" data-verses=""31-32"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""John"" data-chapter=""8"" data-verses=""31-32"" data-lang=""en"" data-version=""NKJV"">"
"53","0.9999","HIGH","> **<u>John 8:31-32</u>** (NKJV) ***31** Then Jesus said to those Jews who believed Him, ""If you abide in My word, you are My disciples indeed. **32** And you shall know the truth, and the truth shall make you free.""*","> **<u>John 8:31-32</u>** (NKJV) ***31** Then Jesus said to those Jews who believed Him, ""If you abide in My word, you are My disciples indeed. **32** And you shall know the truth, and the truth shall make you free.""*"
"54","1.0","HIGH","</span>","</span>"
"55","0.9998","HIGH","<span class=""x-scripture"" data-type=""quote"" data-book=""John"" data-chapter=""16"" data-verses=""13"" data-lang=""en"" data-version=""NKJV"">","<span class=""x-scripture"" data-type=""quote"" data-book=""John"" data-chapter=""16"" data-verses=""13"" data-lang=""en"" data-version=""NKJV"">"
