# Drift report generated 2026-01-30T14:53:05.249639
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter13_chapter_13_spiritual_authority.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/chinese/pipeline2/backtranslation/chapters/chapter13_chapter_13_spiritual_authority.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9738","HIGH","Jesus is the ultimate and complete source of spiritual authority. As the triumphant Christ He has final authority over all things in heaven and the earth.","Jesus is the ultimate and complete source of spiritual authority. As the victorious Christ, He has ultimate authority over all things in heaven and on earth."
"2","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18-20"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"3","0.9853","HIGH","> **<u>Matthew 28:18-20</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>","> **<u>Matthew 28:18-20</u>** (New King James Version)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>\\n> Go therefore and make disciples of all the nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit,\\n>\\n> teaching them to observe all things that I have commanded you; and lo, I am with you always, even to the end of the age."" Amen.\\n>"
"4","1.0","HIGH","</span>","</span>"
"5","0.9478","HIGH","In this chapter we will study the authority and power of Christ, which authorities and powers He has delegated to us (His church), and how to operate in the authority of the name of Jesus. We will also study angelic and demonic beings and examine their authority, power, and natures.","In this chapter we will learn about Christ’s authority and power, what authority and power He has granted to us (His church), and how to operate in the authority of the name of Jesus. We will also study the existence of angels and evil spirits, and examine their authority, power, and nature."
"6","0.9904","HIGH","Authority means having the right to act. Power is the ability to carry it out. Both are essential in the spiritual life. Authority is different from power. Let’s look at the following table which compares authority &amp; power and consider a few examples.","Authority means having the right to act. Power is the ability to carry it out. Both are indispensable in the spiritual life. Authority is different from power. Let us look at the table below comparing Authority &amp; Power, and consider a few examples."
"7","0.9999","HIGH","[See Table 7](../tables/table7.md)","[See Table 7](../tables/table7.md)"
"8","0.9872","HIGH","Here are a few examples to help understand the difference between power and authority.","Here are some examples to help understand the difference between power and authority."
"9","0.9234","HIGH","Example 1: At work, an employee may have the talents and skills to conduct a sale of the company's assets (power). This power is lawful if they also have the associated permission (authority) from the company’s owners. Without this authority, selling the company's assets is theft.","Example 1: At work, an employee may have the talent and skill to sell company assets (power). If he also receives the corresponding permission from the company owner (authority), the exercise of that ability is legitimate. Selling company assets without such authority is theft."
"10","0.9585","HIGH","Example 2: A police officer is given special training in weapons and hand-to-hand combat to learn how to apprehend and physically compel a criminal (power). Police officers have been given the job responsibility backed up by laws (authority) to enforce criminal statutes.","Example 2: A police officer receives specialized training with weapons and in hand-to-hand combat to learn how to arrest and physically subdue criminals (power). The officer is entrusted with on-duty responsibilities supported by law (authority) to enforce criminal statutes."
"11","0.9678","HIGH","## What is Jesus’ Authority?","## What is Jesus' authority?"
"12","0.921","HIGH","As Jesus said in Matthew, ‘All authority’ has been given. Let's look at precisely what that authority entails:","As Jesus said in the Gospel of Matthew, ""all authority"" has been given. Let us look specifically at what this authority includes:"
"13","0.6298","CRITICAL","- Over Heaven and Earth","- Authority over heaven and earth"
"14","0.6569","CRITICAL","- Over life and death","- Authority over life and death"
"15","0.6457","CRITICAL","- Over sin and forgiveness","- Authority over sin and forgiveness"
"16","0.7376","CRITICAL","- Over demons and spiritual forces","- Authority over demons and spiritual powers"
"17","0.7052","CRITICAL","- Over sickness and disease","- Authority over sickness and disease"
"18","0.7457","CRITICAL","- To judge humanity","- Authority to judge humanity"
"19","0.6131","CRITICAL","- Over the Church","- Authority over the church"
"20","0.6722","CRITICAL","- Over creation and nature","- Has authority over creation and nature"
"21","0.7196","CRITICAL","- Over death, Hell, and the grave","- Has authority over death, hell, and the grave"
"22","0.8978","MEDIUM","- To empower believers","- Empowers believers"
"23","0.8713","MEDIUM","### Authority Over Heaven and Earth","### Authority in heaven and on earth"
"24","1.0","HIGH","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""MAT"" data-chapter=""28"" data-lang=""en"" data-type=""quote"" data-verses=""18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
"25","0.9969","HIGH","> **<u>Matthew 28:18</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.\\n>","> **<u>Matthew 28:18</u>** (NKJV)\\n>\\n> And Jesus came and spoke to them, saying, ""All authority has been given to Me in heaven and on earth.""\\n>"
"26","1.0","HIGH","</span>","</span>"
"27","0.9804","HIGH","Christ’s authority extends to everything in creation, including the physical and spiritual realms. This authority establishes His sovereign rule as King of kings and Lord of lords (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:16</span>). It forms the foundation for the Great Commission, empowering believers to spread the Gospel.","Christ's authority extends to all creation, including the material and spiritual realms. This authority establishes His sovereign rule as King of kings and Lord of lords (<span class=""x-scripture"" data-book=""REV"" data-chapter=""19"" data-lang=""en"" data-type=""ref"" data-verses=""16"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Revelation 19:16</span>). It also forms the foundation of the Great Commission, empowering believers to spread the gospel."
"28","0.9696","HIGH","### Authority Over Life and Death","### Authority over life and death"
"29","0.9996","HIGH","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""17-18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">","<span class=""x-scripture"" data-book=""JHN"" data-chapter=""10"" data-lang=""en"" data-type=""quote"" data-verses=""17-18"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">"
