# Drift report generated 2026-01-30T15:22:44.660134
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter3_chapter_3_sin_and_redemption.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/backtranslation/chapters/chapter3_chapter_3_sin_and_redemption.md
"id","similarity","translation_quality","source","back_translation"
"1","0.9798","HIGH","Scripture tells us many stories about sin-its causes, its consequences, and how God responds to it. To sin is to fall short of God’s standard, or ‘miss the mark,’ a term from archery describing an archer’s failure to hit the target.","Scripture tells us many stories about sin—its causes, its consequences, and how God responds. To commit sin is to fall short of God’s standard, or ‘missing the mark,’ a term from archery that describes the archer’s failure to hit the target."
"2","0.9223","HIGH","Both Old and New Testaments use various terms for sin, each highlighting aspects like its type, severity, intent, victim, nature, and required punishment. There are several broad categorizations that the scriptures use to describe sin:","Both Testaments, Old and New, use various words for sin, each highlighting aspects such as its kind, its severity, its deliberateness, its victim, its character, and the punishment required. There are broad categories Scripture uses to describe sin:"
"3","0.9294","HIGH","- Sin against God, sin against man, sin against self","- Sin against God, sin against humanity, sin against yourself"
"4","0.9174","MEDIUM","- Intentional sin, unintentional sin","- Deliberate sin, unintentional sin"
"5","0.7919","LOW","- Sin of a single moment, sin habitually committed","- One-time sin, habitual sin"
"6","0.9888","HIGH","- Sin requiring severe punishment like death, sin requiring financial restitution","- Sin requiring severe punishment such as death, sin requiring financial restitution"
"7","0.9577","HIGH","In our modern criminal justice systems, we have similar distinctions: degrees of crime, premeditated or crimes of passion, crimes requiring financial restitution, or incarceration, or even capital punishment. An act might be both a crime and a sin, but crime is man's categorization, sin is God’s.","In our modern criminal justice systems, similar distinctions exist: degrees of crime, premeditated or crimes of passion, crimes requiring financial restitution, or imprisonment, even capital punishment. An act can be both a legal crime and a sin, but legal crime is a human classification, whereas sin is God’s classification."
"8","0.96","HIGH","The various Greek and Hebrew words for sin have a high level of overlap. All sin is broadly described under the umbrella term ‘missing the mark’, ***Hamartia*** in Greek, and ***Chata’*** in Hebrew. This umbrella term is used for the most severe sins, adultery, murder, but also less severe sins, like showing partiality to wealthy people in our church gatherings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>).","The Greek and Hebrew words for sin are very similar. Every sin is generally defined under the term ‘missing the mark,’ ***Hamartia*** in Greek, and ***Chata’*** in Hebrew. This brief term is used for the most serious sins—adultery, murder—but also for sins not as serious, such as the favoritism shown to the rich in our church meetings (<span class=""x-scripture"" data-book=""JAS"" data-chapter=""2"" data-lang=""en"" data-type=""ref"" data-verses=""9"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">James 2:9</span>)."
"9","0.973","HIGH","Here are some words the Scriptures use for sin. They help us understand how serious sin is-and how deeply we need God's grace.","Here are words Scripture uses for sin. They help us understand how serious sin is—and how deeply we need the grace of God."
"10","1.0","HIGH","[See Table 2](../tables/table2.md)","[See Table 2](../tables/table2.md)"
