# Drift explanation generated 2026-01-30T15:27:30.802021
# Source drift file: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/somali/pipeline2/analysis/chapters/drift_report_chapter1_chapter_1_sound_doctrine_matters_vs_chapter1_chapter_1_sound_doctrine_matters.csv
"id","similarity","translation_quality","meaning_change","type","summary","source","back_translation"
"6","0.861","MEDIUM","yes","doctrinal","The original emphasizes the replication of Jesus' teachings in others, suggesting a deeper engagement with His teachings, while the back-translation simplifies this to merely passing on the teaching, which may imply less active involvement in replicating those teachings.","In other words, Jesus is instructing all of us to learn His teachings and to replicate them in others.","In other words, Jesus directs all of us to learn His teaching and pass it on to others."
"13","0.9124","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea of the importance of studying doctrine, with only slight variations in wording that do not alter the overall meaning.","## Why Should We Study Doctrine?","## Why Do We Need to Learn Doctrine?"
"18","0.9107","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the necessity of building one's life on faith to withstand various challenges. The wording differs slightly, but the overall meaning and intent remain consistent.","We cannot expect our lives to stand strong in the face of difficulties, challenges, tribulations, persecutions, or just ordinary life if we have not built our lives on the strong rock of faith.","We cannot expect our lives to endure when facing troubles, challenges, suffering, persecution, or even daily life, if we do not build our lives on the solid rock of faith."
"20","0.8928","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the importance of personal spiritual growth and the responsibility to disciple others in the faith. The differences in wording do not alter the underlying meaning.","Jesus’ charge extends beyond us. It’s great that we become whole, healthy, disciplined, submitted to God, but we must teach, train, equip, lead, and disciple others into the faith as well!","Jesus' command goes beyond just us. It is good that we become complete, healthy, disciplined, obedient to God, but we must teach, train, equip, lead, and make disciples of others so that they also come to faith!"
"21","0.853","MEDIUM","yes","mixed","The back-translation changes 'study doctrine' to 'learn doctrine' and 'become disciplined' to 'become disciples,' which shifts the focus from personal discipline to a broader commitment to discipleship. This alters the intent and logical relationship regarding the purpose of studying doctrine.","Why should we study doctrine and become disciplined? To build our lives on the rock!","What leads us to learn doctrine and become disciples? So that we build our lives on the Rock!"
"23","0.9189","MEDIUM","no","paraphrase","The back-translation maintains the core message and theological concepts of the original paragraph, emphasizing the influence of beliefs on actions and the call to build on a strong foundation in faith. The slight variations in wording do not alter the overall meaning.","Our beliefs dictate our actions and our destiny. Proverbs teaches us that as a man thinks, so is he! (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 23:7</span>). We don’t get to stay neutral-we’re all building on something. Jesus calls us to build on the rock so we can stand strong and walk in His salvation. The promise of truth and freedom is for us!","Our faith guides our actions and our destinies. Proverbs teaches us that as a man thinks, so is he! (<span class=""x-scripture"" data-book=""PRO"" data-chapter=""23"" data-lang=""en"" data-type=""ref"" data-verses=""7"" data-version=""NKJV"" dir=""ltr"" style=""text-align: left;"">Proverbs 23:7</span>). We can no longer remain neutral—we are all building something. Jesus has called us to build on the rock so that we may endure and walk in His salvation. The promise of truth and freedom is ours!"
"27","0.9095","MEDIUM","no","paraphrase","Both paragraphs convey the same core message about the necessity of abiding in Jesus' word to attain knowledge of the truth and freedom. The slight variations in wording do not alter the underlying doctrinal meaning or intent.","Being Jesus' disciple is only possible by continuing in His word (his logos)! The result of continuing in His word is our knowledge of the truth, which makes us free!","To be a disciple of Jesus is only possible if you abide in His Word (His logos)! The result of abiding in His Word is our knowledge of the truth, which sets us free!"
"28","0.9093","MEDIUM","yes","doctrinal","The original uses 'master's commandments' which implies a specific authority figure, while the back-translation uses 'Lord's commands,' which may suggest a broader or different theological context. Additionally, 'New Testament church' is replaced with 'New Covenant church,' which can imply different theological interpretations regarding the relationship between the Old and New Testaments.","Disciples, having been taught discipline, can carry out the master’s commandments. Every person in the New Testament church is called to:","Disciples, since they have been disciplined, can carry out the Lord's commands. Everyone in the New Covenant church is called to:"
"32","0.8654","MEDIUM","no","paraphrase","Both paragraphs convey the same reassurance that the task at hand does not need to be faced alone, maintaining the original intent and meaning without significant alteration.","Don’t worry, we do not have to go this alone.","Don't worry, this is not something we have to do alone."
"41","0.8784","MEDIUM","no","paraphrase","The back-translation maintains the same conceptual meaning as the original, using slightly different wording but conveying the same idea of the church being equipped with gifts for maturity.","God has given the church these special gifts to bring us to maturity, so we can and are:","God has given the church these particular gifts to bring us to maturity, so that we may become:"
"42","0.6673","CRITICAL","yes","doctrinal","The original emphasizes the ability to perform work and produce results, while the back-translation introduces a subjective quality of being 'skilled' and 'diligent,' which may imply a different focus on personal attributes rather than the action of work itself.","- Able to do work and bear fruit","- Skilled, diligent, and fruitful"
"43","0.8636","MEDIUM","no","paraphrase","The phrases 'Unified in the faith' and 'United in faith' convey the same core idea of collective belief and solidarity among individuals, with no significant change in meaning.","- Unified in the faith","- United in faith"
"50","0.5892","CRITICAL","no","paraphrase","Both paragraphs convey the same idea of being unable to differentiate between good and bad, with slight variations in wording but no change in conceptual meaning.","- Naive - unable to discern between good and bad actors.","- Undiscerning - unable to distinguish the good from the evil."
"51","0.9018","MEDIUM","no","paraphrase","Both paragraphs convey the idea of being focused on the present moment and the transient nature of experiences. The terms 'temporal' and 'temporary' as well as 'now' and 'immediate' are synonymous in this context, indicating no significant change in meaning.","- Self-centered - concerned with the temporal and the now.","- Self-centered - preoccupied with the temporary and the immediate."
"52","0.8148","LOW","no","paraphrase","Both paragraphs convey the same idea of being vulnerable to harm, with the back-translation providing a slightly more detailed description of the state of being defenseless.","- Defenseless - vulnerable to harm.","- Unable to defend themselves - vulnerable to harm."
"53","0.9037","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea that sound doctrine serves as a safeguard against moral corruption in the world, with only slight variations in wording.","### Sound doctrine Provides a Defense Against the Wickedness of the World","### Sound doctrine provides protection against the evil of the world"
"63","0.9002","MEDIUM","no","paraphrase","The back-translated paragraph maintains the original message's core meaning about the challenges of self-absorption and the rejection of sound doctrine, while using slightly different wording. The intent and doctrinal implications remain consistent.","The crux of this message is that perilous times will come. Men will be so self-absorbed that despite all their ‘teaching’ they will not submit to sound doctrine, will deny the power of God, and will walk with a corrupt and reprobate mind. Paul urges Timothy to be well prepared to preach sound doctrine.","The essence of this message is that difficult times will come. People will become self-seeing/self-centered, and though they gain much ‘learning’, yet they will not submit to sound doctrine; they will deny the power of God and will walk in a corrupt and reprobate mind. Paul urges Timothy to prepare himself well so that he may preach sound doctrine."
"65","0.8621","MEDIUM","yes","doctrinal","The original emphasizes the importance of sound teaching being led astray, while the back-translation suggests that correct teaching can be distorted. This subtle shift changes the focus from the potential for misguidance to the possibility of distortion, affecting the doctrinal implications regarding the integrity of scripture.","We must be careful and diligent in our study, sound teaching of the scriptures can be led astray by several perverse influences.","We need to be careful and diligent when we are learning; the correct teaching of Scripture can be distorted by many crooked influences."
"66","0.8852","MEDIUM","yes","doctrinal","The original paragraph emphasizes that sound doctrine can be twisted by human traditions, while the back-translation suggests that sound doctrine can distort customs, which alters the focus from the perversion of doctrine to the impact on customs. This changes the theological implication regarding the nature of doctrine and its relationship with human traditions.","Sound doctrine can become twisted by the traditions of men. We see this truth evident from the need of the great reformers of Protestantism and in the history of the Old Testament. God raised men up to restore the fundamental truth that had become perverted by the traditions of men.","Sound doctrine can distort the customs of people. The truth is seen in the need that the great Protestant reformers had and in the history of the Old Testament. God stirred up men to restore the fundamental truth that had been distorted by the traditions of men."
"88","0.9133","MEDIUM","no","paraphrase","Both paragraphs convey the same core idea about the foundational doctrines of the New Testament church, emphasizing their importance for learners without altering the doctrinal meaning, logical relationships, or intent.","In this work we will primarily study foundational doctrines of the New Testament church. These doctrines are foundational in that scriptures refer to them as such, but more so because they provide a strong foundation for the learner to build their life upon.","Within this work we will mostly learn the basic doctrines of the New Testament church. These doctrines are fundamental, because Scripture calls them so; more importantly, they provide a solid foundation upon which the learner can build his life."
"93","0.9072","MEDIUM","yes","doctrinal","The original phrase emphasizes 'principle doctrines,' suggesting a focus on foundational beliefs, while the back-translation simplifies it to 'principles,' which may imply a broader or less specific set of teachings, potentially altering the emphasis on doctrinal significance.","1.  Principle doctrines of the Christ (the Anointed One)","1.  The principles of Christ (the Anointed One)"
"100","0.8394","LOW","no","paraphrase","Both paragraphs convey the same idea of studying essential aspects of the Christian faith, with 'core elements' and 'fundamental points' being synonymous in this context.","We will also study core elements of our Christian walk:","We will also study the fundamental points of our Christian journey:"
