# Drift report generated 2026-01-30T02:19:27.484827
# Source file: /Users/andnie01/repo/pers/principles-of-faith/english/chapters/chapter14_chapter_14_keep_watch.md
# Back translation: /Users/andnie01/repo/pers/kli-translation-pipeline_principles-of-faith/hindi/pipeline2/backtranslation/chapters/chapter14_chapter_14_keep_watch.md
"id","similarity","translation_quality","source","back_translation"
"1","0.909","MEDIUM","Having been given the spiritual authority of Christ on the Earth to establish His kingdom we should work with diligence and haste, for Jesus will return!","We have been given Christ’s spiritual authority for the establishment of His kingdom on earth, so we must work diligently and with readiness, because Jesus is going to return!"
"2","0.9834","HIGH","The return of Christ is an important part of our faith. The study of the return of Christ and the end times is known as **eschatology**. Many books on eschatology have been written, and *most of them disagree with each other*! Specifically, they disagree on interpretations (figurative, literal, symbolic), the order and timings of the events in the scriptures. I'm reminded of the saying by the great Pentecostal evangelist Reinhard Bonke - “I will split hairs in heaven when I am done breaking chains on Earth!”","The return of Christ is an important part of our faith. The study of Christ’s return and the end times is called **Eschatology**. Many books have been written on eschatology, and *most of them disagree with each other*! Specifically, they disagree over interpretations (allegorical, literal, symbolic), and over the order and timing of events in Scripture. I am reminded of the saying of the great Pentecostal evangelist Reinhard Bonnke—“I will split hairs in heaven after I have broken chains on earth!”"
"3","0.9382","HIGH","As the author, I’m hesitant to dive very deep into this hotly debated topic given that this book is focused primarily on fundamentals of the faith. I will stick largely to the highest-level view of the events depicted in scripture and focus on what matters most - **the** **mission of the Gospel**!","As an author, I hesitate to go very deep into this highly disputed topic, because this book is mainly focused on the basics of the faith. I will limit myself to the highest-level view of the events described in Scripture and focus on the most important thing—**the same** **gospel mission**!"
"4","0.9462","HIGH","## Universally Agreed Upon Points:","## Universally agreed points:"
"5","0.9141","MEDIUM","1.  Jesus Is Returning","1.  Jesus will return"
"6","0.9717","HIGH","2.  Resurrection of the Dead","2.  Resurrection of the dead"
"7","0.969","HIGH","3.  Judgment for All People","3.  Judgment for all people"
"8","0.8308","LOW","4.  Eternal Destiny","4.  Eternal destiny"
"9","0.9506","HIGH","5.  A Defeated Enemy","5.  A defeated enemy"
"10","0.936","HIGH","6.  New Heaven and New Earth","6.  A new heaven and a new earth"
"11","0.9799","HIGH","For each point we will review what the concept is, look at reference scriptures, consider why it matters, and what we should do in light of it.","For each point we will review what the concept is, look at the reference scriptures, consider why it is important, and what we should do in light of it."
"12","0.9473","HIGH","### **1. Jesus Is Returning**","### **1. Jesus will return**"
